District,Total Branch,Lead Bank Name,Jun-22,Sep-22,Dec-22,Mar-23
Baksa,56,SBI,01.12.2022,01.12.2022,,
Barpeta,121,UCO,22.12.2022,22.12.2022,,
Biswanath,55,PNB,13.09.2022,19.04.2023,19.04.2023,
Bongaigaon,57,SBI,21.12.2022,21.12.2022,21.03.2023,
Cachar,160,PNB,13.09.2022,20.05.2023,20.05.2023,20.05.2023
Charaideo,35,PNB,25.08.2022,10.11.2022,03.04.2023,
Chirang,35,SBI,25.08.2022,05.12.2022,23.02.2023,26.05.2023
Darrang,68,UCO,07.09.2022,13.12.2022,,
Dhemaji,45,PNB,21.09.2022,13.12.2022,14.03.2023,
Dhubri,86,UCO,20.10.2022,27.01.2023,04.04.2023,
Dibrugarh,180,PNB,30.07.2022,29.12.2022,,
Dima Hasao,29,SBI,15.09.2022,22.12.2022,24.03.2023,
Goalpara,67,UCO,22.09.2022,22.12.2022,29.03.2023,
Golaghat,118,PNB,28.09.2022,07.01.2023,,
Hailakandi,44,PNB,21.10.2022,05.01.2023,30.03.2023,
Hojai,54,PNB,21.10.2022,20.03.2023,20.03.2023,
Jorhat,135,PNB,02.09.2022,27.12.2022,03.03.2023,
Kamrup Metro,414,UCO,19.10.2022,10.03.2023,10.03.2023,27.04.2023
Kamrup Rural,168,UCO,12.08.2022,13.03.2023,13.03.2023,
Karbi Anglong,64,SBI,21.09.2022,19.12.2022,23.03.2023,
Karimganj,87,PNB,20.10.2022,27.01.2023,20.05.2023,20.05.2023
Kokrajhar,51,UCO,20.09.2022,17.11.2022,16.03.2023,
Lakhimpur,88,PNB,04.08.2022,07-01-2023,15.03.2023,
Majuli,15,PNB,19.09.2022,12.04.2023,12.04.2023,22.05.2023
Morigaon,67,PNB,25.04.2023,25.04.2023,25.04.2023,
Nagaon,153,PNB,26.09.2022,29.12.2022,22.03.2023,
Nalbari,85,UCO,13.10.2022,21.12.2022,24.03.2023,
Sivasagar,96,PNB,29.09.2022,16.02.2023,16.02.2023,
Sonitpur,131,UCO,29.12.2022,29.12.2022,22.03.2023,
South Salmara,11,UCO,07.09.2022,04.04.2023,04.04.2023,
Tinsukia,149,PNB,07.12.2022,07.12.2022,29.03.2023,
Udalguri,49,SBI,16.09.2022,20.12.2022,24.05.2023,24.05.2023
West Karbi Anglong,21,SBI,21.09.2022,19.12.2022,23.03.2023,
