District,State Name,Active Enrolment (PMJJBY),Active Enrolment (PMSBY),Total No of GPs,No of Gp Covered,PMJJBY Sourced,PMJJBY Opened,PMSBY Sourced,PMSBY Opened
Baksa,Assam,"46,177","1,32,962",102,102,"4,451","4,304","5,167","5,029"
Barpeta,Assam,"98,980","3,67,672",98,54,3199,2817,4741,4230
Biswanath,Assam,,,79,33,115,115,201,201
Bongaigaon,Assam,"44,412","1,65,142",65,41,772,0,977,0
Cachar,Assam,"1,18,881","2,97,556",160,128,1315,949,2025,1699
Charaideo,Assam,,,36,5,76,0,76,0
Chirang,Assam,"27,534","92,685",53,32,"1,496","1,472","2,516","2,492"
Darrang,Assam,"66,508","1,97,464",75,9,143,93,185,99
Dhemaji,Assam,"61,275","1,78,023",65,22,410,6,616,8
Dhubri,Assam,"1,10,616","2,96,972",126,75,1524,1151,"1,912",1451
Dibrugarh,Assam,"1,00,170","2,95,581",93,38,1057,78,1359,102
Dima Hasao,Assam,"10,571","29,138",5,4,560,218,644,237
Goalpara,Assam,"58,660","2,16,658",81,62,571,243,704,315
Golaghat,Assam,"81,683","2,19,893",102,77,1279,1033,1541,1308
Hailakandi,Assam,"24,674","96,888",62,51,"3,857",2019,"8,480",5199
Hojai,Assam,,,67,55,"1,382","1,382","1,811","1,811"
Jorhat,Assam,"77,295","2,35,810",95,84,"2,684","2,684","3,020","3,020"
Kamrup Metro,Assam,"1,08,290","3,00,463",139,121,"3,527",1563,"5,271",2427
Karbi Anglong,Assam,"58,392","1,59,254",25,23,668,0,1016,0
Karimganj,Assam,"39,094","1,31,721",95,95,"4,352",675,"6,812",1466
Kokrajhar,Assam,"46,069","1,52,060",130,91,1397,825,2482,1728
Lakhimpur,Assam,"79,598","2,42,195",81,76,"2,205",129,"2,700",177
Majuli,Assam,,,20,18,411,411,620,620
Morigaon,Assam,"42,996","1,42,356",85,57,1528,1485,2045,2045
Nagaon,Assam,"1,94,974","6,16,927",168,112,1387,1387,"1,883","1,883"
Nalbari,Assam,"51,158","1,51,553",32,26,1266,112,2812,220
Sivasagar,Assam,"98,435","2,45,170",83,61,1005,737,"1,832",1382
Sonitpur,Assam,"1,34,780","3,49,476",80,46,859,19,"1,472",16
South Salmara,Assam,,,35,20,501,17,600,25
Tinsukia,Assam,"83,559","2,45,295",86,69,"6,089",3932,"9,799",7231
Udalguri,Assam,"56,859","1,45,584",114,90,"4,851",2945,"9,772",7377
West Karbi Anglong,Assam,,,12,6,99,0,206,0
