District,Total Branch,Christians No.,Christians Amt,Muslims No.,Muslims Amt,Buddhists No.,Buddhists Amt,Sikhs No.,Sikhs Amt,Zoroastrians No.,Zoroastrians Amt,Jains No.,Jains Amt,Total Loan to Minority O/S No.,Total Loan to Minority O/S Amt
Baksa,57,169,357.09,7243,7161.95,18,52.75,3,4.15,0,0,13,14.74,7446,7590.68
Barpeta,122,196,559.96,98779,106215.06,40,49.38,14,369.30,2,2.93,26,169.06,99057,107365.69
Biswanath,57,456,562.32,11141,8375.74,17,27.01,13,59.52,3,3.13,11,128.22,11641,9155.94
Bongaigaon,59,1058,1476.63,24255,34265.34,208,130.59,18,78.94,63,14.62,23,95.92,25625,36062.04
Cachar,163,2017,4908.33,79488,93887.26,62,251.51,48,202.16,4,9.14,24,306.14,81643,99564.54
Charaideo,35,152,224.91,2641,2214.15,63,151.87,20,78.52,5,14.71,5,4.38,2886,2688.54
Chirang,35,3046,2360.12,9052,8268.61,26,9.19,4,18.90,6,4.3,1,0.68,12135,10661.80
Darrang,69,299,548.74,57107,52783.30,48,155.17,13,50.73,1,0.34,14,421.75,57482,53960.03
Dhemaji,45,126,254.54,1315,1266.32,12,50.16,16,86.28,1,2.6,5,10.99,1475,1670.89
Dhubri,87,594,791.96,80183,83514.57,9,21.13,21,147.05,0,0,19,166.36,80826,84641.07
Dibrugarh,182,1416,3416.86,13174,19832.09,190,628.48,262,2277.51,7,5.31,49,424.56,15098,26584.81
Dima Hasao,30,2577,7471.16,577,1102.82,8,37.99,6,24.58,0,0,0,0,3168,8636.55
Goalpara,69,4285,3531.68,44863,50206.78,14,17.22,12,56.30,4,4.62,9,61.25,49187,53877.85
Golaghat,120,1824,1505.25,12924,12458.71,891,475.03,58,108.14,5,2.6,22,146.75,15724,14696.48
Hailakandi,44,209,409.31,30236,36974.76,3,8.36,5,5.08,0,0,1,0.08,30454,37397.59
Hojai,57,281,608.26,28532,32886.80,18,75.92,29,91.79,1,0.33,5,10.81,28866,33673.91
Jorhat,132,1130,3203.66,10517,14469.81,437,683.52,135,1037.49,3,36.64,56,1275.31,12278,20706.43
Kamrup Metro,172,1154,1654.43,67006,69744.05,347,292.68,39,193.31,0,0,28,477.27,68574,72361.74
Karbi Anglong,64,4049,4725.99,2148,2592.44,62,219.17,30,91.10,2,0.8,15,159.56,6306,7789.06
Karimganj,88,604,563.98,40165,36317.52,13,19.17,13,70.76,1,3.18,8,161.57,40804,37136.18
Kokrajhar,51,4919,4592.26,16656,15888.65,9,10.30,16,87.51,2,33.84,12,46.89,21614,20659.45
Lakhimpur,91,1184,1566.81,27863,22993.22,60,191.22,43,216.26,22,16.23,6,26.12,29178,25009.86
Majuli,16,9,6.58,635,401.26,3,5.38,0,0,0,0,0,0,647,413.22
Morigaon,67,162,241.41,33633,31161.17,27,44.04,25,58.14,1,0.26,4,3.29,33852,31508.31
Nagaon,152,1277,1245.55,127901,107112.27,68,68.57,142,633.94,18,7.63,34,119.91,129440,109187.87
Nalbari,84,117,286.77,32188,31580.08,18,65.69,32,41.50,3,2.14,27,759.71,32385,32735.89
Sivasagar,97,673,926.55,22597,27270.49,529,504.54,59,341.81,3,7.94,22,63.63,23883,29114.96
Sonitpur,125,1534,3463.47,33415,28417.70,189,824.04,109,468.29,2,0.44,31,393.94,35280,33567.88
South Salmara,12,21,97.30,5501,11604.48,0,0,1,13.15,0,0,1,0.47,5524,11715.40
Tinsukia,148,1576,4522.14,8870,10505.41,456,1876.03,163,2906.21,1,0.79,34,342.32,11100,20152.90
Udalguri,49,5398,8509.17,7078,10624.91,6,3.03,4,1.82,4,4.31,4,2.67,12494,19145.91
West Karbi Anglong,22,405,897.11,42,214.46,1,1.16,8,33.64,1,0.37,0,0,457,1146.74
