District,Total Branch,Sep-I No.,Sep-I Amt,Sep-G No.,Sep-G Amt,Sep-G No. of Beneficiary,SHG No.,SHG Amt,SHG No. of Beneficiary,Women SHG No.,Women SHG Amt,Women SHG No. of Beneficiary,Total Current Year NULM Disb No.,Total Current Year NULM Disb Amt,NULM O/S No.,NULM O/S Amt,NULM NPA No.,NULM NPA Amt,NULM NPA Amt. %
Baksa,57,0,0.00,2,7.74,16,2,6.74,16,18,8.64,16,4,14.48,50,43.56,7,1.19,2.73
Barpeta,122,11,12.00,56,107.00,133,30,42.77,242,61,47.53,183,97,161.77,925,1056.68,229,61.66,5.84
Biswanath,57,0,0.00,0,0.00,90,10,40.00,91,11,44.50,91,10,40.00,54,79.18,1,0.42,0.53
Bongaigaon,59,2,2.98,5,9.45,13,16,25.18,75,13,21.83,72,23,37.61,75,64.40,23,11.75,18.25
Cachar,163,8,15.83,0,0.00,0,89,311.50,854,11,21.34,54,97,327.33,263,462.89,13,6.23,1.35
Charaideo,35,7,8.70,2,3.00,20,0,0.00,0,4,16.00,4,9,11.70,4,4.03,0,0.00,0.00
Chirang,35,0,0.00,0,0.00,0,0,0.00,0,5,4.00,0,0,0.00,38,39.99,3,3.11,7.78
Darrang,69,0,0.00,7,11.00,60,81,183.21,609,81,183.21,609,88,194.21,300,556.92,5,5.78,1.04
Dhemaji,45,4,2.82,3,3.84,20,84,219.58,602,83,218.58,601,91,226.24,92,155.61,2,2.54,1.63
Dhubri,87,0,0.00,22,46.98,92,20,24.28,112,16,14.92,87,42,71.26,250,153.96,200,108.87,70.71
Dibrugarh,182,54,86.07,20,24.62,213,234,595.19,"1,985",61,80.51,424,308,705.88,501,"1,023.64",43,25.63,2.50
Dima Hasao,30,12,20.23,0,0.00,0,3,5.58,3,1,1.88,2,15,25.81,21,20.87,1,1.81,8.67
Goalpara,69,0,0.00,8,20.34,26,18,23.77,172,169,25.01,291,26,44.11,65,44.37,4,1.90,4.28
Golaghat,120,0,0.00,3,0.00,30,48,231.10,79,8,15.10,39,51,231.10,104,282.11,12,7.59,2.69
Hailakandi,44,3,6.50,5,6.20,40,39,66.65,82,52,13.86,62,47,79.35,229,270.04,22,23.03,8.53
Hojai,57,0,0.00,0,0.00,0,4,17.55,13,5,16.05,12,4,17.55,134,132.65,0,0.00,0.00
Jorhat,132,4,5.50,8,12.43,50,633,"2,567.2","6,139",73,124.01,380,645,"2,585.08",935,"2,053.06",13,6.10,0.30
Kamrup Metro,172,3,0.14,5,7.47,44,131,407.67,835,135,233.31,800,139,415.28,565,1004.43,17,11.98,1.19
Karbi Anglong,64,0,0.00,0,0.00,0,11,19.00,90,14,24.00,93,11,19.00,22,33.14,1,1.84,5.55
Karimganj,88,1,1.50,3,5.20,26,15,35.87,38,28,12.97,41,19,42.57,138,178.42,41,12.76,7.15
Kokrajhar,51,1,1.00,10,11.00,20,2,0.90,2,3,4.90,1,13,12.90,80,66.89,10,11.47,17.15
Lakhimpur,91,0,0.00,17,23.70,20,12,28.78,73,50,121.78,75,29,52.48,127,163.80,9,2.93,1.79
Majuli,16,0,0.00,0,0.00,0,1,1.00,1,1,1.00,1,1,1.00,0,0.00,0,0.00,0.00
Morigaon,67,0,0.00,0,0.00,0,15,26.25,33,6,9.75,32,15,26.25,336,339.91,65,14.08,4.14
Nagaon,152,1,0.48,2,0.00,20,294,1081.89,"2,520",62,119.71,482,297,1082.37,331,870.36,9,4.95,0.57
Nalbari,84,4,5.00,3,5.88,28,4,12.41,25,15,15.31,26,11,23.29,250,694.47,16,11.07,1.59
Sivasagar,97,15,24.31,11,43.50,70,39,60.84,289,30,41.56,225,65,128.65,169,253.95,6,5.68,2.24
Sonitpur,125,10,85.10,0,0.00,0,13,25.02,68,18,39.70,77,23,110.12,226,330.61,5,4.18,1.26
South Salmara,12,0,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00,4,5.63,0,0.00,0.00
Tinsukia,148,56,18.13,20,48.40,31,400,"1,415.48","3,743",96,174.83,567,476,"1,482.01",979,"1,886.08",47,36.38,1.93
Udalguri,49,0,0.00,1,1.71,8,3,5.26,27,19,5.26,148,4,6.97,30,35.42,6,4.62,13.04
West Karbi Anglong,22,0,0.00,1,3.00,5,0,0.00,0,0,0.00,0,1,3.00,45,91.96,0,0.00,0.00
