district,Total Branch,Total Deposit,Total Advances,Overall CD Ratio
Baksa,57,"1,39,719","1,03,453",74
Barpeta,123,"5,63,417","3,84,790",68
Biswanath,58,"2,05,364","1,25,873",61
Bongaigaon,60,"3,70,620","2,32,926",63
Cachar,164,"10,41,074","4,89,719",47
Charaideo,35,"1,39,371","64,157",46
Chirang,35,"1,67,007","86,252",52
Darrang,70,"2,91,273","2,01,949",69
Dhemaji,46,"1,87,434","1,59,603",85
Dhubri,88,"3,79,666","2,14,813",57
Dibrugarh,183,"12,46,565","6,56,560",53
Dima Hasao,31,"1,25,828","49,478",39
Goalpara,70,"2,72,443","1,63,021",60
Golaghat,121,"4,33,015","3,16,247",73
Hailakandi,45,"2,02,017","95,527",47
Hojai,58,"3,22,533","1,43,976",45
Jorhat,133,"8,46,146","5,13,447",61
KARIMGANJ,89,"4,63,336","1,56,117",34
Kamrup,172,"7,55,334","5,51,629",73
Kamrup Metro,427,"83,71,708","36,74,628",44
Karbi Anglong,65,"2,26,534","1,69,058",75
Kokrajhar,52,"3,82,250","1,74,986",46
Lakhimpur,92,"3,43,544","3,02,450",88
Majuli,16,"58,381","34,762",60
Morigaon,68,"2,17,417","1,56,994",72
Nagaon,153,"6,87,566","4,91,012",71
Nalbari,85,"3,62,345","2,37,709",66
Sivasagar,98,"5,64,399","3,52,345",62
Sonitpur,126,"6,66,032","4,28,851",64
South Salmara,12,"37,584","19,448",52
Tinsukia,149,"8,38,450","4,71,209",56
Udalguri,50,"1,82,289","1,28,994",71
West Karbi Anglong,22,"36,684","32,061",87
