district,Total Branch,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Baksa,57,"32,463","22,488.00","8,901","11,893.01"
Barpeta,122,"1,13,877","78,387.40","39,162","39,860.91"
Biswanath,57,"41,093","26,873.98","11,363","12,431.46"
Bongaigaon,59,"45,109","42,874.70","16,264","21,176.64"
Cachar,163,"1,46,038","1,03,556.52","48,055","50,353.90"
Charaideo,35,"16,796","16,884.03","6,437","10,253.01"
Chirang,35,"23,700","18,504.86","7,689","8,978.83"
Darrang,69,"66,865","45,448.86","19,133","22,859.88"
Dhemaji,45,"42,904","40,108.69","15,348","19,199.53"
Dhubri,87,"71,046","45,073.00","22,838","21,416.55"
Dibrugarh,182,"1,22,016","1,26,679.88","52,783","61,546.64"
Dima Hasao,30,"5,404","13,351.45","1,913","6,308.58"
Goalpara,69,"56,189","37,365.20","17,765","18,138.98"
Golaghat,120,"95,337","62,968.65","35,807","33,159.03"
Hailakandi,44,"26,152","22,452.88","9,546","12,102.92"
Hojai,57,"42,093","27,952.73","14,174","15,620.79"
Jorhat,132,"98,787","96,853.57","35,323","46,607.15"
Kamrup Metro,172,"1,73,392","1,33,116.72","59,039","64,748.54"
Karbi Anglong,64,"39,552","47,553.11","15,508","25,668.91"
Karimganj,88,"68,735","38,544.10","24,938","20,390.26"
Kokrajhar,51,"38,021","36,881.58","18,885","18,345.27"
Lakhimpur,91,"98,668","72,120.70","29,691","33,773.18"
Majuli,16,"6,167","6,361.25","1,549","4,351.26"
Morigaon,67,"53,864","37,799.57","18,567","20,153.66"
Nagaon,152,"1,64,472","1,16,646.78","50,697","57,990.91"
Nalbari,84,"77,960","53,959.45","22,810","25,726.98"
Sivasagar,97,"88,929","83,881.71","35,942","46,050.87"
Sonitpur,125,"93,935","88,334.34","29,408","42,561.41"
South Salmara,12,"1,308","2,078.68",238,867.78
Tinsukia,148,"82,095","89,104.88","33,166","40,346.20"
Udalguri,49,"30,744","27,081.17","8,982","11,886.73"
West Karbi Anglong,22,"7,305","8,344.71","1,628","3,458.83"
