District,Total Branch,Sishu No.,Sishu amt,Kishore no,Kishore Amt,Tarun No.,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt
Baksa,57,3708,1141.93,2866,3663.06,98,655.48,6672,5460.47
Barpeta,122,13722,4386.04,13685,16470.04,799,5564.04,28206,26420.12
Biswanath,57,3503,1189.88,5066,5706.21,289,1979.78,8858,8875.87
Bongaigaon,59,4961,1551.12,5291,6430.87,323,2217.57,10575,10199.56
Cachar,163,23319,7802.77,20822,23986.36,1300,8564.17,45441,40353.30
Charaideo,35,2862,886.94,2615,3096.82,210,1421.44,5687,5405.20
Chirang,35,3415,1131.15,3326,3639.17,70,494.87,6811,5265.19
Darrang,69,5717,1948.75,8200,9515.54,499,3595.96,14416,15060.25
Dhemaji,45,3152,947.24,3249,3928.01,259,1761.19,6660,6636.44
Dhubri,87,11812,4044.64,9298,11068.92,277,2027.07,21387,17140.63
Dibrugarh,182,20604,5986.61,15234,17117.22,939,6650.76,36777,29754.59
Dima Hasao,30,997,169.51,395,720.10,70,476.51,1462,1366.12
Goalpara,69,6725,2202.83,5598,6711.82,252,1728.50,12575,10643.15
Golaghat,120,12065,3771.94,12269,13804.58,785,5147.16,25119,22723.68
Hailakandi,44,4818,1562.59,5225,5659.06,273,1819.97,10316,9041.62
Hojai,57,5371,1713.22,6823,8416.29,926,6342.25,13120,16471.76
Jorhat,132,13524,4179.60,11700,14088.40,831,5677.32,26055,23945.32
Kamrup Metro,172,16524,5647.57,19982,22321.19,837,5644.49,37343,33613.25
Karbi Anglong,64,2725,859.39,2449,3399.74,154,1153.15,5328,5412.28
Karimganj,88,13161,4212.83,12586,12584.24,433,3037.23,26180,19834.30
Kokrajhar,51,11147,3825.84,5309,5511.40,175,1285.01,16631,10622.25
Lakhimpur,91,7203,2195.52,8537,9811.76,561,3879.10,16301,15886.38
Majuli,16,104,24.89,309,615.81,277,1778.53,690,2419.23
Morigaon,67,6014,2017.90,7303,8622.78,523,3472.14,13840,14112.82
Nagaon,152,13772,4481.71,18755,21929.59,1048,7164.65,33575,33575.95
Nalbari,84,5427,1767.45,6635,7383.43,239,1763.55,12301,10914.43
Sivasagar,97,10148,3208.10,10582,12919.91,808,5185.95,21538,21313.96
Sonitpur,125,8247,2782.13,13283,15261.59,782,5634.70,22312,23678.42
South Salmara,12,36,14.34,111,299.09,32,229.87,179,543.30
Tinsukia,148,9686,2950.40,10140,13576.77,947,6975.74,20773,23502.91
Udalguri,49,3672,1194.68,2317,2666.58,87,670.19,6076,4531.45
West Karbi Anglong,22,201,47.84,155,289.94,13,105.86,369,443.64
