district,Total Branch,Micro No,Micro Amt,Small No,Small Amt,Medium No,Medium Amt,KVIC No,KVIC Amt,Other MSME No,Other MSME Amt,Tot MSME (PS) NPA No.,Tot MSME (PS) NPA Amt.
Baksa,57,"4,158","3,087.61",31,34.54,0,0,609,767.97,30,19.42,"4,828","3,909.54"
Barpeta,122,"6,207","7,478.93","1,056","1,011.39",24,286.69,232,385.08,97,42.34,"7,616","9,204.43"
Biswanath,57,"2,683","1,738.27",38,190.32,3,11.20,66,99.88,36,18.65,"2,826","2,058.32"
Bongaigaon,59,"1,472","1,574.53",100,657.32,2,155.20,220,283.77,40,13.85,"1,834","2,684.67"
Cachar,163,"4,213","6,529.83",515,"2,106.58",6,117.61,203,291.84,15,11.32,"4,952","9,057.18"
Charaideo,35,"1,446","1,464.49",17,347.90,0,0,73,138.49,2,0.45,"1,538","1,951.33"
Chirang,35,"1,954","1,871.88",48,107.24,0,0,772,863.91,6,5.39,"2,780","2,848.42"
Darrang,69,"3,673","4,487.40",280,"1,030.39",5,31.23,328,496.69,104,67.84,"4,390","6,113.55"
Dhemaji,45,"2,275","2,336.32",53,764.99,1,6.77,127,197.77,66,37.79,"2,522","3,343.64"
Dhubri,87,"4,615","3,040.25",302,323.31,13,18.23,412,494.51,8,1.87,"5,350","3,878.17"
Dibrugarh,182,"6,394","8,147.90",997,"5,008.09",10,328.27,232,373.22,125,52.55,"7,758","13,910.03"
Dima Hasao,30,277,200.21,7,18.90,0,0,8,17.86,0,0.00,292,236.97
Goalpara,69,"3,790","3,580.34",54,341.67,0,0,300,402.34,37,31.46,"4,181","4,355.81"
Golaghat,120,"3,647","3,561.36",169,"1,108.70",4,9.68,114,181.37,209,47.62,"4,143","4,908.73"
Hailakandi,44,"1,574","1,589.51",274,636.37,4,3.14,213,318.65,17,12.89,"2,082","2,560.56"
Hojai,57,"2,209","1,408.41",110,323.26,0,0,13,17.11,20,3.89,"2,352","1,752.67"
Jorhat,132,"5,221","5,924.98",349,"3,601.37",6,669.00,108,153.66,214,49.80,"5,898","10,398.81"
Kamrup Metro,172,"8,060","8,458.27",420,604.66,26,350.51,502,874.42,82,41.72,"9,090","10,329.58"
Karbi Anglong,64,"1,588",989.89,4,30.97,0,0,97,26.03,9,3.75,"1,698","1,050.64"
Karimganj,88,"2,860","2,558.10",155,570.93,2,100.36,112,173.21,94,43.32,"3,223","3,445.92"
Kokrajhar,51,"2,676","2,630.14",141,269.13,1,2.00,753,906.36,5,12.20,"3,576","3,819.83"
Lakhimpur,91,"5,038","5,930.55",141,"1,341.73",3,74.38,116,184.82,198,115.79,"5,496","7,647.27"
Majuli,16,487,467.84,4,66.22,0,0,19,17.44,38,14.98,548,566.48
Morigaon,67,"2,602","3,008.66",185,348.23,1,35.20,255,389.35,49,9.17,"3,092","3,790.61"
Nagaon,152,"5,317","7,932.23",291,"1,457.90",1,32.00,338,507.35,110,140.25,"6,057","10,069.73"
Nalbari,84,"4,677","4,202.33",304,770.61,7,8.74,457,768.00,33,14.24,"5,478","5,763.92"
Sivasagar,97,"4,133","3,642.11",178,923.35,0,0,130,283.48,150,42.27,"4,591","4,891.21"
Sonitpur,125,"5,538","5,499.97",233,"1,962.70",8,223.43,345,698.43,73,24.97,"6,197","8,409.50"
South Salmara,12,824,"1,015.99",2,5.05,0,0,168,293.71,0,0.00,994,"1,314.75"
Tinsukia,148,"3,589","5,162.49","1,019","2,037.04",6,130.67,259,385.16,65,57.24,"4,938","7,772.60"
Udalguri,49,"4,684","5,123.27",109,189.24,0,0,603,"1,030.17",31,25.57,"5,427","6,368.25"
West Karbi Anglong,22,536,129.21,54,10.03,0,0,1,0.06,0,0.00,591,139.30
