District,Total Branch,Inactive CSP,Rupay Card active in PMJDY,First time active Rupay Card,Aadhaar Authenticated Sb accounts,Rupay Card issued in KCC
Baksa,57,20,188022,128668,102642,8350
Barpeta,122,19,482512,360413,395294,23268
Biswanath,57,8,103654,85835,62247,10286
Bongaigaon,59,9,162946,115480,86809,5971
Cachar,163,275,312428,179430,223217,14500
Charaideo,35,3,60137,23874,32434,4861
Chirang,35,1,119188,103809,70275,6549
Darrang,69,30,211558,151738,142255,16644
Dhemaji,45,19,229135,222643,64357,9428
Dhubri,87,20,334887,295878,250674,12305
Dibrugarh,182,110,284794,195096,148339,23050
Dima Hasao,30,4,30841,10392,17879,233
Goalpara,69,20,243456,172323,209335,14462
Golaghat,120,38,173096,148481,112001,21404
Hailakandi,44,7,136947,95973,114260,8042
Hojai,57,12,230882,169985,154198,6576
Jorhat,132,87,152453,98139,113657,19178
Kamrup Metro,172,38,366042,225240,238607,32916
Karbi Anglong,64,7,60904,42099,44295,5306
Karimganj,88,14,148320,127382,94266,3307
Kokrajhar,51,22,202722,167929,167586,10875
Lakhimpur,91,9,237377,218520,95603,15407
Majuli,16,2,23713,15707,19328,2930
Morigaon,67,28,176659,81856,120549,13435
Nagaon,152,625,497393,403463,416497,27241
Nalbari,84,13,132958,88029,124144,11668
Sivasagar,97,79,132322,87916,81607,9189
Sonitpur,125,152,246696,172257,231762,12931
South Salmara,12,2,66895,64966,41034,1187
Tinsukia,148,115,250426,125259,188952,15958
Udalguri,49,15,198451,169947,94242,13869
West Karbi Anglong,22,2,26164,24554,21598,739
