District,Total Branch,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA NO,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt,NULM NPA NO,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt,PMEGP NPA NO,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt,SHG NPA NO,SHG NPA AMT,SUI O/S No.,SUI O/S Amt,SUI NPA NO,SUI NPA AMT
Baksa,57,"4,903","9,670.99",241,584.20,99,78.12,50,43.56,7,1.19,935,"1,429.52",664,909.32,"5,948","10,004.24",959,451.74,9,140.19,0,0
Barpeta,122,"8,274","12,892.43",329,596.64,457,262.54,925,"1,056.68",229,61.66,"1,786","3,495.30",781,"1,326.16","10,428","15,112.82","1,436","1,015.07",74,"1,048.15",9,116.79
Biswanath,57,"6,648","11,306.51",704,820.08,181,189.78,54,79.18,1,0.42,376,610.70,146,178.36,"8,219","11,764.72","1,698",823.59,24,285.14,5,30.21
Bongaigaon,59,"3,915","6,288.46",214,337.37,45,24.96,75,64.40,23,11.75,679,944.47,319,365.31,"4,841","7,656.20",195,88.33,63,612.46,8,68.84
Cachar,163,"4,922","6,682.51",479,727.46,211,94.68,263,462.89,13,6.23,"1,608","2,246.36",510,792.43,"6,387","7,606.72","1,101",578.37,61,872.24,5,44.22
Charaideo,35,"3,398","5,158.63",267,292.77,101,33.84,4,4.03,0,0,237,471.34,146,259.93,"3,984","5,712.17",257,136.13,11,189.38,0,0
Chirang,35,"3,844","6,268.67",337,356.36,125,59.63,38,39.99,3,3.11,"1,085","1,256.52",941,"1,061.97","3,880","5,925.80",625,503.08,14,247.39,1,16.39
Darrang,69,"5,589","9,493.52",280,345.58,155,142.51,300,556.92,5,5.78,808,"1,344.84",462,653.18,"6,792","9,690.59","1,108",877.68,29,410.10,7,71.15
Dhemaji,45,"6,462","11,015.41",753,830.40,196,76.04,92,155.61,2,2.54,918,"2,153.18",320,592.40,"7,782","12,014.09",909,403.23,12,105.45,-,-
Dhubri,87,"7,373","9,679.78",558,409.95,361,100.05,250,153.96,200,108.87,"1,857","2,690.88",999,"1,222.89","9,410","11,372.46","1,508",666.08,36,630.93,-,-
Dibrugarh,182,"7,265","11,235.31",302,558.02,228,116.70,501,"1,023.64",43,25.63,"1,293","2,649.85",533,833.28,"8,998","13,565.23",479,257.26,177,"2,482.27",19,303.81
Dima Hasao,30,840,"1,347.49",396,416.80,6,3.06,21,20.87,1,1.81,256,481.87,40,52.14,"1,075","1,542.62",95,41.41,9,74.55,1,15.37
Goalpara,69,"5,584","8,159.64",460,754.71,259,129.86,65,44.37,4,1.90,827,917.18,465,575.73,"7,329","9,973.42","1,179",632.07,28,248.68,2,7.16
Golaghat,120,"8,531","16,109.73",406,494.17,131,69.36,104,282.11,12,7.59,852,"1,777.12",460,621.97,"10,036","18,057.36",431,219.87,58,778.79,3,23.64
Hailakandi,44,"2,719","3,561.92",152,120.49,147,64.55,229,270.04,22,23.03,619,"1,146.68",317,458.66,"3,183","3,559.98",638,323.74,10,207.94,2,21.74
Hojai,57,"3,502","4,461.16",256,281.45,187,111.07,134,132.65,0,0,420,552.99,138,188.45,"4,138","5,240.12",352,231.57,33,513.94,11,151.24
Jorhat,132,"5,624","11,634.89",254,414.71,42,25.80,935,"2,053.06",13,6.10,785,"1,512.32",348,436.11,"7,264","14,398.07",376,251.91,77,903.47,8,53.81
Kamrup Metro,172,"10,851","19,196.44",453,530.17,558,474.33,565,"1,004.43",17,11.98,"1,438","2,137.93",757,936.50,"12,836","19,788.22","1,727","1,238.74",72,973.99,6,84.53
Karbi Anglong,64,"5,133","10,776.90","1,737","3,860.86",3,1.04,22,33.14,1,1.84,318,499.50,103,117.51,"6,308","11,476.14",441,114.25,29,458.20,3,9.35
Karimganj,88,"2,902","3,837.36",251,342.74,142,104.27,138,178.42,41,12.76,687,"1,082.46",235,324.94,"4,549","4,806.38","1,297",631.01,18,237.11,4,131.65
Kokrajhar,51,"3,980","5,125.10",396,469.91,86,61.12,80,66.89,10,11.47,"1,564","1,976.58","1,256","1,481.41","4,515","5,639.14",476,414.06,15,319.37,2,27.55
Lakhimpur,91,"8,434","12,512.80",576,921.20,257,105.40,127,163.80,9,2.93,"1,230","2,802.59",518,"1,198.80","9,601","13,394.83",940,485.98,50,525.45,9,90.70
Majuli,16,"1,833","3,209.73",111,183.87,26,18.37,0,0,0,0,194,268.09,50,60.96,"2,326","3,614.84",193,94.06,6,47.16,3,7.49
Morigaon,67,"4,538","6,383.56",211,361.11,510,286.55,336,339.91,65,14.08,709,"1,099.36",431,666.05,"6,993","7,992.74","2,308","1,192.78",34,287.04,7,145.72
Nagaon,152,"11,928","19,182.41",538,602.39,342,174.97,331,870.36,9,4.95,"1,576","2,761.98",678,944.33,"14,156","21,938.05","1,183",805.12,82,"1,049.94",14,176.92
Nalbari,84,"7,690","13,858.44",167,225.93,185,134.08,250,694.47,16,11.07,948,"1,770.27",521,846.26,"9,212","15,710.79","1,010",542.52,38,590.76,3,31.20
