district,Total Branch,Agri NPS No,Agri NPS Amt,Education NPS No,Education NPS Amt,Housing NPS No,Housing NPS Amt,Personal Loan No,Personal Loan Amt,Other NPS No,Other NPS Amt,Tot Non Prio Sec NPA No.,Tot Non Prio Sec NPA Amt.
Baksa,57,0,0.00,0,0.00,2,33,429,471.06,729,717.57,"1,160","1,221.63"
Barpeta,122,9,6.24,0,0.00,14,140.43,589,569.82,"5,016","3,769.26","5,628","4,485.75"
Biswanath,57,3,4.45,0,0.00,4,11.43,186,123.51,"1,387",985.13,"1,580","1,124.52"
Bongaigaon,59,7,1.48,0,0.00,5,50.36,181,166.51,"2,899","1,958.58","3,092","2,176.93"
Cachar,163,7,269.61,0,0.00,12,93.68,310,253.87,"14,813","10,746.33","15,142","11,363.49"
Charaideo,35,0,0.00,0,0.00,1,48,58,76.51,"1,029",338.01,"1,088",462.52
Chirang,35,2,5.89,0,0.00,1,4,97,60.81,"1,240",907.20,"1,340",977.90
Darrang,69,4,3.96,0,0.00,8,208.21,379,256.07,"2,936","2,144.49","3,327","2,612.73"
Dhemaji,45,1,0.92,0,0.00,4,18.29,116,172.38,711,737.03,832,928.62
Dhubri,87,15,48.30,0,0.00,1,0.05,509,451.14,"7,493","5,497.01","8,018","5,996.50"
Dibrugarh,182,1,1.50,1,19.65,23,369.9,581,647.76,"3,693","2,558.08","4,299","3,596.89"
Dima Hasao,30,1,2.61,0,0.00,8,55,35,100.95,264,195.98,308,354.54
Goalpara,69,2,2.42,0,0.00,0,0,211,177.46,"2,454","1,864.03","2,667","2,043.91"
Golaghat,120,7,2.36,0,0.00,8,69.82,272,234.88,"2,148","1,247.78","2,435","1,554.84"
Hailakandi,44,319,131.32,0,0.00,5,31.77,98,129.97,"2,586","1,718.45","3,008","2,011.51"
Hojai,57,17,12.95,0,0.00,3,14.02,88,86.24,"2,334","1,613.35","2,442","1,726.56"
Jorhat,132,8,3.34,0,36.11,15,147.42,485,413.15,"3,303","4,437.26","3,811","5,037.28"
Kamrup Metro,172,1,0.79,0,0.00,26,299.9,645,876.80,"9,598","7,787.19","10,270","8,964.68"
Karbi Anglong,64,1,1.07,0,0.00,7,70.76,105,130.30,669,724.07,782,926.20
Karimganj,88,0,0.00,0,0.00,4,35,140,214.69,"7,091","5,844.00","7,235","6,093.69"
Kokrajhar,51,5,13.05,0,0.00,3,56.02,233,168.47,"2,131","1,780.80","2,372","2,018.34"
Lakhimpur,91,1,0.73,0,0.00,7,38.42,280,392.90,"2,581","1,889.79","2,869","2,321.84"
Majuli,16,0,0.00,0,0.00,1,4,73,120.38,121,166.17,195,290.55
Morigaon,67,12,10.98,0,0.00,2,14.43,421,876.14,"2,169","1,546.94","2,604","2,448.49"
Nagaon,152,24,16.96,1,1.66,13,95.36,573,754.85,"8,073","5,480.05","8,684","6,348.88"
Nalbari,84,1,0.01,0,0.00,24,216.96,625,879.66,"3,286","2,569.67","3,936","3,666.30"
Sivasagar,97,4,1.52,0,0.00,11,163.69,254,336.73,"2,938","1,599.51","3,207","2,101.45"
Sonitpur,125,2,5.03,0,0.00,13,63.62,561,444.19,"3,830","2,709.42","4,406","3,222.26"
South Salmara,12,1,0.46,0,0.00,0,0,65,71.42,168,187.99,234,259.87
Tinsukia,148,4,4.69,0,0.00,18,298.57,473,467.39,"3,663","2,277.17","4,158","3,047.82"
Udalguri,49,5,11.47,0,0.00,1,5,187,150.78,"1,091",828.03,"1,284",995.28
West Karbi Anglong,22,0,0.00,0,0.00,0,0,20,58.93,155,115.89,175,174.82
