district,Total Branch,CY Disbursement No.,CY Disbursement Amt.,Outstanding No.,Outstanding Amt.
Baksa,57,"1,436","1,060.24","9,864","2,655.17"
Barpeta,122,907,"1,583.35","18,568","5,665.48"
Biswanath,57,507,779.83,"6,848","2,138.03"
Bongaigaon,59,748,"1,330.49","7,886","2,669.92"
Cachar,163,"4,976","2,513.77","10,794","3,824.92"
Charaideo,35,618,790.49,"3,039","1,297.49"
Chirang,35,389,570.76,"2,887","1,123.11"
Darrang,69,347,486.67,"10,486","2,907.00"
Dhemaji,45,463,715.31,"7,619","2,265.46"
Dhubri,87,"1,157","1,767.96","3,573","2,119.08"
Dibrugarh,182,"1,259","1,781.12","16,168","4,754.25"
Dima Hasao,30,98,140.33,475,357.92
Goalpara,69,"1,361","1,409.93","8,990","3,253.96"
Golaghat,120,"1,359","2,079.23","19,621","5,921.22"
Hailakandi,44,461,482.44,"1,255",718.04
Hojai,57,426,641.55,"5,275","1,623.72"
Jorhat,132,"1,062","1,617.89","32,640","7,654.70"
KARIMGANJ,88,"1,494","1,351.83","5,235","2,475.97"
Kamrup,172,814,"1,263.97","33,238","7,415.15"
Kamrup Metro,426,"3,253","2,643.01","1,03,983","9,959.67"
Karbi Anglong,64,"2,610","3,853.73","4,781","4,353.79"
Kokrajhar,51,"3,529","1,930.22","4,789","1,897.20"
Lakhimpur,91,"1,019","1,636.36","18,483","6,456.07"
Majuli,16,3,8.00,"1,806",406.22
Morigaon,67,532,729.68,"4,765","1,909.16"
Nagaon,152,686,"1,171.59","25,256","6,656.94"
Nalbari,84,296,420.22,"16,315","3,804.75"
Sivasagar,97,"1,538","2,946.47","11,941","5,696.48"
Sonitpur,125,665,992.61,"18,019","4,357.48"
South Salmara,12,8,10.20,103,122.97
Tinsukia,148,894,"1,294.28","9,542","3,103.37"
Udalguri,49,"1,732",967.64,"6,725","1,940.09"
West Karbi Anglong,22,635,943.92,"1,627","1,196.58"
