district,Total Branch,Small and Marginal Farmers No,Small and Marginal Farmers Amt,Scheduled Castes No,Scheduled Castes Amt,Scheduled Tribes No,Scheduled Tribes Amt,DRI scheme No,DRI scheme Amt,Self Help Groups No,Self Help Groups Amt,women beneficiaries No,women beneficiaries Amt,Minority communities No,Minority communities Amt,PMJDY No,PMJDY Amt,Others No,Others Amt,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt.
Baksa,57,"22,323","16,426.47","2,695","2,535.42","9,779","10,531.55",18,4.29,"6,809","10,641.62","12,737","3,718.25","2,645","3,543.15",177,4.67,"10,924","3,242.74","68,107","50,648.16"
Barpeta,122,"63,529","46,338.66","10,807","6,596.44","4,195","3,562.52",156,17.33,"21,730","14,658.49","58,910","18,604.14","40,158","47,636.31","1,041","9,269.83","17,314","8,148.00","2,17,840","1,54,831.72"
Biswanath,57,"25,523","17,187.03","5,844","4,512.31","7,882","5,084.18",32,4.04,"8,532","11,650.11","20,713","6,908.94","4,839","4,274.72",110,4.09,"10,636","4,645.59","84,111","54,271.01"
Bongaigaon,59,"18,932","17,256.98","5,749","4,210.99","2,851","4,996.06",62,11.33,"7,370","5,722.28","21,195","8,060.15","8,423","12,827.74",953,16.27,"8,619","6,652.93","74,154","59,754.73"
Cachar,163,"65,894","45,837.54","37,933","22,636.10","7,351","6,602.29",212,41.50,"9,101","7,114.19","95,623","34,758.69","29,434","38,756.56","1,970",79.63,"21,218","22,373.70","2,68,736","1,78,200.20"
Charaideo,35,"13,984","9,771.69","1,386","1,159.72","1,030",868.58,33,6.06,"3,082","4,530.74","10,001","3,186.02","1,661","1,646.58",132,9.07,"3,148","2,660.19","34,457","23,838.65"
Chirang,35,"19,017","13,545.58","2,425","1,705.28","10,089","10,300.40",12,2.65,"3,942","6,358.78","11,511","4,183.46","5,924","4,711.17",16,4.23,"4,350","2,134.28","57,286","42,945.83"
Darrang,69,"41,908","30,494.83","3,049","2,218.11","1,824","1,673.46",39,7.71,"10,714","10,633.24","36,359","11,275.54","21,718","25,463.85",823,10.91,"10,146","4,685.86","1,26,580","86,463.51"
Dhemaji,45,"27,349","20,900.75","4,167","3,478.32","13,987","15,341.67",63,9.32,"11,852","10,695.77","13,213","4,740.79",863,717.19,168,16.36,"13,408","7,402.47","85,070","63,302.64"
Dhubri,87,"37,653","24,373.49","6,985","4,217.07","2,447","1,734.86",72,15.37,"8,256","8,455.43","44,393","14,556.78","26,800","27,844.57",697,25.22,"10,687","7,470.01","1,37,990","88,692.80"
Dibrugarh,182,"72,112","51,541.93","12,729","11,297.16","13,373","14,966.35",281,39.16,"16,084","11,242.92","64,116","24,130.00","6,814","13,252.50",660,42.21,"22,875","16,267.01","2,09,044","1,42,779.24"
Dima Hasao,30,"1,689","1,252.88",598,414.56,"2,809","5,295.50",48,3.40,"1,217","1,700.30","2,290","1,108.58","1,046","1,585.00",59,4.44,"1,664","1,934.03","11,420","13,298.69"
Goalpara,69,"31,910","19,649.01","3,910","2,714.11","10,803","7,035.91",41,6.09,"9,328","9,957.29","30,451","10,957.50","21,964","24,702.12",295,9.96,"12,710","5,927.80","1,21,412","80,959.79"
Golaghat,120,"61,984","40,691.06","11,972","8,030.80","12,483","9,185.89",130,21.51,"14,925","14,281.21","54,831","17,146.46","5,070","5,852.67","1,091",38.35,"18,685","10,797.66","1,81,171","1,06,045.61"
