District,Total Branch,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt,Total Agri (PS) NPA No.,Total Agri (PS) NPA Amt,Agri NPA Pct,Total Msme (PS) O/S No.,Total Msme (PS) O/S Amt,Total Msme (PS) NPA No.,Total Msme (PS) NPA Amt,Msme NPA Pct,Total Other PS O/S No.,Total Other PS O/S Amt,Total Other (PS) NPA No.,Total Other (PS) NPA Amt,Other(PS) NPA Pct,Total PS O/S No.,Total PS O/S Amt,Total PSA NPA No.,Total PSA NPA Amt,TOTAL PSA NPA Pct
Baksa,57,39013,29713.88,10954,5987.68,20.15,17266,20041.33,4828,3909.54,19.51,7257,11356.43,1508,987.35,8.69,63536,61111.64,17290,10884.57,17.81
Barpeta,122,107227,75947.10,37515,18941.07,24.94,30835,74543.32,7616,9204.43,12.35,39622,45684.46,7298,3591.10,7.86,177684,196174.88,52429,31736.60,16.18
Biswanath,57,43553,34394.29,10532,5834.76,16.96,13794,16195.30,2826,2058.32,12.71,15469,19911.72,3953,1688.30,8.48,72816,70501.31,17311,9581.38,13.59
Bongaigaon,59,30184,26941.14,5032,2410.15,8.95,14473,47742.43,1834,2684.67,5.62,19633,25798.29,3438,1540.09,5.97,64290,100481.86,10304,6634.91,6.60
Cachar,163,81312,70689.02,25448,19119.38,27.05,33594,126406.87,4952,9057.18,7.17,80676,59086.56,12391,5741.24,9.72,195582,256182.45,42791,33917.80,13.24
Charaideo,35,19513,15080.61,3638,2819.73,18.70,5621,11852.26,1538,1951.33,16.46,5175,7688.35,808,514.14,6.69,30309,34621.22,5984,5285.20,15.27
Chirang,35,27758,22308.20,8866,5084.56,22.79,9441,14642.32,2780,2848.42,19.45,9605,9292.99,1753,458.48,4.93,46804,46243.51,13399,8391.46,18.15
Darrang,69,66207,44529.82,21540,12333.23,27.70,16852,39342.56,4390,6113.55,15.54,21172,22168.18,4575,2295.63,10.36,104231,106040.56,30505,20742.41,19.56
Dhemaji,45,46208,33089.19,10781,6842.34,20.68,19316,27174.86,2522,3343.64,12.30,8186,17718.50,1090,582.44,3.29,73710,77982.55,14393,10768.42,13.81
Dhubri,87,52901,36787.47,19386,10182.02,27.68,18304,38490.35,5350,3878.17,10.08,36541,30863.31,7608,4000.02,12.96,107746,106141.13,32344,18060.21,17.02
Dibrugarh,182,115373,93355.01,38711,23522.20,25.20,39826,183937.03,7758,13910.03,7.56,37274,58688.93,5501,3168.48,5.40,192473,335980.97,51970,40600.71,12.08
Dima Hasao,30,3428,2844.82,871,370.61,13.03,2976,5753.03,292,236.97,4.12,557,3548.17,18,40.66,1.15,6961,12146.02,1181,648.24,5.34
Goalpara,69,50181,33830.08,13717,8420.50,24.89,18667,33226.75,4181,4355.81,13.11,20093,18247.64,5322,1960.58,10.74,88941,85304.47,23220,14736.89,17.28
Golaghat,120,98106,72544.87,32980,15493.11,21.36,22702,58194.45,4143,4908.73,8.44,31389,30479.43,3476,1458.70,4.79,152197,161218.75,40599,21860.54,13.56
Hailakandi,44,25039,17446.22,8675,5151.05,29.53,8810,21741.25,2082,2560.56,11.78,14016,12010.12,2342,1330.39,11.08,47865,51197.59,13099,9042.00,17.66
Hojai,57,33830,22640.83,10222,6447.82,28.48,14219,26374.97,2352,1752.67,6.65,17969,30280.58,2280,2912.81,9.62,66018,79296.38,14854,11113.30,14.01
Jorhat,132,82747,76057.75,29854,13687.64,18.00,29676,135190.93,5898,10398.81,7.69,29645,50777.96,5286,2524.94,4.97,142068,262026.64,41038,26611.39,10.16
Kamrup Metro,172,134502,87762.39,40504,21710.83,24.74,41667,120581.30,9090,10329.58,8.57,68829,60064.38,19518,5869.17,9.77,244998,268408.07,69112,37909.58,14.12
Karbi Anglong,64,50717,34426.16,9697,4547.83,13.21,11732,16074.88,1698,1050.64,6.54,5707,24065.35,888,409.79,1.70,68156,74566.39,12283,6008.26,8.06
Karimganj,88,43395,35498.47,14396,10758.85,30.31,14139,35282.97,3223,3445.92,9.77,37054,26226.93,6497,3254.45,12.41,94588,97008.37,24116,17459.22,18.00
Kokrajhar,51,34050,29149.40,9841,5723.50,19.64,8876,20260.88,3576,3819.83,18.85,19374,18705.07,2820,994.35,5.32,62300,68115.35,16237,10537.68,15.47
Lakhimpur,91,103513,66786.14,28497,16812.29,25.17,36497,64380.58,5496,7647.27,11.88,24099,44462.53,4056,3062.21,6.89,164109,175629.25,38049,27521.77,15.67
Majuli,16,8430,6510.44,2575,1682.54,25.84,3236,5802.71,548,566.48,9.76,1477,10847.03,630,945.02,8.71,13143,23160.18,3753,3194.04,13.79
Morigaon,67,67665,49588.30,17002,12354.96,24.92,14955,27768.33,3092,3790.61,13.65,16181,34499.41,1895,2953.66,8.56,98801,111856.04,21989,19099.23,17.07
Nagaon,152,165092,110385.53,61500,29899.30,27.09,26467,92486.53,6057,10069.73,10.89,51149,62793.46,8006,4925.79,7.84,242708,265665.52,75563,44894.82,16.90
Nalbari,84,74604,44288.67,27491,10659.36,24.07,18555,37409.99,5478,5763.92,15.41,23917,33767.10,7224,3018.40,8.94,117076,115465.76,40193,19441.68,16.84
Sivasagar,97,70161,43414.12,17164,8554.15,19.70,22921,77541.73,4591,4891.21,6.31,23661,34707.74,2311,1468.16,4.23,116743,155663.59,24066,14913.52,9.58
Sonitpur,125,77444,61866.15,20177,11735.04,18.97,27251,100402.28,6197,8409.50,8.38,33851,56836.29,7336,4560.83,8.02,138546,219104.72,33710,24705.37,11.28
South Salmara,12,3373,2481.67,1974,889.26,35.83,1590,3700.41,994,1314.75,35.53,588,3316.65,224,292.92,8.83,5551,9498.73,3192,2496.93,26.29
Tinsukia,148,83869,81840.45,24389,16568.15,20.24,28576,128567.06,4938,7772.60,6.05,25502,37890.23,3496,1877.95,4.96,137947,248297.74,32823,26218.70,10.56
Udalguri,49,51302,35351.31,25919,15067.36,42.62,14038,17560.03,5427,6368.25,36.27,10007,20446.12,3284,1521.17,7.44,75347,73357.46,34630,22956.78,31.29
West Karbi Anglong,22,14996,9122.47,2701,1060.83,11.63,1709,1127.58,591,139.30,12.35,612,6084.75,28,33.00,0.54,17317,16334.80,3320,1233.13,7.55
