District,Total Branch,Farm Credit Crop No.,Farm Credit Crop Amt,Farm Credit Term Loan No.,Farm Credit Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amt
Baksa,57,"19,536","16,511.71","15,826","11,675.60",30,30.48,"3,621","1,496.09","39,013","29,713.88"
Barpeta,122,"50,035","38,907.29","49,189","27,284.79",177,291.46,"7,826","9,463.56","1,07,227","75,947.10"
Biswanath,57,"24,699","17,485.65","14,164","13,055.66",64,572.95,"4,626","3,280.03","43,553","34,394.29"
Bongaigaon,59,"12,784","12,770.12","14,135","9,536.74",91,114.42,"3,174","4,519.86","30,184","26,941.14"
Cachar,163,"49,210","36,423.41","23,612","14,436.96",421,"1,166.95","8,069","18,661.70","81,312","70,689.02"
Charaideo,35,"10,795","7,140.75","6,159","6,284.10",81,129.34,"2,478","1,526.42","19,513","15,080.61"
Chirang,35,"18,866","13,753.14","7,232","7,030.28",42,57.80,"1,618","1,466.98","27,758","22,308.20"
Darrang,69,"31,278","23,805.01","29,676","16,207.94",351,305.49,"4,902","4,211.38","66,207","44,529.82"
Dhemaji,45,"24,282","17,893.55","15,930","11,269.68",160,315.13,"5,836","3,610.83","46,208","33,089.19"
Dhubri,87,"30,191","19,887.83","17,686","11,871.31",182,311.48,"4,842","4,716.85","52,901","36,787.47"
Dibrugarh,182,"64,792","49,821.75","36,637","20,171.46",375,"1,062.08","13,569","22,299.72","1,15,373","93,355.01"
Dima Hasao,30,"1,682",753.22,"1,493","1,725.71",13,17.07,240,348.82,"3,428","2,844.82"
Goalpara,69,"28,067","18,905.81","16,207","11,360.78",94,152.48,"5,813","3,411.01","50,181","33,830.08"
Golaghat,120,"50,129","31,793.69","37,270","24,244.49",295,629.39,"10,412","15,877.30","98,106","72,544.87"
Hailakandi,44,"18,217","11,137.12","4,585","4,065.56",108,315.10,"2,129","1,928.44","25,039","17,446.22"
Hojai,57,"20,835","13,328.24","7,486","5,047.25",298,324.34,"5,211","3,941.00","33,830","22,640.83"
Jorhat,132,"41,167","25,244.62","33,056","19,649.08",470,568.24,"8,054","30,595.81","82,747","76,057.75"
Kamrup Metro,172,"66,555","46,720.29","53,311","30,442.73",281,393.18,"14,355","10,206.19","1,34,502","87,762.39"
Karbi Anglong,64,"34,379","18,041.00","14,153","15,580.58",22,31.15,"2,163",773.43,"50,717","34,426.16"
Karimganj,88,"25,918","18,933.22","12,021","8,438.39",430,819.14,"5,026","7,307.72","43,395","35,498.47"
Kokrajhar,51,"24,076","21,046.67","8,325","6,404.83",41,29.96,"1,608","1,667.94","34,050","29,149.40"
Lakhimpur,91,"54,935","39,881.82","36,835","18,947.54",352,512.50,"11,391","7,444.28","1,03,513","66,786.14"
Majuli,16,"4,841","2,740.12","3,034","2,998.69",27,29.07,528,742.56,"8,430","6,510.44"
Morigaon,67,"38,179","28,366.77","21,201","13,606.68",392,667.81,"7,893","6,947.04","67,665","49,588.30"
Nagaon,152,"77,448","52,237.88","71,657","35,818.12",663,"1,111.56","15,324","21,217.97","1,65,092","1,10,385.53"
Nalbari,84,"29,490","20,567.04","41,103","19,201.69",94,148.95,"3,917","4,370.99","74,604","44,288.67"
Sivasagar,97,"24,458","16,495.56","35,699","15,875.91",201,456.84,"9,803","10,585.81","70,161","43,414.12"
Sonitpur,125,"30,163","26,192.96","37,154","25,513.10",169,320.67,"9,958","9,839.42","77,444","61,866.15"
South Salmara,12,"2,470","1,124.31",871,"1,282.61",0,0,32,74.75,"3,373","2,481.67"
Tinsukia,148,"47,055","41,910.88","28,960","16,126.65",510,"1,693.94","7,344","22,108.98","83,869","81,840.45"
Udalguri,49,"33,424","23,103.38","15,004","11,069.26",11,7.85,"2,863","1,170.82","51,302","35,351.31"
West Karbi Anglong,22,"10,850","4,829.70","3,972","4,227.05",1,0,173,65.72,"14,996","9,122.47"
