District,Total Branch,CHRISTIANS No.,CHRISTIANS Amt,MUSLIMS No.,MUSLIMS Amt,BUDDHISTS No.,BUDDHISTS Amt,SIKHS No.,SIKHS Amt,ZORASTRIANS No.,ZORASTRIANS Amt,JAINS No.,JAINS Amt,Tot Minority Disb No.,Tot Minority Disb Amt
Baksa,57,74,100.99,"2,030","2,275.62",8,8.34,2,1.12,0,0,1,4.90,"2,115","2,390.97"
Barpeta,122,82,230.07,"42,365","38,265.56",10,8.73,6,21.88,0,0,12,208.21,"42,475","38,734.45"
Biswanath,57,117,134.52,"2,916","2,653.48",7,5.31,9,7.16,0,0,2,0.6,"3,051","2,801.07"
Bongaigaon,59,297,670.54,"11,430","15,898.18",282,186.40,6,34.50,1,0.01,9,26.98,"12,025","16,816.61"
Cachar,163,"1,075","2,250.75","29,114","35,510.39",35,89.75,31,75.61,3,9.43,7,57.85,"30,265","37,993.78"
Charaideo,35,67,79.17,723,"1,075.17",30,65.19,13,56.20,2,2.63,3,1.4,838,"1,279.76"
Chirang,35,205,279.50,"3,337","3,167.73",4,3.00,3,4.86,0,0,0,0,"3,549","3,455.09"
Darrang,69,82,167.99,"18,765","17,980.07",12,17.18,3,34.31,0,0,5,112.17,"18,867","18,311.72"
Dhemaji,45,55,127.89,309,426.47,10,23.24,7,16,1,5,0,0,382,598.60
Dhubri,87,124,159.82,"32,392","27,470.68",3,14.47,10,43.72,0,0,12,61.99,"32,541","27,750.68"
Dibrugarh,182,650,991.19,"5,235","8,670.75",137,222.80,152,366.13,2,0.27,32,141.24,"6,208","10,392.38"
Dima Hasao,30,"2,134","3,149.18",214,419.26,5,16.75,3,15.17,0,0,0,0,"2,356","3,600.36"
Goalpara,69,"1,248",818.56,"17,074","18,592.42",6,15.20,9,34.10,5,4.69,2,43,"18,344","19,507.97"
Golaghat,120,911,769.09,"5,655","5,924.30","1,158",625.90,30,36.83,1,0,13,238.75,"7,768","7,594.87"
Hailakandi,44,70,146.99,"12,064","12,102.69",2,8.37,4,0.7,0,0,0,0,"12,140","12,258.75"
Hojai,57,131,239.26,"12,350","10,016.78",11,32.03,20,79.65,0,0,4,10.90,"12,516","10,378.62"
Jorhat,132,534,755.51,"3,761","7,897.94",505,502.22,58,507.81,2,36,28,"1,361.78","4,888","11,061.26"
Kamrup Metro,172,427,555.09,"26,731","25,593.98",491,353.41,20,54.64,0,0,22,232.52,"27,691","26,789.64"
Karbi Anglong,64,"1,774","1,914.86",390,738.15,38,39.42,7,40.33,1,0.45,12,130.37,"2,222","2,863.58"
Karimganj,88,250,226.25,"12,360","12,948.82",4,1.10,10,49.48,1,0,9,186.20,"12,634","13,411.85"
Kokrajhar,51,"1,593","1,573.04","6,734","7,158.81",7,9.17,7,1.70,0,0,2,5.45,"8,343","8,748.17"
Lakhimpur,91,453,731.19,"8,931","8,759.69",25,66.49,21,26.19,2,1.56,4,21.18,"9,436","9,606.30"
Majuli,16,1,6.5,13,32.69,1,1.04,0,0,0,0,0,0,15,40.23
Morigaon,67,67,144.92,"10,878","9,322.70",4,1.70,8,29.30,0,0,1,3.00,"10,958","9,501.62"
Nagaon,152,883,676.00,"55,758","44,755.03",70,47.87,78,193.23,7,3.8,14,288.00,"56,810","45,963.93"
Nalbari,84,45,117.56,"9,728","11,285.05",10,2.12,14,10.51,0,0,12,605.24,"9,809","12,020.48"
Sivasagar,97,302,278.73,"14,238","16,573.61",663,551.49,22,37.23,3,6.52,14,29.17,"15,242","17,476.75"
Sonitpur,125,585,"1,267.74","9,662","12,332.18",88,272.21,72,231.22,0,0,9,237.52,"10,416","14,340.87"
South Salmara,12,11,69.81,"2,281","3,324.98",0,0,1,0,0,0,1,0.47,"2,294","3,395.26"
Tinsukia,148,657,"1,176.10","2,307","3,608.48",277,"1,292.74",95,309.89,1,0.8,16,171.34,"3,353","6,559.35"
Udalguri,49,"2,822","2,064.65","3,391","3,719.10",0,0,0,0,1,5,2,5.50,"6,216","5,794.25"
West Karbi Anglong,22,200,296.40,34,82.43,1,0,5,0.67,1,0,0,0,241,379.50
