District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,Total Other (PS) NPA No.,Total Other (PS) NPA Amt
Baksa,57,0,0.00,11,23.69,125,526.61,0,0.00,45,10.79,1327,426.26,1508,987.35
Barpeta,122,0,0.00,43,133.18,153,471.29,0,0.00,470,220.03,6632,2766.60,7298,3591.10
Biswanath,57,0,0.00,20,36.51,45,115.37,0,0.00,0,0.00,3888,1536.42,3953,1688.30
Bongaigaon,59,0,0.00,9,20.46,41,212.59,0,0.00,102,49.48,3286,1257.56,3438,1540.09
Cachar,163,0,0.00,61,162.72,140,646.46,0,0.00,15,4.23,12175,4927.83,12391,5741.24
Charaideo,35,0,0.00,8,33.52,7,39.43,0,0.00,49,19.46,744,421.73,808,514.14
Chirang,35,0,0.00,13,32.37,14,19.02,0,0.00,127,43.23,1599,363.86,1753,458.48
Darrang,69,0,0.00,17,27.15,98,314.59,0,0.00,47,21.28,4413,1932.61,4575,2295.63
Dhemaji,45,0,0.00,14,38.93,35,195.14,0,0.00,17,4.01,1024,344.36,1090,582.44
Dhubri,87,0,0.00,18,61.52,71,248.80,0,0.00,255,148.06,7264,3541.64,7608,4000.02
Dibrugarh,182,0,0.00,50,141.13,132,1094.22,0,0.00,15,4.59,5304,1928.54,5501,3168.48
Dima Hasao,30,0,0.00,0,0,13,26.65,0,0.00,0,0.00,5,14.01,18,40.66
Goalpara,69,0,0.00,8,31.37,49,145.63,1,0.06,436,280.16,4828,1503.36,5322,1960.58
Golaghat,120,0,0.00,21,43.98,57,244.58,0,0.00,2,0.62,3396,1169.52,3476,1458.70
Hailakandi,44,0,0.00,11,15.36,55,275.24,0,0.00,23,12.70,2253,1027.09,2342,1330.39
Hojai,57,0,0.00,14,66.83,23,162.93,0,0.00,0,0.00,2243,2683.05,2280,2912.81
Jorhat,132,0,0.00,42,147.57,145,683.27,0,0.00,0,0.00,5099,1694.10,5286,2524.94
Kamrup Metro,172,0,0.00,54,129.01,219,592.40,0,0.00,14,5.68,19231,5142.08,19518,5869.17
Karbi Anglong,64,0,0.00,19,44.20,41,127.49,0,0.00,0,0.00,828,238.10,888,409.79
Karimganj,88,0,0.00,8,22.67,59,228.31,0,0.00,12,2.66,6418,3000.81,6497,3254.45
Kokrajhar,51,0,0.00,8,18.25,22,101.71,0,0.00,0,0.00,2790,874.39,2820,994.35
Lakhimpur,91,0,0.00,23,48.94,125,380.42,0,0.00,87,38.10,3821,2594.75,4056,3062.21
Majuli,16,0,0.00,3,5.95,27,105.00,0,0.00,0,0.00,600,834.07,630,945.02
Morigaon,67,0,0.00,15,35.92,172,543.38,0,0.00,23,9.19,1685,2365.17,1895,2953.66
Nagaon,152,0,0.00,35,121.43,208,702.20,0,0.00,2,1.58,7761,4100.58,8006,4925.79
Nalbari,84,0,0.00,39,98.06,222,561.79,0,0.00,8,2.27,6955,2356.28,7224,3018.40
Sivasagar,97,0,0.00,19,48.76,63,333.89,0,0.00,12,5.11,2217,1080.40,2311,1468.16
Sonitpur,125,0,0.00,45,98.17,164,492.79,0,0.00,1,0.44,7126,3969.43,7336,4560.83
South Salmara,12,0,0.00,6,27.97,12,32.17,0,0.00,6,4.38,200,228.40,224,292.92
Tinsukia,148,0,0.00,28,77.91,90,419.06,1,0.00,12,3.57,3365,1377.41,3496,1877.95
Udalguri,49,0,0.00,19,61.35,27,88.91,0,0.00,1,0.28,3237,1370.63,3284,1521.17
West Karbi Anglong,22,0,0.00,2,2.68,15,26.13,0,0.00,6,0.51,5,3.68,28,33.00
