district,Total Branch,Housing Loan (PS) O/S No,Housing Loan (PS) O/S Amount,Housing Loan (NPS) O/S No,Housing Loan (NPS) O/S Amount,Rural Housing Loan O/S No,Rural Housing Loan O/S Amount,Housing Loan Eligible under PMAY O/S No,Housing Loan Eligible under PMAY O/S Amount,Current Year Disbursed under PMAY No,Current Year Disbursed under PMAY Amount,PMAY O/S No,PMAY O/S Amount
Baksa,57,972,"8,896.46",536,"2,618.79","1,370","9,649.02",5,50.01,0,0,5,51.62
Barpeta,122,"3,424","30,011.35","2,393","14,853.58","1,125","7,038.68",15,190.48,0,0,24,247.06
Biswanath,57,"1,341","10,386.54",919,"5,305.25","1,201","7,079.09",11,177.65,0,0,13,202.77
Bongaigaon,59,"1,953","17,200.05","2,043","17,900.33",489,"3,481.19",47,455.33,0,0,54,570.59
Cachar,163,"6,237","26,055.14","2,589","20,019.11",695,"4,799.16",100,985.11,4,11.71,101,"1,081.99"
Charaideo,35,419,"3,339.30",335,"2,324.21",219,"1,485.53",1,10.13,0,0,1,10.16
Chirang,35,608,"5,791.06",590,"3,217.71","1,007","7,255.38",0,0,0,0,0,0
Darrang,69,"1,580","13,513.98","1,620","11,261.89",512,"4,429.90",10,103.77,0,0,12,109.79
Dhemaji,45,"1,616","14,347.14","1,667","6,136.55","1,161","7,541.02",11,101.32,1,0.5,21,187.27
Dhubri,87,"2,036","17,124.08","1,608","7,097.24",908,"5,760.23",43,328.81,0,0,46,363.47
Dibrugarh,182,"6,997","38,245.49","4,923","46,014.91","2,927","19,527.40",71,895.57,0,0,78,956.18
Dima Hasao,30,490,"3,373.11",163,"1,055.77",87,171.91,0,0,0,0,1,6.98
Goalpara,69,"1,106","10,142.83",901,"3,808.18",414,"2,774.01",5,44.17,1,0.09,8,56.10
Golaghat,120,"2,280","18,341.32","2,485","15,274.87",909,"8,110.18",19,158.47,0,0,18,163.72
Hailakandi,44,968,"6,791.23",634,"2,289.91",29,133.11,17,142.36,0,0,19,169.90
Hojai,57,929,"7,790.94",784,"4,546.62",132,859.03,14,131.91,0,0,17,162.36
Jorhat,132,"6,844","36,731.18","6,240","46,906.47","1,655","10,612.96",33,423.22,18,43,55,806.75
Kamrup Metro,172,"4,597","33,360.26","3,392","34,381.64","3,845","28,748.80",46,486.68,0,0,80,"1,037.88"
Karbi Anglong,64,"2,215","22,139.81",805,"5,186.01","1,351","12,051.33",1,10.13,0,0,4,25.95
Karimganj,88,"1,228","6,892.85",500,"4,404.23",292,"1,817.40",22,211.66,0,0,22,212.21
Kokrajhar,51,"1,075","10,652.97","1,031","10,227.30",667,"5,873.61",3,23.29,0,0,4,34.83
Lakhimpur,91,"3,368","26,783.56","2,125","14,624.60","1,146","8,759.93",50,530.16,0,0,48,533.43
Majuli,16,308,"2,120.39",128,397.71,251,"1,600.56",9,97.06,0,0,10,100.59
Morigaon,67,"1,659","11,529.70",574,"4,204.74",779,"4,216.65",45,455.06,0,0,47,524.04
Nagaon,152,"6,910","34,490.94","2,963","18,474.23","1,462","9,415.09",73,710.69,0,0,73,749.28
Nalbari,84,"2,632","22,728.59","2,619","16,753.63","1,057","8,077.02",11,105.74,4,18.66,14,123.02
Sivasagar,97,"5,376","21,878.28","2,757","20,485.23","1,050","7,060.82",19,293.70,1,0.65,29,478.10
Sonitpur,125,"6,413","30,064.05","3,950","36,483.56","1,501","10,337.54",40,314.74,2,3.5,65,586.37
South Salmara,12,279,"2,822.16",259,234.75,232,"1,252.20",0,0,0,0,0,0
Tinsukia,148,"5,526","22,734.43","2,822","27,885.70",869,"5,686.92",49,438.01,1,1.8,53,515.34
Udalguri,49,"1,678","16,290.16","1,815","2,649.63",848,"5,125.00",3,21.54,0,0,3,21.54
West Karbi Anglong,22,580,"6,032.58",87,150.50,667,"6,183.05",0,0,0,0,0,0
