district,Bank,TOTAL TRAINED,TOTAL SETTLED,TOTAL,CREDIT LINKAGE,CREDIT
Bongaigaon,AGVB,326,232,,126,
Cachar,PNB,501,381,,277,
Dhemaji,PNB,534,358,,223,
Dibrugarh,PNB,377,246,,69,
Golaghat,PNB,480,401,,216,
Jorhat,AGVB,280,197,,109,
Kamrup Metro,AGVB,405,292,,112,
Sonitpur,AGVB,350,369,,187,
Tinsukia,CBI,453,184,,112,
