District,Total Branch,Crop No.,Crop Amt,Term Loan No.,Term Loan Amt,Agri Infra No.,Agri Infra Amt,Ancillary No.,Ancillary Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt
Baksa,57,5684,3065.01,4785,2714.37,14,5.53,471,202.77,10954,5987.68
Barpeta,122,18898,11360.08,17368,6746.67,225,190.50,1024,643.82,37515,18941.07
Biswanath,57,5806,3650.11,4243,1934.04,5,2.38,478,248.23,10532,5834.76
Bongaigaon,59,2480,1471.69,2185,614.53,23,9.77,344,314.16,5032,2410.15
Cachar,163,18408,13825.38,5298,3273.69,120,170.43,1622,1849.88,25448,19119.38
Charaideo,35,1921,1773.48,1388,817.72,11,7.18,318,221.35,3638,2819.73
Chirang,35,6412,3382.68,2252,1515.57,4,3.00,198,183.31,8866,5084.56
Darrang,69,11150,6743.91,9839,5030.90,85,211.69,466,346.73,21540,12333.23
Dhemaji,45,7506,4741.79,2779,1692.35,20,17.24,476,390.96,10781,6842.34
Dhubri,87,13239,6918.69,5334,2679.88,87,30.61,726,552.84,19386,10182.02
Dibrugarh,182,27358,17372.56,9679,4114.43,73,72.89,1601,1962.32,38711,23522.20
Dima Hasao,30,589,190.43,258,158.33,1,1.00,23,20.85,871,370.61
Goalpara,69,8051,4060.45,4529,3617.83,24,15.45,1113,726.77,13717,8420.50
Golaghat,120,21625,11065.64,10062,3324.75,39,35.34,1254,1067.38,32980,15493.11
Hailakandi,44,6731,3872.36,1618,1027.29,48,52.16,278,199.24,8675,5151.05
Hojai,57,7803,4947.05,1491,841.46,50,41.61,878,617.70,10222,6447.82
Jorhat,132,19137,9551.66,9416,3294.75,74,90.43,1227,750.80,29854,13687.64
Kamrup Metro,172,25928,15081.17,12140,5081.44,90,59.39,2346,1488.83,40504,21710.83
Karbi Anglong,64,7672,3478.27,1803,888.07,2,1.50,220,179.99,9697,4547.83
Karimganj,88,8236,6986.91,5162,2513.35,68,55.52,930,1203.07,14396,10758.85
Kokrajhar,51,7781,4284.51,1949,1336.16,11,9.51,100,93.32,9841,5723.50
Lakhimpur,91,17297,12093.25,10079,3805.98,39,27.50,1082,885.56,28497,16812.29
Majuli,16,1569,843.72,960,785.23,3,1.50,43,52.09,2575,1682.54
Morigaon,67,9266,7613.56,6566,3508.94,139,120.58,1031,1111.88,17002,12354.96
Nagaon,152,34343,19190.37,24675,8505.79,90,77.25,2392,2125.89,61500,29899.30
Nalbari,84,11522,5562.06,15372,4585.30,28,34.09,569,477.91,27491,10659.36
Sivasagar,97,8676,4792.73,7069,2947.28,31,36.11,1388,778.03,17164,8554.15
Sonitpur,125,8868,5903.44,9917,4872.51,51,66.34,1341,892.75,20177,11735.04
South Salmara,12,1661,520.12,308,366.69,0,0,5,2.45,1974,889.26
Tinsukia,148,16521,12518.65,6482,2707.48,281,146.13,1105,1195.89,24389,16568.15
Udalguri,49,17036,10410.27,8440,4482.72,4,4.56,439,169.81,25919,15067.36
West Karbi Anglong,22,1665,736.74,949,297.40,14,0.00,73,26.69,2701,1060.83
