District,Total Branch,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No of Zero Balance A/C,Amt Deposits held in the A/C,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Baksa,57,"5,16,343",794,"2,00,471","3,16,586","5,17,057","57,763","14,753","2,91,672","1,61,349","1,39,693"
Barpeta,122,"11,01,473","3,63,178","6,70,674","8,68,207","15,38,881","2,14,405","40,958","8,21,600","5,74,420","4,23,325"
Biswanath,57,"3,47,525","54,263","1,62,909","2,38,839","4,01,748","41,230","15,464","1,68,278","91,378","90,254"
Bongaigaon,59,"2,13,890","1,41,267","1,70,327","2,42,227","4,12,554","33,652","16,735","2,66,936","1,52,930","77,697"
Cachar,163,"7,62,202","3,43,877","5,07,947","5,98,201","11,06,148","1,04,137","53,145","5,59,020","4,16,357","2,07,654"
Charaideo,35,"2,49,658","61,574","1,26,511","1,84,697","3,11,208","25,589","12,252","1,50,308","74,498","53,607"
Chirang,35,"3,23,871","14,815","1,34,039","2,04,565","3,38,604","35,861","10,940","2,14,935","1,13,932","78,004"
Darrang,69,"6,48,766","2,12,514","3,64,611","4,96,626","8,61,237","1,10,415","23,360","3,78,237","2,37,888","1,64,822"
Dhemaji,45,"5,56,148","1,21,418","2,90,886","3,86,573","6,77,459","46,110","18,574","3,86,634","2,42,697","74,095"
Dhubri,87,"13,25,834","2,74,225","6,81,090","9,18,379","15,99,469","2,21,870","34,857","6,26,447","4,17,945","3,15,585"
Dibrugarh,182,"4,57,572","2,17,491","2,81,143","3,97,976","6,79,119","84,063","28,799","4,14,253","2,70,532","94,119"
Dima Hasao,30,"50,391","18,580","33,832","37,484","71,316","1,938","4,590","36,406","24,804","16,411"
Goalpara,69,"5,34,986","2,06,212","3,02,765","4,38,257","7,41,022","1,35,875","17,919","3,66,190","2,37,939","1,75,291"
Golaghat,120,"5,28,141","1,17,006","2,69,169","3,88,017","6,57,186","49,932","24,724","3,13,995","2,05,220","1,40,775"
Hailakandi,44,"3,46,343","1,43,237","2,26,126","2,73,412","4,99,538","66,560","15,816","2,23,731","1,90,227","1,26,140"
Hojai,57,"3,61,090","3,01,634","2,86,673","3,75,986","6,62,659","69,525","26,662","4,24,577","2,95,151","1,13,609"
Jorhat,132,"2,73,889","2,38,419","2,16,248","2,96,019","5,12,267","49,605","17,377","2,93,608","2,20,750","80,077"
Kamrup Metro,172,"7,78,163","1,05,256","3,69,991","5,12,882","8,82,873","1,03,146","31,870","5,26,133","3,37,057","2,07,915"
Karbi Anglong,64,"2,08,303","41,851","1,11,870","1,61,779","2,73,649","16,982","11,965","84,685","45,118","54,608"
Karimganj,88,"6,35,769","80,288","3,27,384","3,88,606","7,15,990","58,385","33,630","3,28,837","2,43,113","1,36,069"
Kokrajhar,51,"5,00,118","93,569","2,70,092","3,53,019","6,23,111","87,499","19,110","3,12,810","2,12,443","1,74,620"
Lakhimpur,91,"5,61,145","2,15,503","3,45,523","4,56,586","8,02,109","48,810","30,539","4,96,483","3,01,205","1,21,202"
Majuli,16,"1,33,224","16,444","66,099","83,554","1,49,653","16,418","5,290","76,707","47,351","28,074"
Morigaon,67,"7,43,917","2,17,136","4,12,263","5,49,396","9,61,659","63,736","28,943","4,03,750","2,97,410","1,50,338"
Nagaon,152,"12,93,535","5,31,783","7,90,959","10,34,268","18,25,227","2,00,816","43,750","7,48,683","5,29,640","4,17,705"
Nalbari,84,"3,86,239","79,435","2,01,675","2,82,699","4,84,374","61,789","17,637","1,97,452","1,35,938","1,45,598"
Sivasagar,97,"2,68,767","83,113","1,55,192","2,08,566","3,63,758","23,906","18,625","2,42,733","1,47,671","66,352"
Sonitpur,125,"5,22,653","2,12,443","3,33,430","4,91,271","8,24,701","1,23,978","28,929","4,01,420","2,49,692","1,92,158"
South Salmara,12,"2,45,474","22,163","1,04,814","1,62,781","2,67,595","38,425","5,736","1,05,345","63,919","65,868"
Tinsukia,148,"3,92,458","3,22,484","3,13,093","4,11,746","7,24,839","73,870","23,563","4,06,024","3,36,688","1,10,625"
Udalguri,49,"5,73,980","1,07,265","2,77,684","4,03,450","6,81,134","1,09,005","17,026","3,14,526","1,90,172","1,28,245"
West Karbi Anglong,22,"1,12,250",0,"48,053","64,189","1,12,242","5,262","3,178","35,945","31,189","23,238"
