district,Village Name,Bank allotted,Status as on 31.05.2023
Baksa,Boglamari,UCO,
Barpeta,Mowkhowa Char N.C.,UCO,"Due to unavailibility of proper infrustructure, unable to find out suitable premises hence bank is recommending to open CSP centre."
Darrang,Algachar N.C.,UCO,
Goalpara,Khalingduar RF,UCO,
Hailakandi,Baruncherra F.V.,PNB,"There is no RCC structured building in the village and the matter has been taken up with Deputy Commissioner , Hailakandi for providing suitable government owned RCC building. In the mean while, bank has deployed a BC in the area."
Kamrup Metro,Barduar Tea Garden No.2,UCO,
Udalguri,Badalapara T.E.,PNB,Already covered with SBI Dimakuchi
