district,Total Branch,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisation No,Farm Mechanisation Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godown No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC-Agri O/S No.,Total IC-Agri O/S Amt
Baksa,57,"2,186","1,427.05",5,4.88,232,311.49,821,277.17,64,79.06,24,57.38,0,0,1,0.48,"2,064","3,353.68","5,397","5,511.19"
Barpeta,122,"3,244","2,122.75",185,77.59,"1,357","1,404.38","12,325","3,766.67",378,481.06,407,360.38,2,9.02,1,1.1,"6,284","6,795.23","24,183","15,018.18"
Biswanath,57,"1,667","1,522.20",3,216.58,51,73.72,431,178.10,118,109.43,13,24.74,0,0,1,0.1,"1,658","2,694.17","3,942","4,819.04"
Bongaigaon,59,468,230.70,55,32.52,"1,057",658.56,"4,053",859.17,179,193.23,115,46.33,2,127.48,0,0,"1,860","1,913.99","7,789","4,061.98"
Cachar,163,"4,151","2,122.59",482,203.80,"1,139","1,530.82","2,239",465.60,403,794.23,331,561.27,8,58.24,43,344.7,"4,305","5,313.42","13,101","11,394.67"
Charaideo,35,280,235.96,4,4.59,37,62.63,25,26.91,114,97.00,5,9.49,1,0.65,2,0.58,770,803.80,"1,238","1,241.61"
Chirang,35,"5,213","3,492.90",2,1.34,215,216.26,14,17.48,42,44.60,245,62.49,1,0.77,0,0,"1,431","2,132.50","7,163","5,968.34"
Darrang,69,"3,553","2,322.19",16,11.35,874,"1,338.49","4,562","1,115.25",244,170.88,222,434.67,1,27.96,3,18.58,"4,389","4,131.22","13,864","9,570.59"
Dhemaji,45,883,564.46,1,0.28,116,229.93,"5,566","1,235.58",170,181.48,25,56.28,0,0,0,0,"2,031","2,181.93","8,792","4,449.94"
Dhubri,87,925,725.16,13,7.69,387,272.15,"2,566",644.74,232,160.28,85,35.16,0,0,8,7.3,"2,127","2,343.19","6,343","4,195.67"
Dibrugarh,182,"9,373","5,708.34",332,318.18,722,823.42,"6,640","1,238.88",454,530.69,92,121.44,3,3.9,24,188.67,"6,622","12,551.26","24,262","21,484.78"
Dima Hasao,30,96,41.11,0,0,21,13.76,4,6.68,162,101.53,7,3.13,0,0,0,0,139,129.47,429,295.68
Goalpara,69,"3,952","1,836.78",27,16.46,416,321.99,"1,862",293.10,332,188.75,"1,541",357.36,6,0.95,0,0,"3,015","4,793.13","11,151","7,808.52"
Golaghat,120,"3,935","1,956.21",17,35.37,752,497.16,"7,660","1,542.63",136,261.37,41,40.74,3,454.48,6,3.37,"7,105","7,158.39","19,655","11,949.72"
