District,Total Branch,Agriculture (NPS) No.,Agriculture (NPS) Amt,Msme (NPS) No.,Msme (NPS) Amt,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt,Education (NPS) A/C,Education (NPS) Amt,Housing (NPS) A/C,Housing (NPS) Amt,Personal Loans under NPS A/C,Personal Loans under NPS Amt,Others NPS A/C,Others NPS Amt,Total Acp (NPS) Disb No.,Total Acp (NPS) Disb Amt
Baksa,57,0,0,0,0,0,0,2,10.56,99,1019.67,737,1981.02,3921,18456.67,4759,21467.92
Barpeta,122,1,295.00,0,0,0,0,6,106.56,362,4940.32,2967,9798.67,19437,79083.48,22773,94224.03
Biswanath,57,11,44.23,0,0,0,0,0,0,153,1421.13,763,2552.04,5384,17151.06,6311,21168.46
Bongaigaon,59,0,0,0,0,0,0,0,12.96,528,6053.64,1993,7534.21,12901,58980.68,15422,72581.49
Cachar,163,90,167.53,3,95.26,0,0,5,79.89,467,6816.22,4203,13603.84,35332,110441.86,40100,131204.60
Charaideo,35,0,0,0,0,0,0,0,0,62,814.13,409,1114.68,3195,14022.87,3666,15951.68
Chirang,35,4,2.00,0,0,0,0,0,0,117,1014.40,446,1106.97,3224,16068.33,3791,18191.70
Darrang,69,0,0,0,0,0,0,1,40,353,4402.17,1684,5541.24,9815,38470.00,11853,48453.41
Dhemaji,45,7,2.04,0,0,0,0,1,12.94,264,2408.76,1626,6334.61,9130,33320.61,11028,42078.96
Dhubri,87,8,2.39,0,0,0,0,1,3.5,275,2266.88,1563,4327.20,13594,47717.02,15441,54316.99
Dibrugarh,182,18,407.49,5,175.25,0,0,11,173.77,818,14048.83,6869,32637.52,35408,128979.64,43129,176422.50
Dima Hasao,30,0,0,0,0,0,0,0,0,36,551.77,556,1299.28,2344,11996.72,2936,13847.77
Goalpara,69,12,10.48,0,0,0,0,0,0,148,1612.55,1042,3574.05,8028,33307.78,9230,38504.86
Golaghat,120,14,362.15,0,0,0,0,1,13.88,446,5376.17,3263,10907.61,17530,78113.46,21254,94773.27
Hailakandi,44,9,3.08,0,0,0,0,0,0,78,977.73,643,2395.68,6538,21096.55,7268,24473.04
Hojai,57,12,1.24,0,0,0,0,1,9.31,161,2505.09,1267,4269.94,8881,28786.10,10322,35571.68
Jorhat,132,9,202.27,6,199.25,0,0,3,103.75,1174,12765.39,4861,17068.03,26404,94850.29,32457,125188.98
Kamrup Metro,172,15,8.74,0,0,0,0,6,111.92,784,12187.75,6883,29269.33,40844,245447.64,48532,287025.38
Karbi Anglong,64,0,0,0,0,0,0,0,0,114,1123.66,1086,3356.27,6993,33694.64,8193,38174.57
Karimganj,88,3,0.40,0,0,0,0,1,12.23,90,1207.02,1581,6074.42,11415,30629.03,13090,37923.10
Kokrajhar,51,4,0.97,0,0,0,0,1,25.55,310,3474.68,1398,5670.66,9884,38024.49,11597,47196.35
Lakhimpur,91,3,2.20,4,126.35,0,0,5,85.55,504,5836.69,2858,12486.58,15192,56757.53,18566,75294.90
Majuli,16,0,0,0,0,0,0,0,0,83,698.07,451,2632.16,901,4971.33,1435,8301.56
Morigaon,67,12,4.80,0,0,0,0,2,38.99,145,1831.27,1515,7017.47,7685,28235.17,9359,37127.70
Nagaon,152,0,0,6,28.5,0,0,7,152.74,636,7070.09,3499,14878.31,26080,107589.96,30228,129719.60
Nalbari,84,1,0.56,5,128.4,0,0,2,33.43,525,6349.38,2125,7309.50,11985,46662.59,14643,60483.86
Sivasagar,97,4,4.9,0,0,0,0,5,78.74,583,7466.79,3908,15958.59,23365,84169.33,27865,107678.35
Sonitpur,125,3,1.10,0,0,0,0,7,194.14,917,12316.57,3837,14586.10,23199,87864.57,27963,114962.48
South Salmara,12,0,0,0,0,0,0,0,0,61,40.55,79,208.61,765,4511.01,905,4760.17
Tinsukia,148,9,375.68,6,425,0,0,8,69.15,488,7738.85,3967,15417.33,19925,88355.93,24403,112381.94
Udalguri,49,0,0,0,0,0,0,4,3.11,205,1068.67,684,1299.56,4997,25667.08,5890,28038.42
West Karbi Anglong,22,0,0,0,0,0,0,0,0,15,54.62,164,272.90,861,4731.95,1040,5059.47
