district,Total Branch,Current Year Self-Help Group No.,Current Year Self- Help Group Amount,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No.,NRLM Irregular A/C Amt.,NRLM NPA No.,NRLM NPA Amt.,NRLM NPA Amt. %
Baksa,57,"2,796","9,854.25","4,903","9,670.99",241,584.20,99,78.12,0.81
Barpeta,122,"4,508","12,604.79","8,274","12,892.43",329,596.64,457,262.54,2.04
Biswanath,57,"3,770","10,415.97","6,648","11,306.51",704,820.08,181,189.78,1.68
Bongaigaon,59,"2,336","7,403.36","3,915","6,288.46",214,337.37,45,24.96,0.40
Cachar,163,"2,680","7,976.48","4,922","6,682.51",479,727.46,211,94.68,1.42
Charaideo,35,"1,697","6,574.50","3,398","5,158.63",267,292.77,101,33.84,0.66
Chirang,35,"1,643","5,931.92","3,844","6,268.67",337,356.36,125,59.63,0.95
Darrang,69,"2,815","9,148.68","5,589","9,493.52",280,345.58,155,142.51,1.50
Dhemaji,45,"4,087","11,301.73","6,462","11,015.41",753,830.40,196,76.04,0.69
Dhubri,87,"3,534","11,294.02","7,373","9,679.78",558,409.95,361,100.05,1.03
Dibrugarh,182,"4,166","10,709.70","7,265","11,235.31",302,558.02,228,116.70,1.04
Dima Hasao,30,554,"1,455.40",840,"1,347.49",396,416.80,6,3.06,0.23
Goalpara,69,"2,953","10,799.99","5,584","8,159.64",460,754.71,259,129.86,1.59
Golaghat,120,"5,089","16,491.38","8,531","16,109.73",406,494.17,131,69.36,0.43
Hailakandi,44,"1,552","4,464.56","2,719","3,561.92",152,120.49,147,64.55,1.81
Hojai,57,"2,667","6,842.74","3,502","4,461.16",256,281.45,187,111.07,2.49
Jorhat,132,"3,094","10,401.88","5,624","11,634.89",254,414.71,42,25.80,0.22
Kamrup Metro,172,"6,252","18,834.76","10,851","19,196.44",453,530.17,558,474.33,2.47
Karbi Anglong,64,"3,331","11,710.48","5,133","10,776.90","1,737","3,860.86",3,1.04,0.01
Karimganj,88,"1,526","4,804.38","2,902","3,837.36",251,342.74,142,104.27,2.72
Kokrajhar,51,"2,249","6,600.91","3,980","5,125.10",396,469.91,86,61.12,1.19
Lakhimpur,91,"4,455","11,259.09","8,434","12,512.80",576,921.20,257,105.40,0.84
Majuli,16,865,"3,352.04","1,833","3,209.73",111,183.87,26,18.37,0.57
Morigaon,67,"2,733","7,212.56","4,538","6,383.56",211,361.11,510,286.55,4.49
Nagaon,152,"6,635","18,540.80","11,928","19,182.41",538,602.39,342,174.97,0.91
Nalbari,84,"2,682","8,256.97","7,690","13,858.44",167,225.93,185,134.08,0.97
Sivasagar,97,"2,145","6,855.77","4,613","6,883.40",275,292.40,109,45.34,0.66
Sonitpur,125,"4,066","13,055.82","8,072","14,782.89",363,560.28,345,150.28,1.02
South Salmara,12,274,"1,024.33",736,926.42,21,18.07,146,38.73,4.18
Tinsukia,148,"3,043","9,029.52","6,352","10,438.55",392,501.78,184,95.13,0.91
Udalguri,49,"1,979","5,606.08","4,223","7,164.46",297,414.47,77,67.28,0.94
West Karbi Anglong,22,"1,208","3,288.88","1,674","2,994.89",734,"1,160.02",0,0,0
