district,Total Branch,BHIM/UPI A/c,BHIM/UPI Amt.,BHIM Aadhaar A/C,BHIM Aadhaar Amt.,Bharat QR Code A/C,Bharat QR Code Amt.,IMPS A/C,IMPS Amt.,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt.,USSD A/C,USSD Amt.
Baksa,57,"16,79,130","69,349.69","98,63,337","1,49,592.64","3,436",638.69,"54,39,047","22,82,723.14","3,92,512","26,850.13","2,52,053","5,069.89"
Barpeta,122,"1,16,77,567","4,20,015.06","2,93,41,983","5,85,984.16","5,925","1,262.07","2,04,47,582","85,73,004.28","10,56,639","1,65,041.15","6,84,710","14,927.63"
Biswanath,57,"38,04,162","89,884.93","82,92,017","1,28,345.91","2,129",554.33,"65,56,092","21,91,034.44","6,89,951","1,44,476.85","2,46,263","5,273.52"
Bongaigaon,59,"41,11,536","1,43,753.66","1,01,80,057","2,00,983.21","4,376",871.27,"1,05,81,514","42,00,621.14","6,48,143","99,026.38","4,55,420","9,971.07"
Cachar,163,"94,80,639","2,87,523.91","2,35,70,287","4,05,091.56","9,433","2,229.93","2,94,06,187","87,81,327.72","13,83,257","1,88,216.76","8,75,507","19,540.65"
Charaideo,35,"11,56,635","32,108.50","52,95,364","80,375.41",922,342.16,"11,30,826","9,00,256.25","2,38,570","23,203.74","2,04,136","4,160.89"
Chirang,35,"11,17,265","46,192.78","66,37,695","1,15,493.29","1,369",280.95,"6,58,069","4,88,327.60","1,84,422","14,287.32","3,55,385","7,380.99"
Darrang,69,"67,26,517","2,31,391.61","1,22,68,708","2,15,336.02","3,833",852.82,"1,50,80,646","78,52,921.13","6,56,351","72,730.48","3,03,515","6,448.34"
Dhemaji,45,"32,24,727","92,834.25","1,32,74,423","1,94,526.40","2,397",560.41,"48,22,165","21,61,641.27","4,34,907","82,662.66","2,97,160","6,210.85"
Dhubri,87,"50,86,458","2,20,136.69","1,81,63,821","3,73,460.90","3,354",619.57,"96,39,132","41,68,243.44","6,60,266","1,28,595.92","3,26,000","9,054.55"
Dibrugarh,182,"1,28,18,497","3,60,433.05","2,50,75,360","3,88,411.25","11,067","2,554.67","4,96,81,339","1,35,37,609.74","30,08,680","3,17,073.63","16,76,174","31,480.13"
Dima Hasao,30,"7,04,501","21,348.57","42,91,235","80,953.01",937,152.01,"53,601","4,13,616.65","1,57,068","36,043.10","1,39,731","3,502.87"
Goalpara,69,"41,48,327","1,98,750.83","1,08,24,761","2,42,047.58","3,489","1,302.95","1,12,63,922","52,06,681.10","4,38,968","1,19,422.17","2,55,168","6,211.67"
Golaghat,120,"88,62,242","2,09,781.57","1,59,06,352","2,33,933.15","3,763","1,064.26","3,13,35,733","80,66,335.66","15,41,648","1,57,711.73","6,83,406","14,452.55"
Hailakandi,44,"35,38,599","97,905.92","87,74,453","1,29,370.05","1,294",263.27,"26,36,012","10,64,387.43","2,88,105","71,563.28","1,19,231","2,773.77"
Hojai,57,"52,87,604","1,87,100.32","1,41,36,685","2,70,325.14","5,415","1,282.25","1,84,21,273","66,59,063.27","5,85,933","1,33,078.02","2,26,624","5,578.32"
Jorhat,132,"92,87,259","3,15,770.93","1,78,98,027","2,58,832.50","8,598","2,129.77","4,44,04,953","1,21,70,361.48","18,43,696","1,43,005.14","13,78,621","25,835.86"
KARIMGANJ,88,"64,31,131","2,34,569.31","1,40,57,283","2,74,331.15","4,046",786.70,"1,86,86,705","2,80,44,568.02","5,80,119","1,19,113.48","2,55,754","6,700.51"
Kamrup,172,"1,27,61,817","3,71,185.24","2,10,02,362","3,71,314.19","6,941","1,501.22","2,66,72,629","98,91,200.84","17,43,533","2,23,145.46","9,22,026","19,017.05"
Kamrup Metro,426,"5,64,77,480","29,10,302.88","6,03,12,121","10,93,545.47","69,014","15,342.62","40,47,05,915","10,78,41,042.00","99,24,131","7,54,343.20","58,00,437","1,15,711.15"
Karbi Anglong,64,"24,17,235","71,656.87","1,10,56,514","1,87,599.33","1,687",412.03,"74,33,064","21,64,263.70","4,67,781","1,22,138.32","3,64,918","8,126.83"
Kokrajhar,51,"18,03,361","84,136.97","1,03,64,219","1,75,607.30","2,331",381.60,"62,05,087","28,16,909.63","3,18,116","47,652.54","4,56,177","9,828.65"
Lakhimpur,91,"53,83,339","1,38,642.39","1,80,75,103","2,80,269.08","3,033",798.48,"1,08,96,334","37,60,737.98","7,93,627","1,18,576.41","4,44,851","9,146.41"
Majuli,16,"2,70,789","12,758.90","22,43,076","26,443.68",968,182.57,"89,400","3,80,586.72","82,011","13,066.70","41,846",818.79
Morigaon,67,"67,26,595","2,10,273.98","66,61,310","1,26,224.35","3,340",840.42,"96,28,752","47,92,376.70","6,92,048","1,21,491.06","2,08,333","4,583.36"
Nagaon,152,"99,19,348","3,07,477.20","2,38,53,812","4,50,589.29","5,951","2,073.97","1,90,05,982","74,73,080.32","13,04,114","2,35,278.46","7,95,234","17,731.53"
Nalbari,84,"36,62,380","1,04,874.35","1,06,00,170","1,84,221.93","2,772","1,040.66","90,23,789","32,97,467.46","5,88,898","1,16,829.22","5,12,198","9,747.88"
Sivasagar,97,"72,28,573","1,50,489.47","1,50,77,999","2,36,865.80","4,523","1,417.56","1,96,30,312","51,01,756.94","14,22,102","1,14,488.70","10,80,563","21,588.73"
Sonitpur,125,"83,26,853","2,17,263.51","2,29,77,452","3,56,185.48","6,903","1,573.62","2,06,92,859","68,77,713.88","11,90,962","2,32,345.38","13,19,136","23,015.85"
South Salmara,12,"49,810","29,427.14","24,43,199","69,475.33","1,149",172.52,"44,361","7,18,501.15","17,330","1,285.25","21,768",755.08
Tinsukia,148,"91,39,315","2,35,191.22","1,72,18,715","2,69,472.70","8,118","2,109.92","5,79,47,071","1,65,89,208.58","16,21,411","2,84,231.14","7,94,660","14,988.53"
Udalguri,49,"9,76,151","44,053.44","1,18,78,760","1,65,327.61","1,683",252.81,"26,64,469","11,87,805.70","1,69,812","83,614.56","2,40,285","4,858.29"
West Karbi Anglong,22,"5,04,714","8,809.18","39,46,101","58,122.52",0,0,"33,897","1,626.58","70,571","3,062.07","66,311","1,619.15"
