district,Total Branch,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C Nos,Forestry and wasteland Dev. Amt,Water Resource A/C Nos,Water Resource Amount,Farm mechanizatio n A/C Nos,Farm mechanization Amount,Plantation & horticulture A/C Nos,Plantation & horticulture Amount,Animal Husbandry A/C Nos,Animal Husbandry Amount,Fishery A/C Nos,Fishery Amount,Farm Credit Others A/C Nos,Farm Credit Others Amount,Agri. Infrastruc ture Ac,Agri. Infrastructure Amt,Ancillary Activities Ac,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Baksa,57,"3,489","4,523.02",5,1.98,0,0,599,204.34,0,0,691,"1,950.27",14,14.67,"4,491","7,671.38",3,8.71,"1,364","1,896.63","10,656","16,271.00"
Barpeta,122,"9,592","11,443.90",372,254.76,0,0,"9,525","3,141.04",21,31.21,704,902.80,266,131.24,"8,278","13,542.58",29,31.49,"1,945","5,622.35","30,732","35,101.37"
Biswanath,57,"4,689","4,889.72",2,0.69,0,0,325,122.39,0,0,"1,300","2,791.21",17,67.06,"3,339","7,066.84",16,115.78,"1,443","3,360.72","11,131","18,414.41"
Bongaigaon,59,"3,107","5,474.99",64,45.00,0,0,"3,224",807.29,13,15.46,201,386.80,105,76.85,"3,396","7,643.65",4,6.21,"1,596","3,678.76","11,710","18,135.01"
Cachar,163,"9,980","11,582.80",340,251.72,0,0,"2,793",782.79,7,12.06,355,645.11,243,885.11,"6,704","8,207.78",17,366.95,"1,450","4,774.80","21,889","27,509.12"
Charaideo,35,"1,524","2,428.45",0,0,0,0,0,0,0,0,332,"1,264.75",6,5.52,"2,291","5,467.22",10,13.77,"1,031",935.53,"5,194","10,115.24"
Chirang,35,"3,652","3,657.13",0,0,0,0,1,0.02,0,0,95,147.18,225,67.05,"3,489","6,935.54",10,4.45,914,"1,254.28","8,386","12,065.65"
Darrang,69,"5,865","5,854.17",178,132.24,0,0,"2,930",987.33,11,15.7,485,887.37,164,355.72,"6,713","9,486.67",266,178.57,"1,623","3,749.51","18,235","21,647.28"
Dhemaji,45,"6,124","5,711.77",0,0,0,0,"3,720","1,227.48",0,0,"1,228","2,633.85",51,100.30,"2,664","5,936.92",4,3.13,"1,355","1,761.58","15,146","17,375.03"
Dhubri,87,"4,696","6,775.21",132,88.29,0,0,"2,413",625.04,2,2.4,625,"2,403.09",85,41.45,"3,557","9,582.59",11,7.06,"1,716","3,454.84","13,237","22,979.97"
Dibrugarh,182,"15,950","15,956.23",327,225.60,3,7.23,"4,799","1,192.98",9,26.07,"1,783","3,421.18",18,23.57,"10,848","14,548.59",208,233.22,"6,488","23,773.05","40,433","59,407.72"
Dima Hasao,30,347,249.70,0,0,0,0,0,0,0,0,111,121.88,4,1.06,507,"1,288.45",0,0,102,200.82,"1,071","1,861.91"
Goalpara,69,"5,103","5,705.14",41,22.63,0,0,"1,304",298.63,0,0,590,"1,293.56","1,509",453.64,"4,345","9,786.64",6,6.38,"2,080","3,213.77","14,978","20,780.39"
Golaghat,120,"9,805","11,256.30",120,75.13,0,0,"5,280","1,458.06",12,28.82,"1,315","3,050.07",13,22.32,"10,094","14,176.62",52,247.46,"4,260","13,646.74","30,951","43,961.52"
Hailakandi,44,"2,552","2,308.64",0,0,0,0,156,72.37,0,0,337,569.64,4,1.5,"1,320","2,715.14",2,0.11,775,"1,104.59","5,146","6,771.99"
Hojai,57,"7,636","6,894.94",4,2.51,0,0,"1,231",321.36,33,6.9,164,162.99,71,52.02,"2,233","3,574.31",27,209.67,"1,465","2,275.94","12,864","13,500.64"
Jorhat,132,"7,900","7,705.72",272,152.50,4,3.21,"2,445",700.10,39,18.5,588,"1,063.65",24,18.91,"10,383","13,807.01",243,335.55,"3,667","33,216.85","25,565","57,022.00"
KARIMGANJ,88,"3,924","3,554.94",99,72.01,0,0,210,76.18,0,0,351,857.39,180,612.19,"2,453","4,250.11",3,10.01,"1,058","1,568.78","8,278","11,001.61"
Kamrup,172,"12,379","12,452.55",996,913.77,0,0,"11,243","3,398.98",68,29.29,"1,773","2,511.26",364,304.97,"14,624","16,976.39",33,48.7,"4,855","6,598.79","46,335","43,234.70"
Kamrup Metro,426,"3,768","9,381.41",522,566.24,5,5.25,854,306.99,23,30.06,"2,458","1,487.70",450,167.03,"6,017","30,317.04",58,2996.98,"3,117","43,757.88","17,272","89,016.58"
Karbi Anglong,64,"9,832","6,467.00",4,7.60,0,0,843,285.37,74,123.59,"2,455","5,203.27",39,31.90,"4,033","9,890.70",2,0.6,799,478.56,"18,081","22,488.59"
Kokrajhar,51,"5,587","8,288.42",36,38.40,0,0,499,279.52,8,18.76,202,319.76,42,49.39,"3,758","6,383.77",4,2.25,"1,148","1,797.66","11,284","17,177.93"
Lakhimpur,91,"12,244","10,984.55",1,0.53,0,0,"5,777","1,643.60",68,71.86,582,"1,104.07",30,47.44,"5,131","7,935.92",15,10.36,"2,048","3,083.55","25,896","24,881.88"
Majuli,16,"1,531","3,414.49",0,0,0,0,0,0,0,0,225,932.43,9,7.58,231,672.66,1,0.31,243,594.99,"2,240","5,622.46"
Morigaon,67,"8,617","6,250.06",28,21.98,7,15.89,"2,314",807.81,0,0,488,647.24,204,335.57,"4,566","6,626.09",23,17.71,"1,795","1,491.63","18,042","16,213.98"
Nagaon,152,"12,317","12,588.24",27,26.13,0,0,"11,399","2,931.69",25,11.84,"1,029","1,462.81",139,156.14,"11,351","17,662.95",68,272.28,"4,191","6,263.92","40,546","41,376.00"
Nalbari,84,"4,501","5,028.29",90,60.76,0,0,"7,888","2,329.21",63,33.42,379,737.81,27,32.66,"6,045","7,710.26",10,14.35,"1,437","3,134.75","20,440","19,081.51"
Sivasagar,97,"5,487","6,175.83",150,93.15,0,0,"3,206",815.22,1,0.5,557,541.72,23,19.77,"11,855","10,245.60",48,98.04,"4,109","7,135.49","25,436","25,125.32"
Sonitpur,125,"6,872","7,991.25",148,111.09,0,0,"4,034","1,308.68",2,5.69,937,"2,267.43",41,39.26,"8,452","16,013.64",19,82.06,"3,600","9,685.90","24,105","37,505.00"
South Salmara,12,368,587.06,0,0,0,0,0,0,0,0,0,0,1,3,270,"1,061.31",0,0,25,66.74,664,"1,718.11"
Tinsukia,148,"10,629","14,543.56",119,75.48,0,0,"6,960","1,804.78",7,10.82,624,"1,918.45",30,37.94,"6,893","10,654.48",156,357.03,"2,777","22,008.44","28,195","51,410.98"
Udalguri,49,"4,242","3,465.47",1,1.28,0,0,54,86.19,0,0,198,284.48,23,43.67,"3,956","6,675.19",8,295.21,"1,523","2,000.92","10,005","12,852.41"
West Karbi Anglong,22,"2,204",945.36,0,0,0,0,0,0,0,0,248,636.20,2,4.99,"1,423","3,237.87",0,0,29,46.74,"3,906","4,871.16"
