District,Total Branch,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Baksa,57,619,1421.52,3819,4775.23,3125,8065.43,14915,25289.36
Barpeta,122,2689,3325.37,13510,10419.98,1270,3681.18,6074,10199.52
Biswanath,57,1717,2358.69,7306,6821.45,1630,2046.53,9683,7791.49
Bongaigaon,59,1679,2979.00,7487,9273.82,1003,5081.18,6039,14452.92
Cachar,163,9677,10484.34,40269,30424.49,1104,2993.52,8327,11619.18
Charaideo,35,349,403.02,1304,1357.93,310,645.39,1323,1886.88
Chirang,35,991,1153.01,3303,3270.65,2294,9417.89,12013,24943.22
Darrang,69,705,1191.32,3937,3788.44,511,1159.76,2813,4030.37
Dhemaji,45,983,2039.13,5439,6542.36,5774,14976.20,24808,41875.91
Dhubri,87,1491,2206.15,8075,7181.50,564,1376.04,3174,4611.61
Dibrugarh,182,4247,5761.28,15957,18062.29,4934,10261.06,17612,29155.71
Dima Hasao,30,124,532.11,1409,2441.03,1420,6745.52,6169,18312.58
Goalpara,69,1018,1301.12,5018,4726.69,2844,4484.81,13724,14784.13
Golaghat,120,3452,3902.11,14324,12051.41,3971,5741.31,16571,16861.06
Hailakandi,44,2199,2302.47,7787,6426.21,158,425.59,1754,1969.24
Hojai,57,2904,3485.69,11812,9208.20,1062,2427.80,4926,6678.81
Jorhat,132,3427,4490.64,14348,14187.12,3032,6023.28,16701,19134.22
Kamrup Metro,172,3100,4371.23,18213,14432.20,4225,7360.13,18367,20371.09
Karbi Anglong,64,445,1144.68,1640,3669.52,6678,17529.16,21309,49962.18
Karimganj,88,6766,5414.88,20352,12301.31,513,591.64,3138,2643.21
Kokrajhar,51,1130,1946.59,4064,5490.46,4929,18649.85,21371,62212.45
Lakhimpur,91,2274,3709.22,16723,15642.39,5407,11343.18,26166,38134.36
Majuli,16,146,507.81,1380,1518.20,554,1947.15,2687,4454.56
Morigaon,67,2148,2166.49,11190,7937.53,3100,3355.54,15842,11922.52
Nagaon,152,4588,5836.15,23719,18729.51,3919,5883.26,15911,15905.41
Nalbari,84,833,1214.10,6545,5639.18,637,1575.94,4322,5813.23
Sivasagar,97,2117,3694.26,9452,10561.85,1683,3842.72,6736,10390.88
Sonitpur,125,2667,4203.66,12502,13157.87,2750,5562.74,13969,16923.37
South Salmara,12,19,144.84,57,277.55,25,121.80,70,319.06
Tinsukia,148,1420,2208.06,7389,9191.94,2315,6645.05,9565,18865.27
Udalguri,49,794,1411.77,3129,3429.15,4843,10928.94,28391,39967.95
West Karbi Anglong,22,66,216.60,1124,901.29,1051,3656.40,4537,11483.27
