District,Total Branch,Sishu O/S No.,Sishu O/S Amt,Sishu NPA No.,Sishu NPA Amt,Kishore O/S No.,Kishore O/S Amt,Kishore NPA No.,Kishore NPA Amt,Tarun O/S No.,Tarun O/S Amt,Tarun NPA No.,Tarun NPA Amt,Total MUDRA O/S No.,Total MUDRA O/S Amt,Total MUDRA NPA No.,Total MUDRA NPA Amt,MUDRA NPA Pct
Baksa,57,7699,1713.86,1419,297.52,6378,6610.10,829,1134.09,229,1177.40,25,132.85,14306,9501.36,2273,1564.46,16.47
Barpeta,122,33814,10270.33,5257,1728.55,34862,30493.13,9092,7521.05,2011,9557.66,158,666.98,70687,50321.12,14507,9916.58,19.71
Biswanath,57,8513,1777.27,1478,353.61,12482,9570.20,2139,1517.43,481,2291.49,26,126.04,21476,13638.96,3643,1997.08,14.64
Bongaigaon,59,13887,2670.68,3271,470.61,11711,9677.23,1993,1481.72,1180,5014.62,45,193.80,26778,17362.53,5309,2146.13,12.36
Cachar,163,50257,10475.75,8770,1882.22,66527,45693.54,14874,10799.55,2253,10108.76,162,887.74,119037,66278.05,23806,13569.51,20.47
Charaideo,35,6048,1283.29,1368,302.21,4788,4619.29,391,501.61,324,1892.52,16,83.58,11160,7795.10,1775,887.40,11.38
Chirang,35,7194,1491.15,1122,233.65,8295,6737.90,1769,1672.90,172,997.88,25,111.58,15661,9226.93,2916,2018.13,21.87
Darrang,69,17652,3610.49,3295,757.57,18190,15605.35,4429,3715.63,1076,5765.80,164,904.26,36918,24981.64,7888,5377.46,21.53
Dhemaji,45,8654,1862.53,2442,680.78,7340,8019.45,1592,1872.36,653,3378.39,81,398.23,16647,13260.37,4115,2951.37,22.26
Dhubri,87,25052,5345.00,5708,1325.87,29368,22619.64,10656,8332.30,706,3512.09,105,365.25,55126,31476.73,16469,10023.42,31.84
Dibrugarh,182,41050,7873.13,7681,1621.02,30550,27293.56,3833,3824.18,2581,13922.06,376,1645.02,74181,49088.75,11890,7090.22,14.44
Dima Hasao,30,1636,234.48,331,53.02,1008,1436.21,120,137.24,153,838.19,11,69.02,2797,2508.88,462,259.28,10.33
Goalpara,69,16304,3438.35,4720,947.53,17066,13568.44,4272,3305.57,662,3010.16,82,380.65,34032,20016.95,9074,4633.75,23.15
Golaghat,120,25284,6936.19,4452,1221.84,26070,20011.42,2979,2360.72,1230,5335.64,125,546.45,52584,32283.25,7556,4129.01,12.79
Hailakandi,44,8201,1723.13,1296,287.79,13602,11003.28,2921,2415.08,497,2391.44,42,165.83,22300,15117.85,4259,2868.70,18.98
Hojai,57,11253,2170.88,1933,481.85,16845,13864.26,2993,2642.01,1163,7405.51,179,773.92,29261,23440.65,5105,3897.78,16.63
Jorhat,132,29887,8853.68,5190,1432.30,22573,20103.01,2956,2582.76,1476,7325.63,158,662.49,53936,36282.32,8304,4677.55,12.89
Kamrup Metro,172,51164,17677.79,10428,3122.43,53616,38496.88,13308,8887.02,1734,8432.31,179,878.93,106514,64606.98,23915,12888.38,19.95
Karbi Anglong,64,4559,919.57,758,121.78,3997,4700.95,281,353.57,385,2029.37,27,132.60,8941,7649.89,1066,607.95,7.95
Karimganj,88,24619,4958.62,5196,1156.83,32633,22959.55,7738,6443.03,912,4997.15,112,713.86,58164,32915.32,13046,8313.72,25.26
Kokrajhar,51,15236,3518.47,1392,310.33,11109,8782.77,2214,1960.73,305,1835.21,23,142.23,26650,14136.45,3629,2413.29,17.07
Lakhimpur,91,18957,3994.16,4341,1298.70,20277,18112.25,3961,4037.46,1095,5238.88,180,908.37,40329,27345.29,8482,6244.53,22.84
Majuli,16,1993,438.43,577,126.58,728,1518.76,179,201.37,207,1308.41,44,267.82,2928,3265.60,800,595.77,18.24
Morigaon,67,9762,2346.17,1706,468.13,17493,14762.63,3010,3172.70,1015,5569.77,207,1105.27,28270,22678.57,4923,4746.10,20.93
Nagaon,152,37250,12793.34,6642,2457.02,48270,37553.05,10071,8179.83,2102,10766.03,625,2102.86,87622,61112.42,17338,12739.71,20.85
Nalbari,84,19743,8312.67,4148,1487.94,15738,13176.20,2598,2399.32,640,3432.71,61,343.07,36121,24921.58,6807,4230.33,16.97
Sivasagar,97,18842,3855.32,2552,525.17,20430,17786.56,1827,1483.94,1271,6437.55,70,353.35,40543,28079.43,4449,2362.46,8.41
Sonitpur,125,25878,7485.21,5314,1430.11,31896,25248.45,5970,4784.92,1763,9443.80,224,1000.42,59537,42177.46,11508,7215.45,17.11
South Salmara,12,236,56.78,105,22.26,901,1311.54,348,400.52,97,542.69,7,40.94,1234,1911.01,460,463.72,24.27
Tinsukia,148,20725,4176.65,4476,823.28,22440,22600.14,2872,2974.91,2094,12798.17,205,1157.91,45259,39574.96,7553,4956.10,12.52
Udalguri,49,6074,1472.52,1083,281.57,5535,5842.12,1625,2039.05,206,1248.81,25,123.99,11815,8563.45,2733,2444.61,28.55
West Karbi Anglong,22,405,65.34,138,8.39,247,354.75,25,35.99,57,193.64,3,11.01,709,613.73,166,55.39,9.03
