district,Total Branch,No. of KCC issued during quarter (Including renewal),KCC Disbursed Amount during quarter,Total O/S KCC No.,Total O/S KCC Amount.,Number of rupay card Issued,KCC Card activated,No. of KCC for animal husbandary issued during quarter (Including renewal),KCC for animal husbandary Amount disbursed during quarter,AH Total no. of KCC,AH Outstanding amount.,AH Number of rupay card Issued,AH Card activated,No. of KCC for Fishries issued during quarter (including renewal),KCC for Fishery Amount disbursed during quarter,Fishery Total no. of KCC,Fishery Outstanding amount.,Fishery Number of rupay card Issued,Fishery Card activate d
Baksa,57,"1,186",791.86,"17,612","12,915.77","7,741","6,438",23,14.13,141,229.42,18,18,7,7.82,19,24.33,11,11
Barpeta,122,"11,905","7,812.76","64,648","40,626.85","24,562","16,441",258,140.01,737,738.55,51,50,33,13.76,322,459.14,50,49
Biswanath,57,"1,991","1,783.27","23,398","15,618.57","9,337","7,091",36,43.86,279,333.58,19,17,17,92.96,31,110.98,5,5
Bongaigaon,59,"1,898","1,957.49","15,799","10,811.54","6,696","5,934",30,26.26,234,258.69,18,18,9,53.05,150,169.54,2,2
Cachar,163,"4,414","2,314.36","43,796","24,622.65","26,665","24,180",76,73.10,"1,563","3,339.86",17,21,67,244.41,481,546.85,74,74
Charaideo,35,127,84.31,"10,545","6,741.51","6,782","6,462",39,82.55,257,333.28,9,9,6,5.52,89,76.10,3,3
Chirang,35,"1,829",657.05,"14,394","9,548.52","8,156","7,214",17,17.15,127,167.42,2,2,4,6.04,15,61.05,1,1
Darrang,69,"4,545","1,855.56","35,120","21,414.15","16,639","13,009",188,166.03,449,513.94,16,16,193,466.89,643,740.01,22,21
Dhemaji,45,"7,565","5,119.19","32,421","19,317.06","12,817","9,306",185,74.67,505,548.08,26,26,13,25.59,88,82.36,17,17
Dhubri,87,"1,606","1,184.04","29,773","17,471.93","13,904","10,838",30,37.25,543,748.00,20,20,28,39.00,74,340.70,0,0
Dibrugarh,182,"15,475","12,254.71","65,273","43,007.36","31,893","21,423",63,24.27,828,"1,036.28",61,62,36,51.19,163,159.86,3,3
Dima Hasao,30,48,80.99,"1,703",678.01,846,757,15,15.72,112,77.20,55,51,11,6.28,18,7.76,6,6
Goalpara,69,"2,202",918.63,"24,118","13,551.53","13,333","12,045",8,7.64,397,425.46,12,6,4,14.05,449,349.04,6,6
Golaghat,120,"6,271","3,959.82","59,895","31,902.56","25,096","14,859",109,137.05,671,860.94,10,10,7,5.97,52,53.74,4,4
Hailakandi,44,"2,123",195.76,"17,728","9,794.03","10,382","9,692",50,12.23,396,478.51,21,21,10,6.64,30,50.00,4,4
Hojai,57,"2,572","1,295.73","21,118","12,061.04","11,811","9,642",82,48.61,527,840.07,9,8,32,19.88,70,163.68,0,0
Jorhat,132,"5,583","2,809.95","43,250","21,533.04","22,891","13,112",41,22.12,655,827.09,15,14,15,22.53,178,135.31,6,4
KARIMGANJ,88,701,174.81,"24,366","16,709.33","15,611","14,664",18,47.42,"1,177","1,547.11",11,11,25,162.81,168,349.24,27,27
Kamrup,172,"10,581","3,468.38","76,810","39,260.10","33,478","24,776",94,78.86,701,"1,016.49",34,33,16,145.34,269,343.04,18,17
Kamrup Metro,426,"1,392","1,471.96","10,681","7,615.74","5,406","2,542",37,22.35,304,676.51,4,4,13,19.86,362,416.63,8,7
Karbi Anglong,64,"1,953","1,472.62","29,251","16,358.74","3,880","2,849",47,35.90,205,184.47,4,4,36,46.75,79,71.17,2,2
Kokrajhar,51,"2,017","3,827.85","22,741","18,798.60","9,811","9,246",25,17.01,181,196.51,1,1,37,61.84,190,147.61,7,7
Lakhimpur,91,"9,158","7,121.16","65,204","39,582.95","25,399","20,480",85,78.99,968,"1,335.50",20,16,69,86.14,249,366.29,3,3
Majuli,16,123,71.94,"4,847","2,516.22","3,191","2,566",18,8.27,66,102.84,0,0,13,6.92,106,75.60,9,9
Morigaon,67,"5,071","2,458.42","40,393","26,249.74","23,796","21,304",138,97.49,"1,367","1,630.95",146,146,138,250.83,371,538.92,80,80
Nagaon,152,"12,942","9,141.56","96,160","51,238.36","39,582","32,234",248,173.79,"1,689","2,260.24",142,141,545,"1,034.32",906,"1,688.15",121,120
Nalbari,84,"5,011","2,215.96","44,720","19,773.03","13,363","11,176",131,76.07,783,723.31,130,124,11,20.84,197,166.16,29,29
Sivasagar,97,"2,798","1,775.55","30,344","15,511.11","13,077","9,655",112,92.31,620,657.36,11,11,4,6.30,272,457.42,103,103
Sonitpur,125,"5,606","2,898.52","33,053","20,759.66","15,667","13,564",99,116.68,671,861.76,112,109,41,42.53,174,363.82,11,13
South Salmara,12,19,13.52,"2,102",759.89,499,459,-,-,8,11.07,0,0,1,3.00,17,19.59,2,2
Tinsukia,148,"11,619","9,758.41","55,127","37,973.27","26,319","21,965",198,201.19,"1,151","1,591.60",74,73,39,67.43,186,262.10,2,2
Udalguri,49,"3,058","2,069.78","29,002","19,527.43","13,580","12,149",3,2.50,131,225.04,6,6,10,42.58,228,238.49,1,1
West Karbi Anglong,22,608,264.92,"10,508","4,664.66",797,468,1,0.77,13,6.95,0,0,1,0,7,0.80,0,0
