District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,OPS Total O/S No.,OPS Total O/S Amt
Baksa,5 7,0,0,101,251.06,978,"8,910.19",0,0,45,10.79,"6,133","2,184.39","7,257","11,356.43"
Barpeta,1 22,0,0,449,"1,360.88","3,438","30,770.88",0,0,470,220.03,"35,265","13,332.67","39,622","45,684.46"
Biswanath,5 7,0,0,146,411.25,"1,354","10,401.70",0,0,0,0,"13,969","9,098.77","15,469","19,911.72"
Bongaigaon,5 9,0,0,144,551.89,"1,941","17,043.57",8,71.24,102,49.48,"17,438","8,082.11","19,633","25,798.29"
Cachar,1 63,0,0,1090,"2,937.56","3,753","26,143.49",3,11.94,15,4.23,"75,815","29,989.34","80,676","59,086.56"
Charaideo,3 5,0,0,72,200.54,419,"3,339.29",0,0,49,19.46,"4,635","4,129.06","5,175","7,688.35"
Chirang,3 5,0,0,56,229.91,609,"5,791.20",0,0,127,43.23,"8,813","3,228.65","9,605","9,292.99"
Darrang,6 9,0,0,358,"1,064.06","1,578","13,392.22",1,0,47,21.28,"19,188","7,690.62","21,172","22,168.18"
Dhemaji,4 5,0,0,150,446.70,"1,616","14,347.14",2,143.78,17,4.01,"6,401","2,776.87","8,186","17,718.50"
Dhubri,8 7,0,0,173,608.32,"2,035","17,074.11",43,9.22,255,148.06,"34,035","13,023.60","36,541","30,863.31"
Dibrugarh,1 82,0,0,861,"2,649.90","4,480","37,885.94",90,7.78,15,4.59,"31,828","18,140.72","37,274","58,688.93"
Dima Hasao,3 0,0,0,32,91.26,491,"3,340.69",0,0,0,0,34,116.22,557,"3,548.17"
Goalpara,6 9,0,0,142,520.04,"1,114","10,157.04",116,32.06,436,280.16,"18,285","7,258.34","20,093","18,247.64"
Golaghat,1 20,0,0,374,"1,140.28","2,279","18,330.85",0,0,2,0.62,"28,734","11,007.68","31,389","30,479.43"
Hailakandi,4 4,0,0,78,214.26,966,"6,715.87",0,0,23,12.70,"12,949","5,067.29","14,016","12,010.12"
Hojai,5 7,0,0,146,517.87,935,"7,807.52",0,0,0,0,"16,888","21,955.19","17,969","30,280.58"
Jorhat,1 32,0,0,833,"2,625.00","4,232","36,488.44",2,72.13,0,0,"24,578","11,592.39","29,645","50,777.96"
Kamrup Metro,1 72,0,0,1313,"4,280.15","4,566","33,024.20",0,0,14,5.68,"62,936","22,754.35","68,829","60,064.38"
Karbi Anglong,6 4,0,0,115,285.05,"2,218","22,155.52",0,0,0,0,"3,374","1,624.78","5,707","24,065.35"
Karimganj,8 8,0,0,116,298.69,"1,230","6,894.67",0,0,12,2.66,"35,696","19,030.91","37,054","26,226.93"
Kokrajhar,5 1,0,0,109,330.33,"1,077","10,639.10",1,800.00,0,0,"18,187","6,935.64","19,374","18,705.07"
Lakhimpur,9 1,0,0,318,849.53,"3,373","27,184.00",2,0.93,87,38.10,"20,319","16,389.97","24,099","44,462.53"
Majuli,1 6,0,0,34,61.90,308,"2,120.39",0,0,0,0,"1,135","8,664.74","1,477","10,847.03"
Morigaon,6 7,0,0,146,417.03,"1,665","11,537.28",1,0.31,23,9.19,"14,346","22,535.60","16,181","34,499.41"
Nagaon,1 52,0,0,338,"1,110.48","4,215","34,206.26",3,117.82,2,1.58,"46,591","27,357.32","51,149","62,793.46"
Nalbari,8 4,0,0,381,"1,256.02","2,640","22,711.73",2,34.20,8,2.27,"20,886","9,762.88","23,917","33,767.10"
Sivasagar,9 7,0,0,313,960.76,"2,675","21,906.78",1,3.09,12,5.11,"20,660","11,832.00","23,661","34,707.74"
Sonitpur,1 25,0,0,531,"1,723.79","3,721","29,807.37",0,0,1,0.44,"29,598","25,304.69","33,851","56,836.29"
South Salmara,1 2,0,0,13,49.87,279,"2,822.16",0,0,6,4.38,290,440.24,588,"3,316.65"
Tinsukia,1 48,0,0,576,"1,949.62","2,811","22,577.15",2,0.14,12,3.57,"22,101","13,359.75","25,502","37,890.23"
Udalguri,4 9,0,0,272,730.01,"1,680","16,305.37",0,0,1,0.28,"8,054","3,410.46","10,007","20,446.12"
West Karbi Anglong,2 2,0,0,14,47.81,580,"6,032.58",0,0,6,0.51,12,3.85,612,"6,084.75"
