District,Total Branch,Sanctioned No.,of which girl student Sanctioned No.,Sanctioned Amt,of which girl student Sanctioned Amt,Disb. Number,of which girl student Disb No.,Disb. Amt,of which girl student Disb Amt,Os No.,of which girl student Os No.,Os amt,of which girl student Os Amt
Baksa,57,35,25,65.39,35.47,41,27,51.85,27.58,98,48,236.81,119.32
Barpeta,122,86,51,324.06,205.51,148,74,286.05,133.14,452,171,"1,520.10",502.59
Biswanath,57,25,14,64.78,35.05,48,23,80.49,35.62,146,65,431.60,214.98
Bongaigaon,59,40,21,153.39,87.91,59,28,128.86,81.05,154,52,695.67,269.18
Cachar,163,227,44,498.16,164.18,345,75,534.45,153.56,"1,093",214,"3,029.18",593.55
Charaideo,35,5,2,14.19,8.89,14,7,22.27,13.91,73,26,231.80,97.47
Chirang,35,10,3,46.08,9.92,12,4,49.12,15.30,55,10,238.21,42.15
Darrang,69,67,33,208.66,90.58,108,43,183.09,72.58,339,131,"1,031.83",419.67
Dhemaji,45,23,10,81.57,32.81,61,34,112.71,62.11,151,63,455.56,210.64
Dhubri,87,24,8,63.21,21.09,55,12,93.08,20.10,175,40,637.02,154.17
Dibrugarh,182,169,92,743.95,454.21,284,142,652.20,331.15,914,379,"3,233.89","1,363.03"
Dima Hasao,30,10,6,24.79,12.12,15,5,27.17,8.71,32,13,91.26,30.32
Goalpara,69,25,18,116.11,91.82,41,22,103.19,69.46,145,54,592.22,188.00
Golaghat,120,85,41,205.40,73.26,143,65,240.74,93.71,384,155,"1,286.72",556.23
Hailakandi,44,13,4,37.51,19.61,24,10,44.00,26.88,78,20,217.62,71.24
Hojai,57,16,8,36.55,20.89,45,21,79.46,39.43,152,46,536.49,139.07
Jorhat,132,190,96,599.39,319.32,277,133,584.15,314.43,873,387,"3,358.86","1,516.24"
Kamrup Metro,172,340,115,998.21,477.30,553,197,"1,034.47",402.82,"1,314",383,"4,341.39","1,323.25"
Karbi Anglong,64,21,11,41.46,11.24,35,19,51.24,24.37,115,47,284.72,106.50
Karimganj,88,15,4,48.88,5.64,23,5,45.05,7.46,121,34,338.81,82.14
Kokrajhar,51,27,14,62.23,23.54,42,17,69.19,19.48,110,35,340.07,83.23
Lakhimpur,91,82,36,251.95,136.16,136,60,288.79,153.01,336,136,970.23,372.44
Majuli,16,3,1,10.12,1.24,8,4,11.77,4.23,34,4,61.90,8.65
Morigaon,67,35,16,77.90,34.04,49,19,83.20,22.00,148,51,456.53,132.45
Nagaon,152,63,27,326.82,124.13,108,44,245.74,92.53,362,122,"1,330.62",460.70
Nalbari,84,72,36,250.34,94.39,118,56,202.49,76.09,381,127,"1,344.53",493.87
Sivasagar,97,71,36,290.55,161.06,117,55,239.90,95.36,326,134,"1,105.30",404.68
Sonitpur,125,119,48,504.48,167.58,194,80,537.56,157.66,549,192,"2,156.74",750.44
South Salmara,12,2,1,6.67,4.57,2,1,4.50,2.50,13,2,49.87,6.58
Tinsukia,148,122,61,586.79,217.27,197,91,540.66,208.87,617,223,"2,185.99",720.25
Udalguri,49,51,37,92.61,57.25,101,73,132.09,86.50,258,172,695.25,444.39
West Karbi Anglong,22,2,1,8.95,1.66,3,1,9.74,1.65,18,5,64.38,18.75
