district,Total Branch,Micro TL A/C,Micro TL Amt,Micro WC A/C,Micro WC Amt,Small TL A/C,Small TL Amt,Small WC A/C,Small WC Amt,Medium TL A/C,Medium TL Amt,Medium WC A/C,Medium WC Amt,KVIC TL A/C,KVIC TL Amt,KVIC WC A/C,KVIC WC Amt,Others under MSMEs A/C,Others under MSMEs Amt,Tot MSME (PS) Disb No.,Tot MSME (PS) Disb Amt
Baksa,57,"3,475","5,809.59",213,"1,067.39",31,820.16,21,"1,252.80",0,0,1,"1,500.00",12,18.96,0,0,"1,198","1,351.70","4,951","11,820.60"
Barpeta,122,"6,355","18,494.99","1,090","15,849.66",215,"7,608.37",100,"5,709.22",26,423.13,7,"1,564.69",68,281.38,6,36.45,492,586.19,"8,359","50,554.08"
Biswanath,57,"4,108","9,983.22",255,"2,024.96",118,"2,343.69",40,785.78,1,40.97,2,67.66,10,45.57,0,0,562,434.71,"5,096","15,726.56"
Bongaigaon,59,"2,796","12,755.62",416,"5,560.68",120,"7,891.14",69,"5,856.95",23,"1,497.25",6,"1,018.70",11,31.33,2,2.43,411,425.10,"3,854","35,039.20"
Cachar,163,"6,793","26,885.55","1,529","12,225.97",322,"16,038.05",216,"11,524.60",78,"7,558.10",22,"5,195.66",63,280.37,0,0,816,"1,221.57","9,839","80,929.87"
Charaideo,35,"1,577","4,206.28",248,"1,770.27",53,823.47,39,434.23,0,0,2,17.1,1,0,0,0,53,64.59,"1,973","7,315.94"
Chirang,35,"1,663","4,154.62",189,"1,292.30",42,"1,679.51",14,402.21,1,750,1,250,6,14.43,0,0,324,349.80,"2,240","8,892.87"
Darrang,69,"3,310","11,589.06",599,"7,586.53",114,"4,188.11",86,"3,969.46",8,65.96,4,436.64,19,52.38,7,11.3,579,485.95,"4,726","28,385.39"
Dhemaji,45,"4,533","8,484.26",489,"2,914.45",96,"1,401.97",48,"1,681.01",1,30.90,2,3.41,77,176.09,0,0,"1,191","1,311.09","6,437","16,003.18"
Dhubri,87,"3,875","11,684.86",382,"3,467.69",169,"6,040.07",48,"2,654.95",5,61.39,3,68.00,3,3.05,0,0,220,276.19,"4,705","24,256.20"
Dibrugarh,182,"11,550","44,381.53","1,667","19,360.62",674,"32,548.60",325,"16,243.26",85,"5,101.10",12,"1,112.35",47,315.76,3,19.16,790,558.77,"15,153","1,19,641.15"
Dima Hasao,30,737,"1,700.22",176,755.76,7,94.02,5,70.02,-,-,1,2.85,11,54.38,0,0,214,370.10,"1,151","3,047.35"
