district,Total Branch,Current Year No. of Female Account,Current Year Sum of Female Amount,Current Year No. of Male Account to SC,Current Year Sum of Male Amount to SC,Current Year No. of Male Account to ST,Current Year Sum of Male Amount to ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amount,SUI O/S No.,SUI O/S Amt.,SUI NPA No.,SUI NPA Amt.,SUI NPA Amt. %
Baksa,57,2,20.10,0,0.00,2,77.00,4,97.10,9,140.19,0,0.00,0.00
Barpeta,122,15,293.92,2,26.10,4,62.94,21,382.96,74,"1,048.15",9,116.79,11.14
Biswanath,57,6,33.30,0,0.00,0,0.00,6,33.30,24,285.14,5,30.21,10.59
Bongaigaon,59,3,27.34,2,18.44,5,74.79,10,120.57,63,612.46,8,68.84,11.24
Cachar,163,11,211.20,2,34.50,3,121.00,16,366.70,61,872.24,5,44.22,5.07
Charaideo,35,0,0.00,0,0.00,0,0.00,0,0.00,11,189.38,0,0.00,0.00
Chirang,35,1,15.00,0,0.00,0,0.00,1,15.00,14,247.39,1,16.39,6.63
Darrang,69,2,37.63,0,0.00,1,20.09,3,57.72,29,410.10,7,71.15,17.35
Dhemaji,45,2,69.00,0,0.00,1,25.30,3,94.30,12,105.45,0,0.00,0.00
Dhubri,87,8,82.41,0,0.00,0,0.00,8,82.41,36,630.93,0,0.00,0.00
Dibrugarh,182,41,540.00,8,153.70,3,56.70,52,750.40,177,"2,482.27",19,303.81,12.24
Dima Hasao,30,0,0.00,0,0.00,0,0.00,0,0.00,9,74.55,1,15.37,20.62
Goalpara,69,7,101.39,0,0.00,0,0.00,7,101.39,28,248.68,2,7.16,2.88
Golaghat,120,6,108.04,3,69.31,1,67.06,10,244.41,58,778.79,3,23.64,3.04
Hailakandi,44,2,32.00,0,0.00,0,0.00,2,32.00,10,207.94,2,21.74,10.45
Hojai,57,16,342.10,0,0.00,0,0.00,16,342.10,33,513.94,11,151.24,29.43
Jorhat,132,19,264.96,4,50.88,0,0.00,23,315.84,77,903.47,8,53.81,5.96
Kamrup Metro,172,28,544.06,6,134.47,2,40.45,36,718.98,72,973.99,6,84.53,8.68
Karbi Anglong,64,3,60.83,0,0.00,3,53.50,6,114.33,29,458.20,3,9.35,2.04
Karimganj,88,2,52.70,0,0.00,0,0.00,2,52.70,18,237.11,4,131.65,55.52
Kokrajhar,51,1,10.15,0,0.00,2,14.32,3,24.47,15,319.37,2,27.55,8.63
Lakhimpur,91,6,47.12,2,20.32,1,9.07,9,76.51,50,525.45,9,90.70,17.26
Majuli,16,1,2.55,0,0.00,0,0.00,1,2.55,6,47.16,3,7.49,15.88
Morigaon,67,6,51.26,3,63.25,0,0.00,9,114.51,34,287.04,7,145.72,50.77
Nagaon,152,6,95.92,2,24.55,0,0.00,8,120.47,82,"1,049.94",14,176.92,16.85
Nalbari,84,15,243.91,1,14.75,1,12.00,17,270.66,38,590.76,3,31.20,5.28
Sivasagar,97,20,281.56,4,56.81,0,0.00,24,338.37,63,711.81,8,106.64,14.98
Sonitpur,125,24,511.81,4,84.25,2,42.55,30,638.61,123,"1,798.47",16,135.22,7.52
South Salmara,12,1,75.00,0,0.00,0,0.00,1,75.00,2,20.45,0,0.00,0.00
Tinsukia,148,25,370.05,13,198.54,4,68.36,42,636.95,111,"1,730.70",4,52.76,3.05
Udalguri,49,3,90.46,0,0.00,1,10.05,4,100.51,9,154.06,1,21.14,13.72
West Karbi Anglong,22,1,20.00,0,0.00,0,0.00,1,20.00,4,55.13,0,0.00,0.00
