District,Total Branch,Export Credit A/C,Export Credit Amt,Education (PS) A/C,Education (PS) Amt,Housing (PS) A/C,Housing (PS) Amt,Social Infrastructure A/C,Social Infrastructure Amt,Renewable Energy A/C,Renewable Energy Amt,Informal Credit A/C,Informal Credit Amt,Total Other PS Disb No.,Total Other PS Disb Amt,Loans to weaker No.,Loans to weaker Amt
Baksa,57,0,0.00,41,51.85,108,735.95,0,0,44,116.65,"6,246","3,625.66","6,439","4,530.11","14,223","16,317.83"
Barpeta,122,0,0.00,149,205.58,527,"2,898.97",1,5,128,220.89,"15,199","8,655.42","16,004","11,985.86","44,527","42,525.97"
Biswanath,57,0,0.00,50,80.49,90,559.22,0,0,69,152.21,"15,947","10,752.71","16,156","11,544.63","26,002","22,477.87"
Bongaigaon,59,0,0.00,44,98.57,225,"1,695.24",8,62.05,63,114.66,"8,580","5,499.42","8,920","7,469.94","21,200","33,396.55"
Cachar,163,0,0.00,344,582.63,"1,356","4,281.50",3,16.5,452,677.40,"27,268","15,636.39","29,423","21,194.42","51,039","43,049.86"
Charaideo,35,0,0.00,14,21.62,61,426.44,1,5,136,318.04,"1,188",852.20,"1,400","1,623.30","4,152","7,118.29"
Chirang,35,0,0.00,12,49.12,63,448.99,0,0,39,50.54,372,502.88,486,"1,051.53","5,143","10,422.10"
Darrang,69,0,0.00,102,171.66,247,"1,586.85",1,0.3,110,212.53,"6,973","4,054.26","7,433","6,025.60","20,255","20,854.33"
Dhemaji,45,0,0.00,62,105.47,134,"1,049.77",4,158.88,83,194.72,"3,706","2,769.38","3,989","4,278.22","19,883","19,883.46"
Dhubri,87,0,0.00,54,89.58,345,"1,570.34",46,13.22,102,153.14,"12,213","7,236.69","12,760","9,062.97","25,265","27,113.00"
Dibrugarh,182,0,0.00,276,716.82,536,"3,540.86",1,10,269,313.11,"16,749","9,744.27","17,831","14,325.06","57,518","52,935.45"
Dima Hasao,30,0,0.00,14,29.08,39,283.40,0,0,460,"3,026.28",895,454.05,"1,408","3,792.81","3,398","5,332.08"
Goalpara,69,0,0.00,40,85.89,137,"1,127.85",115,35.8,81,167.68,"7,531","4,345.49","7,904","5,762.71","20,685","26,688.73"
Golaghat,120,0,0.00,133,259.44,181,"1,476.66",0,0,350,621.10,"11,370","6,019.85","12,034","8,377.05","38,515","33,814.59"
Hailakandi,44,0,0.00,20,39.87,68,496.90,0,0,102,164.88,"5,764","2,999.48","5,954","3,701.13","11,522","10,614.23"
Hojai,57,0,0.00,45,81.31,79,654.54,0,0,62,91.79,"7,690","4,461.91","7,876","5,289.55","20,825","14,700.71"
Jorhat,132,0,0.00,272,705.82,550,"4,155.66",0,0,208,306.80,"9,416","5,447.06","10,446","10,615.34","30,776","31,520.42"
Kamrup Metro,172,0,0.00,555,974.18,"1,594","4,408.58",0,0,164,399.03,"18,254","10,764.59","20,567","16,546.38","55,999","45,642.23"
Karbi Anglong,64,0,0.00,34,49.44,108,854.74,1,10,"1,128","6,242.64","3,760","2,199.07","5,031","9,355.89","22,521","24,107.78"
Karimganj,88,0,0.00,24,33.24,397,885.00,0,0,167,274.43,"18,543","9,791.96","19,131","10,984.63","25,377","18,757.52"
Kokrajhar,51,0,0.00,41,59.24,109,868.72,0,0,107,154.21,"10,840","5,667.87","11,097","6,750.04","21,563","19,926.94"
Lakhimpur,91,0,0.00,134,331.73,287,"2,435.60",3,23.69,133,322.19,"8,615","4,628.68","9,172","7,741.89","35,229","32,799.14"
Majuli,16,0,0.00,8,11.77,59,644.49,0,0,6,19.26,942,779.81,"1,015","1,455.33","3,269","5,533.98"
Morigaon,67,0,0.00,44,88.97,116,868.54,1,1,99,267.85,"5,878","3,363.00","6,138","4,589.36","22,477","17,998.50"
Nagaon,152,0,0.00,102,160.91,533,"3,654.76",3,30,368,789.74,"15,350","8,654.10","16,356","13,289.51","52,858","48,823.88"
Nalbari,84,0,0.00,121,307.88,300,"2,334.64",1,10,104,159.82,"6,899","4,168.69","7,425","6,981.03","24,736","20,847.09"
Sivasagar,97,0,0.00,106,206.81,296,"2,222.02",0,0,289,499.42,"3,865","2,968.66","4,556","5,896.91","24,172","24,509.21"
Sonitpur,125,0,0.00,167,350.46,590,"3,351.20",3,15,131,174.67,"12,784","9,626.87","13,675","13,518.20","34,807","37,573.36"
South Salmara,12,0,0.00,2,4.50,51,432.26,0,0,1,13.50,72,471.35,126,921.61,885,"2,889.01"
Tinsukia,148,0,0.00,182,788.40,295,"2,290.58",1,10,140,189.23,"10,701","6,379.48","11,319","9,657.69","38,855","39,688.36"
Udalguri,49,0,0.00,104,135.74,164,"1,203.02",0,0,60,106.31,"3,273","2,012.99","3,601","3,458.06","10,693","12,393.99"
West Karbi Anglong,22,0,0.00,4,10.42,24,201.95,0,0,273,"1,573.60",0,0,301,"1,785.97","3,160","3,880.08"
