district,Agriculture (NPS) No.,Agriculture (NPS) Amt.,MSME (NPS) No.,MSME (NPS) Amt.,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt.,Education (NPS) A/C
East Garo Hills,0,0,8,21.28,0,0,0
East Jaintia Hills,0,0,0,0,0,0,0
East Khasi Hills,0,0,336,96425.99,0,0,21
North Garo Hills,0,0,15,25.96,0,0,0
Ri Bhoi,0,0,16,65.54,0,0,0
South Garo Hills,0,0,16,15.43,0,0,0
South West Garo Hills,0,0,0,0,0,0,0
South West Khasi Hills,0,0,43,137.17,0,0,0
West Garo Hills,0,0,28,71.41,0,0,0
West Jaintia Hills,0,0,105,18677.96,0,0,0
West Khasi Hills,0,0,9,33.42,0,0,0
