district,as_on_30th_june_2023_agriculture_no,amt,education_no,amt,housing_no,amt,personal_loans_under_nps_no,amt,others_non_priority_sector_no,amt,total_nps_no,amt,total_advance_no,amt,col_16
Bokaro,26,46.29,319,2453.48,3927,61499.14,23688,63462.55,102989,306367.97,130949,433829.43,308998,790843.39,
Chatra,98,32.60,5,7.50,179,2856.95,3664,11576.08,12731,32605.62,16677,47078.76,105625,120692.59,
Deoghar,231,731.87,93,939.77,1550,27107.16,9088,21830.20,36018,94749.87,46980,145358.87,207158,330976.42,
Dhanbad,114,338.27,244,2126.07,6417,64950.25,41889,121769.75,168818,500343.18,217482,689527.52,456902,1267175.17,
Dumka,112,136.52,17,175.12,287,5783.20,4745,10804.32,22707,60175.47,27868,77074.64,156797,184984.94,
East Singhbhum,105,160.51,1380,22689.15,12695,200993.79,47899,117116.72,236089,674941.54,298168,1015901.72,564590,1883969.04,
Garhwa,31,20.20,27,113.33,158,2301.24,3373,8759.03,13756,35973.37,17345,47167.17,134909,143156.22,
Giridih,44,666.39,122,541.36,831,14360.14,10331,21027.68,45531,119408.95,56859,156004.52,263724,369420.40,
Godda,143,203.53,34,77.15,276,3282.23,3707,7531.52,19699,57509.00,23859,68603.44,142618,169863.76,
Gumla,4,15.72,80,189.06,213,3914.39,3333,7899.66,10728,32559.58,14358,44578.41,96176,108359.42,
Hazaribagh,84,73.85,140,1032.61,2094,30888.32,13829,37106.55,64976,160690.67,81123,229792.00,280329,514785.85,
Jamtara,397,144.36,121,170.21,257,2582.19,2618,4559.09,10323,29654.46,13716,37110.30,77681,84720.28,
Khunti,8,3.95,13,49.64,198,3883.46,2272,5711.35,11339,37353.26,13830,47001.66,57939,85116.32,
Koderma,9,3.06,63,316.42,344,5901.58,4277,8288.88,25648,48582.58,30341,63092.50,117483,165127.50,
Latehar,22,195.60,17,43.03,120,2068.72,2472,7182.02,10715,39207.13,13346,48696.49,63477,94928.31,
Lohardaga,1,0.25,18,113.26,193,3829.42,1999,4695.19,9940,26172.66,12151,34810.78,69810,86967.56,
Pakur,152,90.83,57,64.65,346,4922.87,1883,3314.08,22803,34044.53,25241,42436.95,108660,117722.28,
Palamu,107,74.23,25,239.93,495,9174.61,7826,17258.23,34387,106878.23,42840,133625.24,244494,304611.53,
Ramgarh,10,10.37,56,481.83,1286,23074.78,12914,40389.00,38964,134187.74,53230,198143.73,146848,344095.04,
Ranchi,3126,14360.46,1249,14269.29,17757,360326.75,63902,187879.96,341476,1408448.47,427510,1985284.93,1683804,3410088.25,
Sahibganj,289,224.33,50,63.76,237,2787.04,3309,7256.23,17249,43146.16,21134,53477.53,114203,128379.03,
Seraikela-Kharsawan,3,1.11,115,1135.34,1572,23619.74,10336,21077.47,35226,85056.72,47252,130890.37,246523,371739.57,
Simdega,1,0.12,13,56.73,92,1459.87,1800,5193.25,7220,14990.36,9126,21700.32,51219,53927.49,
West Singhbhum,30,23.90,168,502.73,758,11578.67,9209,20968.74,30643,159321.35,40808,192395.39,166046,332311.41,
