district,outstanding_loans_to_women_a_cs,amount,individual_women_a_cs,amount,loans_disbursed_to_women_a_cs,amount,col_8
Bokaro,99678,116720.03,42930,16075.16,15753,17471.82,
Chatra,28351,23573.58,17138,8628.92,6797,4741.80,
Deoghar,65692,55767.06,13231,6869.25,13856,10692.09,
Dhanbad,162302,164999.89,49863,22706.80,23394,22885.31,
Dumka,58643,40236.25,37567,17326.66,10080,7649.22,
East Singhbhum,177580,246506.08,51121,28485.05,34423,38809.63,
Garhwa,52460,33417.50,39975,21347.10,10923,8027.20,
Giridih,103559,64763.87,64861,27772.51,16066,11801.93,
Godda,51650,34046.33,32294,14827.66,10091,7766.55,
Gumla,22889,25074.20,9453,5504.30,4346,4471.37,
Hazaribagh,98998,88033.53,51516,24485.45,16929,16379.79,
Jamtara,15061,14538.19,5357,3012.02,4221,3151.05,
Khunti,14494,16865.37,6427,3845.93,2795,3599.85,
Koderma,49315,37020.29,23900,9531.50,7817,7505.05,
Latehar,15461,14312.12,9730,6659.77,3665,2854.53,
Lohardaga,19048,19800.72,7528,3249.61,3569,3171.16,
Pakur,54678,26777.76,21719,10205.75,8187,5081.49,
Palamu,96305,68353.31,65809,34268.74,17275,12995.76,
Ramgarh,53055,52818.21,27361,10399.74,7489,8008.68,
Ranchi,198609,449580.11,63309,41181.38,33211,52675.39,
Sahibganj,51989,31310.96,28635,15285.00,13727,10800.49,
Seraikela-Kharsawan,47002,47392.03,19717,13651.89,8617,8469.31,
Simdega,15887,14000.38,9372,5125.77,3447,2699.03,
West Singhbhum,52793,50313.41,24311,15166.28,10031,8869.37,
