district,pmjjby_no_of_enrollments,no_of_eligible_cases,no_of_renewals,pmsby_no_of_enrollments,no_of_eligible_cases,no_of_renewals,apy_enrollments_target_for_fy_2023_24,total_subscriber_from_01042023_to_30062023,total_subscribe_rs_since_inception
Bokaro,356272,1750199,123087,476779,2389137,358553,18382,3467,81702
Chatra,276326,702258,110934,292227,895526,246599,5800,3784,47595
Deoghar,431418,745044,110888,471587,1133469,359338,12403,7596,104042
Dhanbad,398886,2246595,142972,606871,3102057,417016,25966,4072,95710
Dumka,502461,532263,126679,412140,857525,340977,10440,6014,72437
East Singhbhum,341261,2102379,132131,555237,2888387,396791,29446,5413,110640
Garhwa,233753,537479,68912,256366,749445,193610,7495,3608,44010
Giridih,455527,1799416,175997,575002,2342453,443812,14634,8446,103833
Godda,380530,548334,95349,366377,858347,285454,9191,6262,82503
Gumla,174116,731928,81494,268539,926844,181718,6871,3385,50638
Hazaribagh,427351,1556415,150162,530205,2023526,404708,15526,6280,92586
Jamtara,205626,384187,63245,218911,574812,183070,6068,3272,45399
Khunti,94746,416690,35618,140572,528812,88293,4462,2155,24578
Koderma,145948,635124,58636,199239,829883,151206,6068,2165,31690
Latehar,210827,365161,60957,193791,521321,157885,4194,2345,36176
Lohardaga,77919,495071,38884,135811,624575,95137,3926,1512,26455
Pakur,266971,391728,64669,302104,595480,251820,5443,5374,67851
Palamu,465688,866553,130459,460936,1274950,356951,11243,5156,65676
Ramgarh,176300,832158,68938,268042,1100071,192843,10172,1599,36892
Ranchi,570755,3023758,198057,834160,3892565,515481,42920,9407,182961
Sahibganj,361331,475774,92991,373447,774250,316878,6782,5726,74433
Seraikela-Kharsawan,132834,843972,56662,267344,1083113,163701,10976,2709,48294
Simdega,103418,453899,57940,171156,577841,125183,4462,2613,23135
West Singhbhum,240862,1122033,91584,332050,1439661,227460,11690,3871,66616
