district,number_of_operative_casa,number_of_aadhaar_seeded_casa,pct_of_casa_aadhaar_seeding,number_of_authenticated_casa,pct_casa_authentication,col_7
Bokaro,2368746,1762523,74.41,981795,41.45,
Chatra,1088989,866786,79.60,407211,37.39,
Deoghar,1986641,1438006,72.38,1044629,52.58,
Dhanbad,3639093,2811928,77.27,1887881,51.88,
Dumka,1380182,899781,65.19,634353,45.96,
East Singhbhum,3475540,2561039,73.69,1645024,47.33,
Garhwa,1192542,880866,73.86,593861,49.80,
Giridih,2608925,2073415,79.47,1052641,40.35,
Godda,1369723,932253,68.06,564612,41.22,
Gumla,1006199,790804,78.59,371802,36.95,
Hazaribagh,2363928,1824045,77.16,1047761,44.32,
Jamtara,784776,579330,73.82,337731,43.04,
Khunti,569566,444935,78.12,260042,45.66,
Koderma,1064359,877168,82.41,478812,44.99,
Latehar,747971,570385,76.26,394506,52.74,
Lohardaga,594182,474788,79.91,224794,37.83,
Pakur,977464,740748,75.78,489515,50.08,
Palamu,1936728,1421926,73.42,905292,46.74,
Ramgarh,1137941,834653,73.35,447961,39.37,
Ranchi,4707460,3492272,74.19,2272974,48.28,
Sahibganj,1243269,940632,75.66,599880,48.25,
Seraikela-Kharsawan,1195326,974776,81.55,460679,38.54,
Simdega,630413,499506,79.23,236231,37.47,
West Singhbhum,1676422,1283230,76.55,704360,42.02,
