district,total_advance_target_no,amt,total_advance_no,amt,achv_pct_amt,col_6
Bokaro,198192,649777,49156,268732.01,41.36,
Chatra,92632,96637,15660,25157.80,26.03,
Deoghar,199764,341154,29822,88621.86,25.98,
Dhanbad,279272,972649,69399,423974.25,43.59,
Dumka,113451,171712,19736,41171.27,23.98,
East Singhbhum,384260,1514220,103516,771392.49,50.94,
Garhwa,99401,134129,16882,26477.22,19.74,
Giridih,190661,329523,37951,122218.14,37.09,
Godda,108745,145341,18587,32658.71,22.47,
Gumla,64070,82002,8912,20038.47,24.44,
Hazaribagh,204387,374303,42394,118920.34,31.77,
Jamtara,59601,73671,10221,16046.57,21.78,
Khunti,40986,64495,7020,12664.83,19.64,
Koderma,93384,125570,18777,45439.69,36.19,
Latehar,45399,71105,10515,15757.16,22.16,
Lohardaga,56736,61928,7951,16935.78,27.35,
Pakur,65389,89567,15556,26739.37,29.85,
Palamu,173579,254853,29446,54717.65,21.47,
Ramgarh,85049,250689,20265,88213.31,35.19,
Ranchi,1489290,2794153,277937,1021624.66,36.56,
Sahibganj,78944,115518,15335,23590.46,20.42,
Seraikela-Kharsawan,216080,296682,39211,155159.01,52.30,
Simdega,44053,42897,6245,9950.11,23.20,
West Singhbhum,126904,240926,21073,147358.47,61.16,
