district,target_no,amt,disbursement_upto_the_end_of_current_quarter_micro*_no,amt,small_no,amt,medium_no,amt,other_msme_no,amt,total_msme_no,amt,achv_pct_amt
Bokaro,17603,187419,6773.00,53749,411.00,37647,55.00,32268,8.00,221,7247.00,123885,66.10
Chatra,3567,17845,1996.00,7572,36.00,1907,6.00,571,1.00,0,2039.00,10051,56.32
Deoghar,10076,95019,3860.00,25888,270.00,16879,17.00,6901,2.00,2,4149.00,49670,52.27
Dhanbad,22124,336626,8520.00,85192,818.00,94120,88.00,29137,7.00,325,9433.00,208775,62.02
Dumka,10286,55010,2405.00,9931,161.00,9820,13.00,2119,8.00,139,2587.00,22010,40.01
East Singhbhum,25073,562776,8933.00,101102,1292.00,142609,246.00,92039,15.00,53,10486.00,335803,59.67
Garhwa,3460,18193,1222.00,6991,52.00,1770,,,1.00,19,1275.00,8780,48.26
Giridih,13681,93626,6488.00,33026,168.00,12493,16.00,3819,3.00,38,6675.00,49377,52.74
Godda,8036,30491,2555.00,10022,121.00,3792,3.00,524,2.00,10,2681.00,14347,47.05
Gumla,3402,16665,1197.00,6550,45.00,2588,3.00,74,,,1245.00,9212,55.28
Hazaribagh,12628,112471,6065.00,35608,322.00,21652,20.00,2798,3.00,30,6410.00,60088,53.43
Jamtara,3029,11538,1262.00,3680,50.00,1271,1.00,60,1.00,20,1314.00,5031,43.60
Khunti,2644,11800,887.00,3834,35.00,1631,,,1.00,5,923.00,5470,46.36
Koderma,5895,43091,3276.00,16970,99.00,4531,6.00,2378,1.00,1,3382.00,23879,55.42
Latehar,2089,12514,970.00,4241,39.00,1801,1.00,16,,,1010.00,6058,48.41
Lohardaga,2704,16483,1164.00,6381,45.00,1680,3.00,656,2.00,5,1214.00,8723,52.92
Pakur,3389,24575,1205.00,8133,104.00,4747,5.00,425,,,1314.00,13305,54.14
Palamu,7306,45387,2302.00,13520,137.00,7469,8.00,708,,,2447.00,21697,47.80
Ramgarh,8043,77891,3424.00,21770,178.00,13931,12.00,8880,3.00,6,3617.00,44587,57.24
Ranchi,57246,706363,17458.00,157529,1427.00,158982,209.00,84333,8.00,295,19102.00,401140,56.79
Sahibganj,5248,17717,1641.00,4901,71.00,1723,2.00,25,3.00,10,1717.00,6659,37.59
Seraikela-Kharsawan,16747,123012,4213.00,20549,223.00,35206,81.00,47966,2.00,150,4519.00,103871,84.44
Simdega,2078,9933,780.00,3614,22.00,526,,,,,802.00,4140,41.68
West Singhbhum,7206,41055,2063.00,10524,118.00,4421,22.00,1289,8.00,1,2211.00,16235,39.54
