district,as_on_30th_june_2023_micro*_no,amt,small_no,amt,medium_no,amt,other_msme_no,amt,total_no,amt,pct_of_msme_to_total_advances
Bokaro,37327,137183.53,3710,64909.49,558,40717.39,155,364.05,41750,243174.46,30.75
Chatra,7249,19879.61,570,3778.61,53,924.54,3,1.72,7875,24584.48,20.37
Deoghar,14604,55569.62,1895,28070.43,166,10081.44,66,92.04,16731,93813.53,28.34
Dhanbad,44135,185742.22,5029,134119.63,771,59935.65,157,3629.70,50092,383427.21,30.26
Dumka,13914,29523.94,815,12402.07,141,5913.07,32,145.05,14902,47984.13,25.94
East Singhbhum,48171,260073.59,5993,218625.48,1982,160229.29,212,559.55,56358,639487.91,33.94
Garhwa,5468,15662.06,647,3788.51,58,473.11,6,44.38,6179,19968.06,13.95
Giridih,25707,79224.00,2362,20212.55,214,9339.51,21,57.96,28304,108834.02,29.46
Godda,10651,24682.59,1348,7472.34,97,1297.56,91,66.96,12187,33519.45,19.73
Gumla,6707,16716.55,514,3219.98,63,218.28,3,0.23,7287,20155.05,18.60
Hazaribagh,26669,114607.11,2548,33895.64,628,6838.23,31,54.94,29876,155395.91,30.19
Jamtara,5393,10198.47,275,2291.48,43,119.15,10,20.59,5721,12629.70,14.91
Khunti,4601,11208.04,527,2436.79,51,414.51,12,26.65,5191,14085.98,16.55
Koderma,11311,40719.93,1045,10138.81,87,3082.84,10,25.78,12453,53967.36,32.68
Latehar,3594,10085.23,181,1585.27,23,158.86,2,6.03,3800,11835.39,12.47
Lohardaga,5236,13921.84,668,3670.26,124,1400.18,23,156.86,6051,19149.14,22.02
Pakur,6441,20162.02,641,7888.71,103,1052.18,12,17.03,7197,29119.94,24.74
Palamu,11265,35198.91,2090,14319.70,120,1261.52,20,58.21,13495,50838.34,16.69
Ramgarh,20048,56837.51,1190,21308.32,139,17011.59,23,18.77,21400,95176.18,27.66
Ranchi,155998,414459.09,9647,255141.02,1437,150985.89,206,587.77,167288,821173.77,24.08
Sahibganj,9649,17937.55,407,3047.36,48,605.42,5,9.67,10109,21600.00,16.83
Seraikela-Kharsawan,33499,55581.82,1233,42191.67,333,55018.71,157,234.05,35222,153026.26,41.16
Simdega,4531,9717.47,382,1277.27,77,348.73,9,0.18,4999,11343.65,21.04
West Singhbhum,13081,32703.48,1889,17480.02,370,7754.90,189,144.30,15529,58082.70,17.48
