district,as_on_30th_june_2023_farm_credit_no,amt,out_of_farm_credit_total_crop_loans_no,amt,out_of_farm_credit_total_investment_credit_no,amt,out_of_farm_credit_total_allied_activities_no,amt,agri_infrastructure_no,amt,ancillary_activities_no,amt,total_agri_no,amt,pct_of_agri_adv_to_total_advance
Bokaro,80580,52601.71,54420,31341.86,26160,21259.85,15674,12528.53,141,304.20,7645,12829.68,88366,65735.60,8.31
Chatra,71117,39137.35,56100,29304.76,15017,9832.59,7429,5831.48,50,24.97,5017,7849.60,76184,47011.92,38.95
Deoghar,112180,58287.64,87770,43927.00,24410,14360.64,16465,9304.40,222,366.21,2096,11178.60,114498,69832.45,21.10
Dhanbad,90618,57135.78,45123,26121.27,45495,31014.51,24705,15299.54,302,1420.74,5863,20067.45,96783,78623.97,6.20
Dumka,93192,45662.41,67624,28867.55,25568,16794.86,17225,13148.00,50,27.63,1345,1431.36,94587,47121.40,25.47
East Singhbhum,106238,71792.45,78498,43538.35,27740,28254.10,16476,17681.27,103,231.25,8965,25965.41,115306,97989.11,5.20
Garhwa,97004,69713.85,60159,48557.10,36845,21156.76,17240,16044.73,267,97.87,1028,1171.92,98299,70983.64,49.58
Giridih,126489,70862.83,85711,43065.10,40778,27797.73,25693,17139.29,160,578.32,7334,13896.99,133983,85338.14,23.10
Godda,88812,51444.02,60878,35848.30,27934,15595.72,17707,10143.98,58,58.70,2255,2871.63,91125,54374.35,32.01
Gumla,65131,34808.15,54544,25399.92,10587,9408.23,4101,4336.07,26,59.80,3943,6748.84,69100,41616.78,38.41
Hazaribagh,132214,81243.11,78662,48979.42,53552,32263.69,29583,17817.46,462,673.29,6512,19894.07,139188,101810.48,19.78
Jamtara,52500,28977.38,48092,25419.25,4408,3558.14,2675,2315.25,44,27.70,1664,2289.41,54208,31294.50,36.94
Khunti,33443,18151.75,26923,12706.72,6520,5445.04,2299,3159.29,78,62.39,1814,3771.67,35335,21985.82,25.83
Koderma,52705,28508.01,31483,16645.67,21222,11862.34,9605,6079.78,65,323.98,4497,9388.56,57267,38220.54,23.15
Latehar,37957,28321.24,31351,21276.25,6606,7044.99,5182,6705.53,183,54.85,1298,2297.36,39438,30673.45,32.31
Lohardaga,41393,24205.95,34057,18608.57,7336,5597.38,3069,2737.58,81,99.74,2844,5911.02,44318,30216.70,34.74
Pakur,43540,30635.60,29771,19720.51,13769,10915.09,13712,11578.51,111,116.54,2593,3837.98,46244,34590.13,29.38
Palamu,151223,103085.91,86882,64911.30,64341,38174.61,33517,25409.14,462,212.30,2583,3894.07,154268,107192.28,35.19
Ramgarh,45757,26796.12,27206,15742.96,18551,11053.16,11191,7259.29,27,27.79,4183,7202.98,49967,34026.89,9.89
Ranchi,993036,302259.82,96440,60893.23,896596,241366.59,29791,33699.72,548,6685.21,8277,88499.47,1001861,397444.49,11.65
Sahibganj,60622,40442.42,43102,28930.71,17520,11511.71,12873,9028.01,67,55.23,2021,1846.41,62710,42344.05,32.98
Simdega,30542,15362.12,22582,9345.59,7960,6016.53,3303,3467.09,56,31.71,2545,3677.29,33143,19071.12,35.36
West Singhbhum,84072,57513.48,70389,42061.63,13683,15451.85,6567,9419.92,226,410.44,2834,4531.80,87132,62455.72,18.79
