district,agri_infrastructure_target_no,amt,achievemen_t_no,amt,achv_pct_amt,anicillary_activities_includes_all_ancillary_activites_under_agriculture_sector,amt,achievement_no,amt,achv_pct_amt,total_agriculture_farm_credit+agri_infr+anci_acti_target_no,amt,achievement_no,amt,achv_pct_amt
Bokaro,666,433,13,52.70,12.17,7734,14033,3364,5066.63,36.11,82098,72148,14539,14927.48,20.69
Chatra,55,36,,,0.00,5664,9224,2343,2234.61,24.23,73628,43451,10043,7539.13,17.35
Deoghar,12741,8282,4,102.40,1.24,4385,25596,514,5936.27,23.19,93253,93108,14065,15108.35,16.23
Dhanbad,1998,1299,10,23.35,1.80,6055,19693,2084,7733.29,39.27,78714,74598,13356,20406.47,27.36
Dumka,73,48,6,3.95,8.23,1187,1925,257,554.19,28.79,67883,51680,10584,7763.65,15.02
East Singhbhum,461,300,6,9.41,3.14,8085,21721,5124,10569.57,48.66,119648,95683,20498,24709.48,25.82
Garhwa,18,12,2,0.90,7.50,1094,1643,161,422.65,25.72,66013,70433,11307,10355.92,14.70
Giridih,505,328,1,1.35,0.41,7431,9985,3284,3293.12,32.98,117619,67973,16030,13065.93,19.22
Godda,18,12,,,0.00,2358,3313,527,973.92,29.40,67396,60735,10522,8464.83,13.94
Gumla,6,4,,,0.00,3749,7991,1391,2267.57,28.38,48944,37109,5129,5656.29,15.24
Hazaribagh,140,92,2,26.56,28.87,7735,21308,2920,7476.77,35.09,118762,90538,19279,21701.26,23.97
Jamtara,37,24,1,0.30,1.25,1653,2822,528,1000.79,35.46,43514,35405,5471,4301.73,12.15
Khunti,469,305,,,0.00,1986,5770,819,1131.71,19.61,29254,22608,4248,3595.12,15.90
Koderma,111,72,,,0.00,4816,11242,2128,3765.97,33.50,59882,33648,8392,8151.29,24.23
Latehar,,,18,7.35,100.00,1656,2724,457,847.05,31.10,27932,26753,5255,4497.09,16.81
Lohardaga,123,80,3,1.15,1.44,3037,6179,1164,2001.49,32.39,41406,21452,4366,4518.21,21.06
Pakur,469,305,16,19.54,6.41,2147,3524,727,858.91,24.37,35305,32511,6234,4716.12,14.51
Palamu,37,24,49,76.92,320.50,3433,5187,764,1366.80,26.35,93478,95841,16434,13930.04,14.53
Ramgarh,476,309,3,6.64,2.15,3858,7643,1829,2100.03,27.48,42877,30650,7505,6649.44,21.69
Ranchi,8971,5834,27,317.07,5.43,7568,58075,3294,25314.19,43.59,1117516,466863,170831,98989.62,21.20
Sahibganj,18,12,3,1.40,11.67,1541,2740,414,571.35,20.85,49864,52459,8288,8186.09,15.60
Seraikela-Kharsawan,3054,1985,1,1.98,0.10,3796,6055,2465,3185.00,52.60,159438,67066,25174,15443.25,23.03
Simdega,43,28,,,0.00,2364,3964,1182,1064.70,26.86,31884,17336,3771,2941.92,16.97
West Singhbhum,271,176,,,0.00,2908,7643,1795,1518.44,19.87,79370,48454,10829,8539.04,17.62
