district,rural_deposit,as_on_30th_june_2023_[amount_in_lakh]_annexure1b_advances,cd_ratio,semi_urban_deposit,advances,cd_ratio,urban_deposit,advances,cd_ratio,total_deposit,advances,cd_ratio,col_14
Bokaro,384696.88,108989.75,28.33,450128.11,142377.16,31.63,1347785.42,539476.49,40.03,2182610.41,790843.39,36.23,
Chatra,175024.31,60781.71,34.73,235545.38,55608.27,23.61,775.55,4302.61,554.78,411345.24,120692.59,29.34,
Deoghar,237945.50,84373.19,35.46,116119.56,35663.09,30.71,603279.93,210940.14,34.97,957344.99,330976.42,34.57,
Dhanbad,471550.99,95883.81,20.33,397554.97,131056.35,32.97,2844806.50,1040235.01,36.57,3713912.46,1267175.17,34.12,
Dumka,190603.76,77792.89,40.81,297781.61,103657.76,34.81,4467.01,3534.30,79.12,492852.38,184984.94,37.53,
East Singhbhum,279057.95,99783.87,35.76,589268.27,159566.85,27.08,2885484.02,1624618.32,56.30,3753810.25,1883969.04,50.19,
Garhwa,160197.97,64574.78,40.31,188226.45,77073.72,40.95,2789.69,1507.72,54.05,351214.10,143156.22,40.76,
Giridih,553069.90,156767.15,28.34,46603.37,9417.19,20.21,347092.25,203236.07,58.55,946765.53,369420.40,39.02,
Godda,222030.87,86899.95,39.14,222929.17,81431.70,36.53,,1532.12,,444960.05,169863.76,38.18,
Gumla,141389.76,41368.69,29.26,217718.30,64315.13,29.54,3602.71,2675.60,74.27,362710.77,108359.42,29.87,
Hazaribagh,380070.67,129564.96,34.09,138168.20,79916.69,57.84,685170.41,305304.20,44.56,1203409.28,514785.85,42.78,
Jamtara,126787.61,38967.85,30.73,155847.07,44305.61,28.43,,1446.81,,282634.68,84720.28,29.98,
Khunti,98438.82,38972.52,39.59,111233.91,43769.86,39.35,2692.57,2373.94,88.17,212365.30,85116.32,40.08,
Koderma,170757.61,47945.71,28.08,271484.74,110639.66,40.75,1436.49,6542.13,455.42,443678.85,165127.50,37.22,
Latehar,99958.70,41605.71,41.62,130276.03,51407.75,39.46,,1914.85,,230234.73,94928.31,41.23,
Lohardaga,71361.41,30188.40,42.30,135204.57,54893.90,40.60,1184.70,1885.25,159.13,207750.68,86967.56,41.86,
Pakur,84933.24,45884.06,54.02,138758.54,70136.53,50.55,,1701.69,,223691.78,117722.28,52.63,
Palamu,213275.68,119154.98,55.87,455057.59,179159.19,39.37,16991.40,6297.36,37.06,685324.67,304611.53,44.45,
Ramgarh,215446.03,73136.94,33.95,673606.39,255067.08,37.87,885.35,15891.02,1794.89,889937.77,344095.04,38.67,
Ranchi,562174.09,416632.60,74.11,299318.22,116294.24,38.85,7374659.11,2877161.41,39.01,8236151.42,3410088.25,41.40,
Sahibganj,143889.77,44136.58,30.67,250669.70,82266.64,32.82,7224.02,1975.81,27.35,401783.49,128379.03,31.95,
Seraikela-Kharsawan,277363.89,138946.73,50.10,80561.68,33129.59,41.12,248907.26,199663.25,80.22,606832.83,371739.57,61.26,
Simdega,91903.47,21828.56,23.75,103273.65,30878.06,29.90,,1220.87,,195177.12,53927.49,27.63,
West Singhbhum,209669.84,75755.46,36.13,3015917.07,216105.51,7.17,96420.71,40450.43,41.95,3322007.62,332311.41,10.00,
