district,christians_no,amt,muslims_no,amt,buddhists_no,amt,sikhs_no,amt,zorast_no,amt,jains_no,amt,total_no,amt
Bokaro,364,659.29,3950,3381.20,80,84.64,80,145.20,1,0.30,15,160.01,4490,4430.64
Chatra,239,296.43,1046,742.50,2,0.86,13,18.53,,,2,11.50,1302,1069.82
Deoghar,616,694.81,6314,4579.63,11,17.67,15,24.87,1,,4,0.03,6961,5317.00
Dhanbad,488,575.78,9935,6892.90,140,102.86,164,322.69,,,12,103.36,10739,7997.59
Dumka,949,1019.85,3334,1580.56,5,9.85,19,8.97,2,1.02,,,4309,2620.26
East Singhbhum,867,1241.50,4342,4869.19,117,125.54,644,2934.44,1,2.26,14,38.94,5985,9211.87
Garhwa,488,679.13,2582,1703.77,5,,21,0.50,,,5,1.70,3101,2385.10
Giridih,320,409.77,5864,4522.97,7,3.10,37,1096.73,1,0.60,31,147.96,6260,6181.12
Godda,540,488.29,5777,3591.33,12,3.53,24,2.25,,,,,6353,4085.40
Gumla,919,608.45,597,433.25,,,16,10.64,,,,,1532,1052.34
Hazaribagh,618,782.40,4371,4632.36,27,84.52,63,481.86,,,33,116.86,5112,6098.01
Jamtara,277,278.66,3234,1784.21,,,5,5.42,,,,,3516,2068.29
Khunti,722,434.84,321,201.09,2,0.10,15,2.39,1,0.08,2,0.96,1063,639.46
Koderma,97,129.77,1789,1531.10,1,,16,137.28,,,8,35.45,1911,1833.59
Latehar,650,416.62,1346,914.73,5,0.19,8,12.49,,,2,0.70,2011,1344.72
Lohardaga,332,271.39,1482,1119.51,,,3,6.73,1,,3,1.05,1821,1398.67
Pakur,572,529.46,6317,5854.21,,,19,120.82,2,1.87,2,0.60,6912,6506.97
Palamu,678,1032.42,2981,1872.98,10,11.05,34,159.27,,,11,46.14,3714,3121.86
Ramgarh,222,312.15,2283,1665.35,10,6.71,236,265.21,,,12,115.06,2763,2364.48
Ranchi,5961,5594.70,56892,27497.32,112,85.18,322,847.99,,,43,884.70,63330,34909.90
Sahibganj,944,982.90,7628,5802.21,3,8.25,11,3.26,1,,1,0.75,8588,6797.37
Seraikela-Kharsawan,325,440.02,3373,1505.66,10,11.33,39,47.57,1,0.32,3,1.05,3751,2005.95
Simdega,1403,749.18,276,321.08,2,0.50,3,0.10,,,2,10.20,1686,1081.06
West Singhbhum,719,656.91,875,1000.59,35,17.45,45,99.27,3,0.50,1,0.49,1678,1775.22
