district,total_disbursement_during_the_quarter_savings_linked_no,amt,credit_linked_no,amt,total_disbursement_during_the_fy_2022_23_savings_linked_no,amt,credit_linked_no,amt,outstanding_at_the_quarter_end_no,amt,outstanding_npa_at_the_quarter_end_no,amt,loans_to_jlgs_disbursement_no,amt,outstanding_no,amt,col_18
Bokaro,3496,1284.25,2451,4996.40,4054,1423.01,3173,6221.20,20250,31984.56,608,349.55,4771,7919.30,93131,30084.25,
Chatra,3304,1466.84,1616,3227.10,3366,1480.18,1691,3319.21,14024,20495.10,646,380.50,1354,713.22,5161,2291.57,
Deoghar,1633,426.68,1414,2047.33,2449,829.08,2937,3764.47,9597,10471.25,1279,1152.53,1268,502.61,92779,4732.33,
Dhanbad,2058,842.77,1186,1885.73,2777,997.15,2351,3019.53,14047,18128.87,888,457.39,4051,7130.53,460378,37428.23,
Dumka,3690,1297.50,1291,2266.45,4310,1424.58,2193,3476.79,10051,13602.97,632,577.59,6086,4107.01,35957,24371.13,
East Singhbhum,1395,496.52,1597,4196.49,1897,534.92,1698,4269.12,22990,41709.44,1085,791.03,6359,5925.02,257825,27610.65,
Garhwa,1916,576.70,846,1486.39,1941,588.42,916,1562.60,10242,14147.85,243,135.00,5313,3014.34,27433,10936.56,
Giridih,3428,2003.16,2037,3818.51,5034,3078.88,4086,6634.65,26397,36181.17,1336,759.57,11814,21971.42,59743,67018.94,
Godda,5474,1851.66,2096,4010.19,6007,2039.73,2836,5050.82,10933,15809.34,406,300.36,2074,1345.43,18615,7510.85,
Gumla,487,102.54,850,2119.44,923,366.41,1274,2766.30,11874,18077.75,984,725.52,406,193.80,1213,468.64,
Hazaribagh,5567,2185.99,2391,4949.13,5745,2206.80,2586,5155.38,23932,37999.93,840,524.28,6267,9460.03,137531,34236.12,
Jamtara,2799,819.54,1636,2597.17,3034,1030.69,1877,2894.62,6005,7328.40,338,426.48,45,30.00,215,167.32,
Khunti,1834,839.30,667,1353.28,2043,942.79,830,1651.24,7196,12472.87,261,288.85,486,809.00,1406,2762.91,
Koderma,3182,874.29,1452,3262.68,3261,883.39,1554,3495.09,10645,18922.12,421,336.69,5205,4949.05,136639,27772.59,
Latehar,2213,1859.91,1291,2593.14,2332,1978.46,1632,3221.87,9365,13555.33,369,234.03,3108,4059.90,11064,14508.84,
Lohardaga,120,10.45,302,742.02,192,23.17,349,808.59,8102,13483.52,633,760.10,655,710.57,2765,1843.22,
Pakur,4604,3050.77,1656,3070.32,4785,3306.54,2064,3804.10,10243,16590.54,331,236.23,5108,8819.06,20800,29344.95,
Palamu,3777,1253.06,1830,3019.12,3874,1291.36,1857,3042.06,18652,23298.96,736,555.13,7885,4649.69,45226,18491.21,
Ramgarh,1672,441.91,565,1384.75,1838,641.31,641,1492.99,10405,18580.56,356,279.81,1831,1143.50,15618,6065.51,
Ranchi,1964,589.08,1219,4533.36,2833,787.04,2338,7874.47,32245,63103.02,1495,1888.20,5757,6505.55,190435,30215.42,
Sahibganj,2766,1330.09,1666,2932.89,3074,1452.66,1962,3302.46,8276,10260.00,318,195.80,1076,699.05,13157,4993.75,
Seraikela-Kharsawan,392,113.23,558,1268.43,419,115.93,585,1294.84,14091,24167.76,833,698.97,1163,1015.77,56258,5564.66,
Simdega,467,74.72,309,977.77,585,95.33,475,1143.77,8499,11921.24,504,409.68,541,245.18,2347,952.80,
West Singhbhum,545,144.06,567,1076.94,597,167.62,647,1201.14,16696,35833.45,485,277.36,1637,2087.02,7127,7255.88,
