district,sponsering_bank,target_fy_2023_24_number_of_training_programmes_to_be_conducted,number_of_trainees_to_be_trained,"performance_during_the_financial_year_2023_24_up_to_the_end_of_june,_2023_month",pct_of_achievement_to_target_for_no_of_training_programmes_conducted,number_of_trainees_trained,pct_of_achievement_to_target_for_no_of_trainees_trained,col_9
Bokaro,BANK OF INDIA,28,810,4,14.29,128,15.80,
Chatra,BANK OF INDIA,32,800,6,18.75,191,23.88,
Deoghar,STATE BANK OF INDIA,33,825,6,18.18,189,22.91,
Dhanbad,BANK OF INDIA,30,810,7,23.33,220,27.16,
Dumka,INDIAN BANK,30,800,4,13.33,121,15.13,
East Singhbhum,BANK OF INDIA,33,825,3,9.09,72,8.73,
Garhwa,STATE BANK OF INDIA,28,800,6,21.43,175,21.88,
Giridih,BANK OF INDIA,33,825,5,15.15,154,18.67,
Godda,INDIAN BANK,30,750,5,16.67,161,21.47,
Gumla,BANK OF INDIA,33,825,10,30.30,337,40.85,
Hazaribagh,INDIAN BANK,32,800,6,18.75,168,21.00,
Jamtara,STATE BANK OF INDIA,25,750,6,24.00,182,24.27,
Khunti,BANK OF INDIA,30,800,6,20.00,168,21.00,
Koderma,BANK OF INDIA,29,790,8,27.59,234,29.62,
Latehar,STATE BANK OF INDIA,30,750,9,30.00,248,33.07,
Lohardaga,BANK OF INDIA,32,825,8,25.00,191,23.15,
Pakur,STATE BANK OF INDIA,30,750,7,23.33,197,26.27,
Palamu,STATE BANK OF INDIA,32,800,7,21.88,191,23.88,
Ramgarh,BANK OF INDIA,25,630,4,16.00,120,19.05,
Ranchi,RUDSETICANARA BANK,33,825,6,18.18,105,12.73,
Sahibganj,STATE BANK OF INDIA,32,750,6,18.75,163,21.73,
Simdega,BANK OF INDIA,33,825,9,27.27,239,28.97,
West Singhbhum,BANK OF INDIA,33,825,8,24.24,229,27.76,
