district,shishu_accounts,amount,kishor_accounts,amount,tarun_accounts,amount,total_accounts,amount
Bokaro,25487,8049.88,8902,8811.59,605,4040.28,34994,20901.74
Chatra,1753,602.41,833,1403.71,176,1136.85,2762,3142.98
Deoghar,5154,1800.61,2994,5100.07,621,4544.11,8769,11444.79
Dhanbad,39222,13420.40,11917,12132.40,876,6420.76,52015,31973.55
Dumka,15121,4733.33,5420,5235.73,219,1433.73,20760,11402.80
East Singhbhum,19851,6950.89,7976,9053.63,847,5900.80,28674,21905.32
Garhwa,2512,963.61,1997,2347.56,263,1889.69,4772,5200.85
Giridih,33155,10686.46,10258,9634.46,512,3660.47,43925,23981.39
Godda,2224,778.53,2698,3790.89,319,2296.33,5241,6865.75
Gumla,619,143.37,331,662.66,106,738.72,1056,1544.75
Hazaribagh,12279,4158.12,6187,7413.26,601,4052.63,19067,15624.01
Jamtara,826,219.28,721,1423.29,132,967.77,1679,2610.34
Khunti,6464,1929.86,1665,1548.72,109,663.60,8238,4142.19
Koderma,2368,930.23,2038,2362.61,257,1609.57,4663,4902.40
Latehar,7058,2285.30,1879,2160.41,196,1510.55,9133,5956.27
Lohardaga,764,245.88,537,795.65,101,666.82,1402,1708.36
Pakur,19019,5876.83,4764,4428.16,140,1035.40,23923,11340.39
Palamu,5194,1881.97,4629,5427.55,537,4351.08,10360,11660.59
Ramgarh,1743,618.65,1841,2378.93,305,2057.14,3889,5054.73
Ranchi,26705,9580.65,10867,13523.19,1476,10508.08,39048,33611.92
Sahibganj,2163,762.40,2410,3522.54,328,2491.60,4901,6776.54
Seraikela-Kharsawan,3394,1125.63,1580,2026.39,141,1070.29,5115,4222.32
Simdega,697,212.42,283,379.61,73,463.34,1053,1055.36
West Singhbhum,6059,2029.32,2028,2384.21,197,1302.59,8284,5716.12
