district,target_for_fy_2023_24_no,amt,application_received_during_current_fiscal_no,sanctioned_during_the_year_including_application_received_during_previous_year_n,amount,of_which_girl_student_no,amount,disbursed_during_the_financial_year_2022_23_till_30th_june_2023_no,amount,education_loan_outstanding_as_on_30062023_no,amount,of_which_girl_student_no,amount,col_15
Bokaro,1775,3837.00,177,177,898.15,68,444.44,297,458.61,3148,12295.88,941,3903.42,
Chatra,79,148.00,5,5,24.57,1,2.56,14,22.68,253,834.33,40,124.04,
Deoghar,582,1389.00,55,55,280.11,19,76.98,62,139.68,1113,4491.66,280,1388.93,
Dhanbad,2533,4921.00,268,268,1109.45,86,315.58,314,459.59,5190,18145.40,1262,4852.49,
Dumka,125,241.00,7,7,66.97,3,24.39,9,35.73,264,1017.99,76,261.55,
East Singhbhum,3434,11722.00,567,567,4161.76,214,1592.03,617,1637.04,8335,54391.57,2909,18116.64,
Garhwa,123,228.00,13,13,41.21,4,9.45,22,42.94,281,902.77,60,190.27,
Giridih,425,875.00,49,49,236.01,15,95.49,71,84.32,1077,3376.47,220,804.51,
Godda,187,312.00,18,18,43.71,8,17.32,12,16.46,463,1396.30,116,335.27,
Gumla,252,403.00,54,54,109.71,47,79.91,66,68.16,549,1159.63,370,591.99,
Hazaribagh,575,1493.00,57,57,404.93,12,99.40,92,209.47,1389,5463.48,320,1398.35,
Jamtara,237,324.00,22,22,81.03,17,40.86,22,30.02,306,680.95,163,231.97,
Khunti,78,173.00,5,5,23.65,2,12.44,13,18.00,172,547.91,55,150.76,
Koderma,295,612.00,29,29,192.65,5,56.11,47,53.92,526,1933.77,119,440.41,
Latehar,65,82.00,2,2,6.67,1,1.43,4,3.61,150,487.69,39,113.22,
Lohardaga,74,127.00,4,4,19.94,,,10,17.11,231,849.48,69,269.37,
Pakur,130,106.00,3,3,5.55,1,1.37,3,3.64,159,360.90,78,99.87,
Palamu,290,595.00,34,34,169.30,14,108.89,32,66.23,777,2657.86,166,591.73,
Ramgarh,426,993.00,52,52,390.83,16,201.94,64,111.65,1102,3920.19,300,1260.35,
Ranchi,5442,18995.00,811,811,5732.68,326,2231.08,822,1703.23,11885,60750.75,4582,20668.22,
Sahibganj,211,277.00,7,7,19.89,3,6.27,13,13.05,531,1265.03,288,456.20,
Seraikela-Kharsawan,839,1184.00,67,67,192.33,22,67.92,79,102.43,1849,6158.98,441,1312.82,
Simdega,46,75.00,9,9,28.49,8,24.53,10,11.83,147,377.91,73,149.95,
West Singhbhum,685,1388.00,54,54,293.45,24,93.98,119,190.58,1511,6634.90,699,2316.67,
