district,kccs_for_animal_husbandry_and_allied_activities_as_of_30062023_no,amt,from_01042023_to_30062023_no,amt,farmers_producer_organizations_as_of_30062023_no,amt,from_01042023_to_30062023_no,amt,dairy_as_of_30062023_no,amt,from_01042023_to_30062023_no,amt,farm_mechanization_as_of_30062023_no,amt,from_01042023_to_30062023_no,amt,poultry_as_of_30062023_no,amt,from_01042023_to_30062023_no,amt,fisheries_as_of_30062023_no,amt,from_01042023_to_30062023_no,no_in_actual_and_amt_in_lakh]_annexure_14_b_amt,rural_godowns_as_of_30062023_no,amt,from_01042023_to_30062023_no,amt,agri_clinics_as_of_30062023_no,amt,from_01042023_to_30062023_no,amt
Bokaro,95,99.03,44,26.84,,,,,1631,1263.05,279,217.33,4908,6659.13,1103,1788.64,629,1053.85,86,458.90,158,80.95,51,29.20,,,,,2,4.37,,
Chatra,116,59.79,105,46.81,,,,,414,311.50,61,57.83,4579,2271.30,789,537.86,90,106.45,19,67.35,207,99.30,76,47.99,,,,,,,,
Deoghar,301,115.62,223,57.11,3,10.47,1,4.06,1073,1412.50,191,444.94,799,1178.51,65,170.66,29,72.12,4,41.32,19,11.30,2,5.24,42,41.76,,,,,,
Dhanbad,88,146.63,57,74.48,,,,,1818,1278.66,198,209.96,8123,10550.94,1654,2581.40,299,341.73,58,85.70,225,143.66,23,18.03,1,67.48,,,3,6.30,,
Dumka,92,48.07,55,35.72,5,14.47,,,2109,1017.45,152,169.22,632,1316.47,54,41.05,448,177.97,34,20.16,230,67.07,13,7.54,,,,,,,,
East Singhbhum,115,225.16,28,82.03,2,6.98,,,1726,3474.89,630,1303.23,5067,8766.94,932,1451.83,716,1148.18,131,298.99,253,199.63,61,71.10,2,18.25,,,1,4.20,,
Garhwa,52,34.60,31,13.17,2,,,,266,317.91,97,72.08,4121,1388.55,645,296.10,127,96.18,43,29.31,170,65.11,49,20.71,134,27.74,,,,,,
Giridih,75,52.40,26,16.18,1,,,,1350,769.60,223,267.37,6286,4535.65,531,693.44,724,304.68,101,93.36,536,281.33,20,18.30,1,293.86,,,3,1.36,,
Godda,238,91.80,157,60.02,,,,,3544,1049.56,280,162.05,4215,2156.68,655,280.91,242,212.22,92,95.32,215,80.98,4,1.95,,,,,,,,
Gumla,36,14.80,7,1.34,,,,,209,217.11,63,23.17,2223,1968.97,262,240.82,21,14.11,2,1.46,8,3.62,2,1.41,,,,,,,,
Hazaribagh,408,250.72,152,71.15,,,,,4225,1703.98,1232,840.77,9288,5639.32,1783,1500.34,495,694.11,86,118.76,637,228.33,218,86.13,4,1032.13,,,,,,
Jamtara,47,17.56,39,11.50,,,,,124,148.47,21,29.10,241,293.84,17,23.05,36,29.12,6,13.14,19,7.69,1,1.00,,,,,,,,
Khunti,100,47.51,20,7.15,2,24.78,,,129,103.56,37,29.48,1658,1158.27,211,127.55,50,60.74,8,10.21,4,2.68,,,,,,,,,,
Koderma,34,26.02,15,6.84,,,,,178,231.76,26,42.36,2878,1981.01,543,614.76,157,234.14,32,60.28,27,21.62,1,4.50,,,,,,,,
Latehar,251,89.18,223,88.37,,,,,199,187.72,34,75.87,940,1121.63,54,93.08,140,158.68,15,23.75,22,14.76,3,1.10,,,,,,,,
Lohardaga,158,58.91,45,7.48,,,,,177,176.73,25,17.89,843,1242.25,41,76.62,21,14.41,2,2.72,69,54.50,9,5.34,,,,,,,,
Pakur,160,107.76,47,26.21,,,,,3369,1084.46,447,209.65,122,67.42,7,7.28,194,53.26,14,5.28,323,78.33,40,17.87,,,,,1,158.52,,
Palamu,138,74.13,98,41.87,,,,,494,385.51,132,108.20,9165,3960.16,1630,690.55,1211,1283.07,278,214.14,780,338.49,180,89.03,,,,,6,77.81,1,60.23
Ramgarh,79,53.11,26,11.73,2,22.39,1,30.00,1674,774.86,431,235.24,5641,4071.43,851,1097.68,645,472.47,158,139.92,275,96.05,62,29.24,2,64.76,1,0.25,1,1.05,,
Ranchi,1539,1719.11,132,4343.37,1,0.00,,,5069,4983.49,1033,1371.96,8893,13969.95,821,1870.47,459,683.58,77,119.40,711,221.66,87,38.93,5,964.74,,,7,25.96,5,1.41
Sahibganj,382,213.79,217,99.49,,,,,1444,608.81,190,88.58,1885,1626.67,374,206.78,262,101.20,18,8.76,309,126.33,32,22.72,1,79.72,,,,,,
Seraikela-Kharsawan,98,78.00,33,18.75,1,,,,242,1000.39,98,146.19,2852,3665.08,618,594.42,96,147.92,19,117.54,81,54.15,18,15.94,,,,,1,13.73,,
Simdega,21,18.24,4,3.20,1,5.13,1,25.10,123,153.97,31,38.28,2224,1299.11,132,105.62,20,10.69,4,1.00,19,6.05,4,1.10,,,,,1,0.81,,
West Singhbhum,107,64.88,18,10.40,1,,,,568,607.89,116,114.89,2896,3950.79,200,187.60,252,193.78,32,13.57,49,37.84,9,6.58,136,247.98,,,1,14.67,,
