district,as_on_30th_june_2023_export_credit_no,amt,education_no,amt,housing_no,amt,social_infra_no,amt,renewable_energy_no,amt,others_priority_sector_no,amt,total_priority_sector_no,amt,pct_of_total_pri_sec_loans_to_total_advances
Bokaro,,,2829,9842.40,2982,28073.06,2,2.25,1,,42119,12691.51,178049,359519.27,45.46
Chatra,,,248,826.83,164,1306.66,1,0.47,,,4476,1417.14,88948,75147.49,62.26
Deoghar,,,1020,3551.89,1766,12056.95,3,4.53,11,12.02,26149,7163.16,160178,186434.54,56.33
Dhanbad,1,297.00,4946,16019.33,8781,77332.31,11,100.08,,,78806,24325.26,239420,580125.15,45.78
Dumka,,,247,842.87,755,6071.83,35,11.80,32,31.48,18371,5992.80,128929,108056.32,58.41
East Singhbhum,,,6955,31702.42,9119,74199.07,7,108.02,1,0.31,78676,25685.71,266422,869172.56,46.14
Garhwa,,,254,789.44,264,2223.71,7,48.83,27,8.12,12534,3521.39,117564,97543.19,68.14
Giridih,33,6805.00,955,2835.10,870,7079.60,20,52.84,,,42700,12392.45,206865,223337.15,60.46
Godda,,,429,1319.15,1112,10138.44,6,1.16,42,4.71,13858,4275.70,118759,103632.95,61.01
Gumla,,,469,970.57,268,2280.02,,,,,4694,1358.96,81818,66381.38,61.26
Hazaribagh,,,1249,4430.87,2169,17916.15,22,3.58,,,26702,9728.46,199206,289285.46,56.20
Jamtara,,,185,510.74,351,2503.11,,,16,3.16,3484,831.46,63965,47772.67,56.39
Khunti,,,159,498.27,215,2070.68,4,7.06,,,3205,826.65,44109,39474.46,46.38
Koderma,,,463,1617.35,603,3798.38,5,4.95,,,16351,4955.23,87142,102563.81,62.11
Latehar,,,133,444.66,181,1897.05,1,0.13,3,0.65,6575,1771.15,50131,46622.48,49.11
Lohardaga,,,213,736.21,259,2085.74,1,0.05,,,6817,1999.45,57659,54187.29,62.31
Pakur,,,102,296.25,401,3367.17,6,2.32,,,29469,8003.41,83419,75379.22,64.03
Palamu,,,752,2417.93,708,6056.94,13,25.11,3,2.43,32415,11514.45,201654,178047.49,58.45
Ramgarh,,,1046,3438.37,895,8276.81,4,0.12,1,5.90,20305,6209.99,93618,147134.27,42.76
Ranchi,2,3956.00,10636,46481.46,11391,133705.01,505,60.28,2,6.95,64609,28828.64,1256294,1431656.61,41.98
Sahibganj,,,481,1201.27,467,4145.27,9,0.83,29,33.56,19264,5841.67,93069,75166.66,58.55
Seraikela-Kharsawan,,,1734,5023.65,1218,9434.50,,,,,16285,5334.18,199271,242264.20,65.17
Simdega,,,134,321.18,125,1137.55,,,,,3692,978.33,42093,32851.83,60.92
West Singhbhum,,,1343,6132.18,895,8481.48,2,0.40,,,20337,5640.62,125238,140793.10,42.37
