district,shgs_credit_linkage_target_fy_2023_24_total_no_shgs_for_credit_linkage,total_disbursement_amt_rs_in_lakh,total_outstanding_amt_rs_in_lakh,achievements_as_on_30062023_total_shgs_repeat_renewals_enhancement_fy_2022_23,total_disbursement_amt_rs_in_lakh,total_outstanding_amt_rs_in_lakh
Bokaro,9780,17900,19010,2911,2931,17189
Chatra,7240,13200,14080,2672,1554,11922
Deoghar,5550,10200,10790,864,981,6902
Dhanbad,6250,11400,12140,1713,1773,9262
Dumka,7620,13900,14810,977,971,10419
Garhwa,8120,14800,15780,803,862,12452
Giridih,13420,24600,26080,3025,2461,20176
Godda,6320,11600,12280,1660,989,10365
Gumla,6220,11400,12090,1029,1236,9976
Hazaribagh,11380,20800,22120,2837,3169,19817
Jamtara,3730,6800,7260,572,433,4652
Khunti,3870,7200,7520,872,723,7109
Koderma,4850,8800,9420,1292,1086,9250
Latehar,5700,10400,11070,989,661,9227
Lohardaga,3390,6200,6500,757,635,5804
Pakur,6040,11000,11700,1254,562,11223
Palamu,13300,24300,25800,1664,1260,19062
Ramgarh,5900,10800,11400,1731,1371,10351
Ranchi,15400,28300,29900,4929,4624,34989
Sahibganj,6060,11200,11770,1636,734,9120
Simdega,4540,8300,8830,796,771,6710
West Singhbhum,9220,16900,17800,2188,1681,21036
