district,shishu_outstanding_no,amt,npa_no,amt,kishor_outstanding_no,amt,npa_no,amt,tarun_outstanding_no,amt,[no_in_actual_and_amt_in_lakh]_npa_no,amt,pmmy_outstanding_no,amt,npa_no,amt
Bokaro,92860,16435.70,11645,1603.55,46261,36572.15,4131,4830.75,3417,18842.99,590,3112.21,142538,71851,16366,9547
Chatra,11352,2012.26,1357,301.10,5727,7139.15,1255,1759.58,1070,5715.63,161,928.60,18149,14867,2773,2989
Deoghar,34105,6703.06,2052,521.94,21303,18560.13,2365,2589.10,1659,9807.97,192,1042.63,57067,35071,4609,4154
Dhanbad,154292,31774.59,14465,1872.36,68080,48036.73,4047,4769.77,3947,23427.43,567,2760.05,226319,103239,19079,9402
Dumka,40013,7819.49,5457,1093.97,22149,14595.57,2269,1923.99,849,4489.16,164,587.56,63011,26904,7890,3606
East Singhbhum,134316,27151.60,8667,1472.03,75703,53459.74,5271,5774.46,4489,26745.99,616,3231.86,214508,107357,14554,10478
Garhwa,14766,3768.04,1106,287.15,11975,9327.91,744,908.25,784,4667.51,59,266.19,27525,17763,1909,1462
Giridih,169884,29657.52,12084,1814.87,78438,46257.62,4412,4544.62,2465,14088.15,299,1546.40,250787,90003,16795,7906
Godda,19752,3964.86,2766,680.27,18025,14375.45,1870,2219.31,1110,5933.05,144,590.36,38887,24273,4780,3490
Gumla,9856,854.86,1056,209.61,4848,5272.18,913,1189.13,813,4019.12,140,611.96,15517,10146,2109,2011
Hazaribagh,96663,18014.90,6381,1065.45,50533,36133.26,4239,5434.50,2934,16392.14,519,2653.75,150130,70540,11139,9154
Jamtara,6653,932.86,965,181.26,4406,5197.61,813,898.02,356,1991.34,44,201.98,11415,8122,1822,1281
Khunti,12367,1737.74,852,192.20,5913,4969.38,542,709.74,459,2485.21,44,266.76,18739,9192,1438,1169
Koderma,48560,8822.96,3301,447.66,27477,18001.14,1392,1620.69,1265,7274.25,203,1050.43,77302,34098,4896,3119
Latehar,34306,6456.39,1115,186.71,12366,7297.70,613,569.87,460,2676.42,54,216.96,47132,16431,1782,974
Lohardaga,9522,1345.45,649,144.37,6238,6059.24,854,1290.17,818,4247.88,157,741.93,16578,11653,1660,2176
Pakur,78519,13615.82,4895,775.58,39568,18866.81,1659,1138.15,1073,4479.66,72,304.68,119160,36962,6626,2218
Palamu,32051,8217.92,2665,954.27,29654,22365.99,1772,2562.66,1763,10369.82,301,1531.79,63468,40954,4738,5049
Ramgarh,25839,4342.72,5038,868.54,20482,17544.58,2301,2809.90,1725,9513.83,251,1441.15,48046,31401,7590,5120
Ranchi,283261,53446.68,19265,2768.43,137661,91304.90,8919,10112.94,8871,50100.51,1305,7658.38,429793,194852,29489,20540
Sahibganj,20158,3579.93,2256,379.97,20674,13661.39,1339,1152.13,1060,5587.60,122,500.55,41892,22829,3717,2033
Seraikela-Kharsawan,32993,5173.95,3806,411.08,17001,14630.78,1417,1729.13,1155,6893.61,155,839.57,51149,26698,5378,2980
Simdega,7576,868.06,627,130.21,3642,3757.97,505,702.49,465,2583.48,59,347.56,11683,7210,1191,1180
West Singhbhum,178087,32827.29,7193,935.14,57655,32280.89,2409,2102.52,1160,6837.93,180,924.76,236902,71946,9782,3962
