district,bc_active_yes_no,male,female,fixed_yes,fixed_no,pos_yes,pos_no,extending_all_basic_banking_facilities_yes,extending_all_basic_banking_facilities_no,limited_services_yes,limited_services_no
Bokaro,4703,4176,527,2483,2220,849,3854,2340,2363,3002,1701
Chatra,4789,4241,548,2032,2757,739,4050,2091,2698,3508,1281
Deoghar,6322,5805,517,2349,3973,594,5728,2251,4071,4375,1947
Dhanbad,5352,4747,605,3362,1990,977,4375,3185,2167,2881,2471
Dumka,3036,2729,307,2046,990,454,2582,1734,1302,1813,1223
East Singhbhum,3642,3021,621,2289,1353,907,2735,2325,1317,1877,1765
Garhwa,9364,8613,751,4324,5040,1485,7879,3769,5595,7582,1782
Giridih,10218,9097,1121,6754,3464,1761,8457,5579,4639,6768,3450
Godda,5846,5210,636,3048,2798,1260,4586,2788,3058,4659,1187
Gumla,2393,2055,338,1366,1027,580,1813,1386,1007,1506,887
Hazaribagh,4779,4144,635,2948,1831,1115,3664,3011,1768,2732,2047
Jamtara,1181,1121,60,678,503,214,967,684,497,664,517
Khunti,1432,1177,255,715,717,324,1108,756,676,935,497
Koderma,2317,2059,258,1136,1181,421,1896,1018,1299,1562,755
Latehar,4315,3904,411,1561,2754,549,3766,1530,2785,3453,862
Lohardaga,2400,2089,311,832,1568,312,2088,881,1519,1802,598
Pakur,2687,2425,262,1538,1149,548,2139,1166,1521,2042,645
Palamu,9093,8109,984,5531,3562,1450,7643,4735,4358,5877,3216
Ramgarh,2288,1955,333,1403,885,501,1787,1434,854,1233,1055
Ranchi,5999,5156,843,3768,2231,1099,4900,3858,2141,2909,3090
Sahibganj,3731,3350,381,2540,1191,973,2758,2209,1522,2809,922
Seraikela-Kharsawan,2132,1922,210,1017,1115,360,1772,1033,1099,1454,678
Simdega,1693,1460,233,760,933,412,1281,783,910,1282,411
West Singhbhum,3277,2763,514,2041,1236,871,2406,2067,1210,2234,1043
