district,total_target_for_2022_23_no_of_prj,mm_involve_in_lakh,forwarded_to_bank_no_of_prj,mm_involve_in_lakh,sanctioned_by_bank_no_of_prj,mm_involve_in_lakh,margin_money_claimed_no_of_prj,mm_involve_in_lakh,mm_disbursed_no_of_prj,mm_involve_in_lakh,returned_by_bank_no_of_prj,mm_in_lakh,pending_at_bank_no_of_prj,mm_involve_in_lakh,pending_for_mm_disbursement_no_of_prj,mm_in_lakh
Bokaro,413,1197.70,114,563.64,23,103.20,22,102.69,10,68.00,33,135.20,64,342.98,16,58.19
Chatra,179,519.10,81,310.60,11,38.53,20,56.59,6,11.30,20,90.42,53,183.11,17,49.41
Deoghar,253,733.70,197,364.56,29,70.40,30,126.54,13,36.64,60,144.58,110,145.20,22,95.13
Dhanbad,405,1174.50,106,327.63,18,63.79,23,102.18,20,94.32,35,105.32,59,184.76,10,22.85
Dumka,306,887.40,75,197.16,11,31.38,46,87.28,18,41.46,25,84.93,40,80.63,37,73.26
Garhwa,183,530.70,52,158.35,7,11.41,5,11.63,6,15.64,16,49.96,29,94.39,4,8.13
Giridih,292,846.80,128,394.82,42,98.67,41,96.89,27,54.41,39,109.76,50,169.40,24,61.20
Godda,294,852.60,128,396.85,21,53.03,43,166.85,21,67.10,37,88.35,73,256.45,27,108.16
Gumla,186,539.40,74,200.75,11,21.57,16,29.76,5,6.41,20,55.17,45,124.08,13,25.27
Hazaribagh,430,1247.00,173,637.14,28,97.18,34,85.41,26,64.30,32,121.57,115,407.92,18,40.59
Jamtara,175,507.50,54,152.30,12,18.42,11,18.07,9,12.35,19,70.55,24,60.65,5,8.08
Khunti,201,582.90,54,139.44,12,21.89,2,1.49,7,14.32,19,55.84,26,63.65,1,0.44
Koderma,203,588.70,40,118.83,4,9.28,9,23.28,13,40.02,9,39.00,27,69.85,6,13.45
Latehar,148,429.20,29,74.07,12,44.34,6,22.38,6,25.33,11,26.71,7,11.78,6,22.38
Lohardaga,186,539.40,81,207.32,18,38.22,12,18.61,19,26.00,12,54.33,52,114.94,3,4.87
Pakur,203,588.70,64,163.79,6,8.20,9,11.44,10,31.97,29,74.56,29,78.93,6,4.38
Palamu,240,696.00,62,244.77,9,35.65,8,24.22,7,22.29,27,91.10,27,119.71,4,13.46
Ramgarh,303,878.70,68,297.81,15,51.98,12,33.77,10,46.58,6,19.76,54,239.92,7,15.33
Ranchi,390,1131.00,209,814.44,37,129.85,36,128.70,33,112.23,74,305.35,110,416.37,27,97.92
Sahibganj,294,852.60,123,282.72,9,9.89,24,43.07,16,21.35,42,93.11,73,176.98,20,35.78
Simdega,176,510.40,59,166.50,15,25.16,18,31.38,7,10.19,17,62.10,30,79.92,13,23.99
