district,pmegp_outstanding_no,amt,npa_no,amt,npa_pct,mudra_loans_outstanding_no,amt,npa_no,amt,npa_pct,stand_up_india_outstanding_no,amt,npa_no,amt,npapct,shg_nrlm_nulm_outstanding_no,amt,npa_no,amt,npapct
Bokaro,867,2969.09,315,913.69,30.77,142538,71850.84,16366,9546.51,13.29,202,2916.79,58,699.91,24.00,20250,31984.56,608,349.55,1.09
Chatra,462,1071.15,184,344.80,32.19,18149,14867.04,2773,2989.28,20.11,48,466.94,14,170.54,36.52,14024,20495.10,646,380.50,1.86
Deoghar,871,2046.99,342,470.18,22.97,57067,35071.16,4609,4153.66,11.84,125,1565.48,13,222.17,14.19,9597,10471.25,1279,1152.53,11.01
Dhanbad,1196,3600.97,507,1236.50,34.34,226319,103238.76,19079,9402.18,9.11,235,3182.62,63,637.91,20.04,14051,18130.71,888,457.39,2.52
Dumka,994,1954.89,361,540.02,27.62,63011,26904.22,7890,3605.52,13.40,51,835.50,1,0.12,0.01,10051,13602.97,632,577.59,4.25
East Singhbhum,1062,3304.15,264,624.28,18.89,214508,107357.33,14554,10478.34,9.76,355,4454.23,79,971.25,21.81,22990,41709.44,1085,791.03,1.90
Garhwa,253,658.84,67,126.87,19.26,27525,17763.47,1909,1461.58,8.23,14,102.08,2,3.70,3.62,10242,14147.85,243,135.00,0.95
Giridih,861,2184.07,270,510.70,23.38,250787,90003.29,16795,7905.88,8.78,93,1321.95,10,109.33,8.27,26397,36181.17,1336,759.57,2.10
Godda,903,2177.87,245,443.80,20.38,38887,24273.36,4780,3489.94,14.38,50,858.79,6,72.63,8.46,10933,15809.34,406,300.36,1.90
Gumla,418,951.64,162,328.65,34.53,15517,10146.16,2109,2010.70,19.82,29,308.11,4,40.67,13.20,11874,18077.75,984,725.52,4.01
Hazaribagh,1190,3883.96,417,1127.46,29.03,150130,70540.30,11139,9153.69,12.98,183,1813.87,49,421.44,23.23,23933,38000.27,841,524.63,1.38
Jamtara,558,838.88,158,169.07,20.15,11415,8121.81,1822,1281.27,15.78,18,210.26,,0.03,0.01,6005,7328.40,338,426.48,5.82
Khunti,447,935.16,143,271.91,29.08,18739,9192.32,1438,1168.70,12.71,18,192.39,,0.02,0.01,7196,12472.87,261,288.85,2.32
Koderma,559,1358.14,182,423.75,31.20,77302,34098.34,4896,3118.78,9.15,83,621.66,26,135.29,21.76,10647,18925.63,421,336.69,1.78
Latehar,267,513.65,86,104.39,20.32,47132,16430.51,1782,973.53,5.93,45,531.47,,0.01,0.00,9365,13555.33,369,234.03,1.73
Lohardaga,606,1567.38,189,762.62,48.66,16578,11652.57,1660,2176.47,18.68,25,196.80,3,17.72,9.01,8102,13483.52,633,760.10,5.64
Pakur,411,879.12,131,227.25,25.85,119160,36962.29,6626,2218.41,6.00,21,316.78,2,13.87,4.38,10243,16590.54,331,236.23,1.42
Palamu,697,1935.90,236,422.09,21.80,63468,40953.73,4738,5048.72,12.33,76,1422.50,3,36.62,2.57,18652,23298.96,736,555.13,2.38
Ramgarh,485,1525.94,135,302.79,19.84,48046,31401.13,7590,5119.58,16.30,134,1115.80,22,178.23,15.97,10405,18580.56,356,279.81,1.51
Ranchi,1356,4318.27,618,1650.12,38.21,429793,194852.09,29489,20539.75,10.54,547,7200.90,115,1641.69,22.80,32281,63156.67,1495,1888.20,2.99
Sahibganj,694,1702.46,169,267.99,15.74,41892,22828.92,3717,2032.65,8.90,24,261.79,2,6.02,2.30,8276,10260.00,318,195.80,1.91
Seraikela-Kharsawan,399,905.23,108,164.16,18.14,51149,26698.34,5378,2979.79,11.16,52,650.19,5,26.16,4.02,14091,24167.76,833,698.97,2.89
Simdega,388,842.43,169,296.99,35.25,11683,7209.52,1191,1180.26,16.37,20,165.13,4,28.84,17.47,8499,11921.24,504,409.68,3.44
West Singhbhum,497,1359.74,161,270.82,19.92,236902,71946.11,9782,3962.42,5.51,42,1349.38,1,0.02,0.00,16696,35833.45,485,277.36,0.77
