district,total_npa_under_priorty_sector_sector_wise_agriculture_no,amt,housing_no,amt,education_no,amt,msme_no,[number_in_actual_and_amount_in_lakh]_annexure_10_b_i_amt,other_psl_no,amt,total_psl_npa_no,amt,col_14
Bokaro,17985,7907.80,63,587.12,215,590.07,10377,33381.04,5095,814.33,33735,43280.35,
Chatra,20763,10062.53,16,87.09,87,303.58,2948,5720.34,215,35.56,24029,16209.10,
Deoghar,23529,9870.05,57,116.65,134,367.28,5330,7877.69,938,206.06,29988,18437.74,
Dhanbad,24197,11990.76,198,1198.38,467,1309.43,13409,26381.99,7584,1105.46,45855,41986.01,
Dumka,21553,7753.98,13,39.31,47,118.74,5521,4917.74,1234,248.01,28368,13077.77,
East Singhbhum,21119,11454.87,248,1665.60,470,1354.34,13186,53748.07,2947,519.46,37970,68742.34,
Garhwa,12693,6758.31,8,56.80,66,214.82,2216,1915.66,219,61.07,15202,9006.67,
Giridih,34534,13510.19,36,112.30,253,657.05,9115,12350.00,2836,560.23,46774,27189.78,
Godda,17274,8117.03,5,22.09,50,158.08,3663,4009.12,741,200.70,21733,12507.02,
Gumla,26906,11055.30,22,93.24,64,171.67,2871,3785.53,135,34.35,29998,15140.10,
Hazaribagh,35862,20501.24,192,1028.60,246,825.63,8242,17466.30,2001,398.88,46543,40220.66,
Jamtara,9453,3585.30,5,19.66,21,57.32,1858,1728.63,67,5.25,11404,5396.17,
Khunti,8859,3940.54,6,46.36,29,71.73,1640,2189.70,224,32.62,10758,6280.94,
Koderma,20345,8928.10,56,223.58,79,274.96,4296,7654.07,1123,132.26,25899,17212.96,
Latehar,7693,3051.14,10,38.73,18,78.07,1567,1478.67,39,5.35,9327,4651.96,
Lohardaga,16057,8509.19,13,93.27,69,240.94,1973,3889.63,49,12.35,18161,12745.38,
Pakur,12532,4904.91,7,27.00,21,58.14,2613,2049.95,933,222.06,16106,7262.06,
Palamu,21741,12203.71,22,113.67,134,450.88,5016,6608.04,224,71.71,27137,19448.01,
Ramgarh,10007,4414.11,30,130.67,115,367.38,6083,12384.86,2722,489.95,18957,17786.98,
Ranchi,35228,29350.91,292,2678.89,801,2485.54,19081,103602.61,3588,897.24,58990,139015.18,
Sahibganj,14118,7875.04,6,30.61,34,132.89,2920,2624.74,891,238.37,17969,10901.64,
Seraikela-Kharsawan,16136,8468.13,25,129.22,86,214.51,4560,9950.22,643,103.94,21450,18866.02,
Simdega,13998,5296.38,6,23.71,50,98.73,2434,2393.72,73,33.01,16561,7845.55,
West Singhbhum,22869,11600.86,81,647.15,111,352.58,5863,10462.78,978,139.12,29902,23202.48,
