district,no_of_shgs_credit_linked_as_on_31st_march_2023,disburdsement_target_no_of_shgs,disbursement_amount_rs_in_lakh,expected_outstanding_amount_as_on_31st_march_2024
Bokaro,11859,9780,17835,19012
Chatra,8780,7241,13204,14076
Deoghar,6728,5548,10118,10786
Dhanbad,7572,6245,11388,12140
Dumka,9236,7617,13890,14807
Garhwa,9840,8115,14799,15776
Giridih,16267,13415,24465,26079
Godda,7657,6315,11516,12276
Gumla,7542,6220,11343,12091
Hazaribagh,13798,11379,20752,22121
Jamtara,4526,3732,6806,7256
Khunti,4691,3869,7055,7521
Koderma,5878,4848,8840,9423
Latehar,6906,5695,10386,11072
Lohardaga,4104,3385,6172,6580
Pakur,7318,6035,11006,11732
Palamu,16148,13317,24286,25888
Ramgarh,7155,5901,10761,11471
Ranchi,18697,15419,28120,29975
Sahibganj,7344,6057,11045,11774
Seraikela-Kharsawan,8141,6714,12244,13052
Simdega,5501,4537,8273,8819
West Singhbhum,11178,9218,16811,17921
