district,as_on_30th_june_2023_loans_to_small_and_marginal_farmers_no,amt,loans_to_sc_st_no,amt,loans_to_shgs_no,amt,loans_to_minority_communities_no,amt,od_under_pmjdy_no,amt,beneficiarie_s_of_dri_scheme_no,amt,loans_upto_₹_1_lakh_to_women_beneficiaries_no,amt,other_loans_to_weaker_sections_no,amt,total_advances_to_weaker_sections_no,amt,pct_of_loans_to_weaker_sections_to_total_advance_amt
Bokaro,69313,43490.98,13647,10820.13,9758,15247.11,9540,13153.73,2355,10.95,421,32.47,42930,16075.16,5442,5618.25,129646,79481.11,10.05
Chatra,64559,39194.52,13490,8659.54,7529,10345.07,4870,3569.86,440,5.90,14,8.57,17138,8628.92,690,974.96,76975,47204.08,39.11
Deoghar,101224,51139.63,19859,13331.50,6578,7402.57,10920,7342.94,779,7.83,51,4.67,13231,6869.25,2663,2390.58,134411,66876.47,20.21
Dhanbad,71095,41254.82,16120,12205.97,6539,9128.60,26345,25675.68,4207,17.46,468,32.38,49863,22706.80,6362,7746.08,178111,102830.92,8.11
Dumka,85110,39524.08,24365,17114.04,7137,9260.24,7581,5165.25,866,3.34,20,1.60,37567,17326.66,2358,2064.56,111775,53137.12,28.73
East Singhbhum,95651,60566.58,40813,26320.92,10296,17100.79,14314,31124.44,1768,14.95,949,74.11,51121,28485.05,3739,10756.64,191136,141070.26,7.49
Garhwa,85868,63455.62,30057,21443.74,8965,12372.50,6344,3340.06,208,0.16,57,4.50,39975,21347.10,645,572.32,108385,73237.29,51.16
Giridih,112463,63792.08,23020,13331.00,13899,19363.00,18171,13541.92,827,4.05,105,14.97,64861,27772.51,3003,2476.05,176135,94724.50,25.64
Godda,75234,44246.74,21510,15824.07,6271,9086.77,8264,6368.68,831,1.82,58,5.17,32294,14827.66,2495,2537.37,101833,58899.37,34.67
Gumla,56941,30886.63,23612,12601.72,5740,8038.09,8620,5137.87,237,2.78,70,4.35,9453,5504.30,1281,1165.32,68920,40423.61,37.31
Hazaribagh,110300,71663.31,22102,15696.15,12324,18873.16,16742,18301.92,1977,9.07,152,13.50,51516,24485.45,5914,5512.87,164617,106032.03,20.60
Jamtara,50136,28294.65,13738,8440.61,3960,4568.43,6578,3313.83,744,3.40,54,5.39,5357,3012.02,611,499.12,49143,27565.93,32.54
Khunti,29694,17830.02,15446,8691.43,3381,6605.30,3846,2634.52,761,3.81,20,9.84,6427,3845.93,738,633.64,38597,24736.04,29.06
Koderma,46776,27739.18,8513,5137.03,4814,8158.07,7495,6095.02,535,8.29,17,2.61,23900,9531.50,977,1546.45,73047,43345.68,26.25
Latehar,35101,26348.37,13002,10070.95,5683,8799.06,3328,1910.82,230,3.67,13,1.30,9730,6659.77,507,633.09,42149,30460.93,32.09
Lohardaga,37804,23007.83,14407,8167.02,3704,6045.09,8664,5282.42,346,0.81,72,6.06,7528,3249.61,623,737.22,49257,32264.14,37.10
Pakur,39656,26454.08,16079,11409.53,4966,7726.80,11374,12101.76,389,1.66,18,6.17,21719,10205.75,3286,3996.34,82497,48767.57,41.43
Palamu,128472,92292.09,50279,35046.66,13469,17462.24,7920,4558.67,184,1.05,33,2.74,65809,34268.74,1710,2174.01,168520,105863.31,34.75
Ramgarh,37181,22836.84,9614,6869.45,5221,8785.59,5939,6609.94,2008,11.91,163,25.34,27361,10399.74,2505,1905.44,74689,46127.74,13.41
Ranchi,968770,287659.83,396423,125594.00,15126,29208.56,326449,113562.65,9564,22.51,741,55.97,63309,41181.38,944986,220582.95,1157816,401526.44,11.77
Sahibganj,55186,36722.15,22097,16681.90,6388,8327.11,9673,8837.38,555,0.91,48,3.68,28635,15285.00,1784,1740.39,83914,50817.02,39.58
Seraikela-Kharsawan,133956,54710.06,57741,22761.76,6536,11464.21,20306,7387.47,2599,6.71,340,27.20,19717,13651.89,88523,20224.36,178854,76303.76,20.53
Simdega,27058,14727.00,13647,7655.25,4657,6010.54,8306,4728.38,898,1.57,44,3.55,9372,5125.77,470,510.24,37570,21694.35,40.23
West Singhbhum,74210,45889.06,45274,31276.47,8935,18865.21,9250,10039.05,5377,13.39,580,40.33,24311,15166.28,621,1970.44,104701,72921.49,21.94
