district,outstanding_30062023_scheduled_caste_no,amt,scheduled_tribes_no,amt,disbursed_form_01042023_to_30062023_scheduled_caste_no,amt,scheduled_tribes_no,amt,col_10
Bokaro,14977,26354.20,9763,16629.49,2382,2869.30,1379,1524.76,
Chatra,10612,9163.87,5162,5468.81,2263,1707.52,561,621.73,
Deoghar,15669,14173.38,12071,10581.26,2388,2263.19,1329,1118.15,
Dhanbad,22573,55348.38,11400,16515.58,2700,4071.97,1333,1596.46,
Dumka,13622,11688.07,19690,24153.01,3438,2565.55,5135,3534.78,
East Singhbhum,15828,20715.58,40366,47637.44,2531,2655.24,5223,4788.86,
Garhwa,20634,15778.58,13063,12490.52,4186,3049.82,1310,1287.22,
Giridih,18443,14337.72,10945,9234.99,2304,2178.13,927,986.81,
Godda,11381,10976.02,15649,20689.01,2833,2406.90,5896,4808.98,
Gumla,6028,4777.49,26855,24311.02,459,493.40,1635,1647.55,
Hazaribagh,22425,21514.40,9062,13263.93,3654,3514.28,1198,1744.67,
Jamtara,6866,6151.38,11054,10381.74,1225,1043.42,2075,1543.00,
Khunti,3056,3994.18,18256,18940.29,465,501.20,1765,1734.12,
Koderma,8040,6484.61,1912,2300.60,1222,998.48,219,212.38,
Latehar,7299,8384.29,9407,12260.23,1775,2127.51,1675,1556.55,
Lohardaga,3340,3288.04,14944,14552.91,427,347.52,1179,922.23,
Pakur,5977,5403.27,12749,12592.63,1079,1175.34,6182,4974.92,
Palamu,37392,30101.96,18969,20418.85,6326,4673.41,1585,1775.95,
Ramgarh,6770,13830.10,10162,19517.34,897,1572.17,922,1714.80,
Ranchi,243293,96261.69,188838,149390.34,42616,20865.94,29474,17748.55,
Sahibganj,6381,6801.59,18773,17929.89,1413,1539.23,11358,9028.54,
Simdega,3965,2891.54,13308,11084.12,402,279.44,1103,944.82,
West Singhbhum,11071,11399.93,46182,48240.21,1129,1466.25,4327,3942.54,
