district,closed_by_bank,total_application_forwarded,returned_by_bank,picked_up,total_sanctioned_including_disbursed,sanctioned_but_pending_for_disbursement,disbursed
Bokaro,53,921,462,,459,15,444
Chatra,1,374,235,1,138,1,137
Deoghar,64,910,409,1,500,12,488
Dhanbad,93,2788,1890,9,889,54,835
Dumka,14,284,115,,169,21,148
Garhwa,13,361,236,,125,8,117
Giridih,40,556,64,7,485,162,323
Godda,21,397,179,,218,7,211
Gumla,4,249,192,3,54,,54
Hazaribagh,22,655,431,1,223,14,209
Jamtara,5,193,114,1,78,8,70
Khunti,4,170,90,4,76,3,73
Koderma,34,681,428,,253,19,234
Latehar,41,253,113,3,137,2,135
Lohardaga,2,263,115,2,146,5,141
Pakur,11,135,59,5,71,2,69
Palamu,40,901,446,3,452,27,425
Ramgarh,23,544,315,3,226,,226
Ranchi,97,2877,1728,13,1136,60,1076
Sahibganj,18,280,143,,137,5,132
Seraikela-Kharsawan,21,686,439,4,243,5,238
Simdega,11,169,79,3,87,5,82
West Singhbhum,18,467,260,1,206,5,201
