district,target_no,amt,agriculture_no,amt,education_no,amt,housing_no,amt,personal_loans_under_nps_no,amt,others_no,amt,total_nps_no,amt,achv_pct_amt
Bokaro,65372,365602,44,67.42,52,146.86,303,3396.19,1846,9410.47,20067,113196.82,22312,126217.75,34.52
Chatra,8874,31886,93,31.11,1,1.07,12,300.37,319,1799.28,2435,5036.70,2860,7168.53,22.48
Deoghar,41475,116116,229,860.12,12,45.41,106,1194.38,941,3726.97,6612,16128.03,7900,21954.91,18.91
Dhanbad,125704,511551,106,52.52,71,148.50,389,3715.13,3217,17718.48,32325,166227.68,36108,187862.31,36.72
Dumka,16272,52058,95,99.02,1,0.11,14,170.50,435,1555.90,3645,8267.04,4190,10092.58,19.39
East Singhbhum,177351,797017,53,137.79,100,499.35,667,8824.68,4071,18653.44,56985,374683.55,61876,402798.81,50.54
Garhwa,12778,35491,32,24.73,8,11.83,12,226.78,259,1484.96,2328,4717.04,2639,6465.34,18.22
Giridih,31993,150218,51,738.13,9,5.42,83,1111.15,979,3416.68,8985,51595.28,10107,56866.67,37.86
Godda,11705,41400,141,226.03,2,1.50,34,283.40,215,769.49,3439,7591.30,3831,8871.72,21.43
Gumla,6269,24677,2,1.79,1,0.40,20,205.57,263,1119.57,1497,3365.25,1783,4692.59,19.02
Hazaribagh,44535,152335,74,53.95,22,104.52,157,1957.92,1111,6244.59,12281,26534.74,13645,34895.71,22.91
Jamtara,7515,23316,390,160.31,14,20.91,29,176.27,176,655.19,2294,5465.74,2903,6478.42,27.79
Khunti,5869,27551,7,2.54,2,3.86,8,109.26,161,623.91,1326,2688.83,1504,3428.39,12.44
Koderma,17972,42678,7,3.26,11,11.95,46,432.04,257,823.45,4944,11089.05,5265,12359.75,28.96
Latehar,7102,27856,22,197.90,,,12,72.01,183,893.66,2665,3387.03,2882,4550.60,16.34
Lohardaga,5315,20322,1,0.46,,,29,293.40,143,675.48,1421,2313.19,1594,3282.53,16.15
Pakur,11893,25563,154,96.74,,,27,308.61,140,402.71,4309,6304.51,4630,7112.57,27.82
Palamu,27581,88479,107,80.87,4,8.38,51,832.86,573,2429.31,5989,13261.79,6724,16613.21,18.78
Ramgarh,21865,131702,8,5.35,7,26.09,119,1662.90,1006,6444.07,6341,27558.78,7481,35697.20,27.10
Ranchi,265681,1547372,53,16714.60,183,617.35,1130,18623.75,5295,31004.56,71960,443537.85,78621,510498.10,32.99
Sahibganj,9495,35404,292,265.39,3,2.84,14,103.55,287,1113.45,2725,6063.36,3321,7548.59,21.32
Seraikela-Kharsawan,27547,96009,3,1.10,11,24.44,80,818.83,751,2989.58,6695,29811.18,7540,33645.14,35.04
Simdega,4131,12713,3,6.62,5,7.50,7,59.02,133,628.15,865,1893.24,1013,2594.53,20.41
West Singhbhum,19156,137684,26,17.02,16,42.02,52,591.68,629,2574.49,4124,117445.03,4847,120670.23,87.64
